"id","blog","category","markdown","sg_id"
276,"WN276","Maps","OSM Carto 2.36.0 was [released](https://lists.openstreetmap.org/pipermail/talk/2015-October/074617.html) and has been used at OSMF's tileservers since 30. October which provide the tiles at osm.org. The new colour scheme was developed during the Google Summer of Code by Mateusz
Konieczny. One very notable change will be the new colour style of the highways. See also the [posting](https://blog.openstreetmap.org/2015/10/30/openstreetmap-org-map-changing/) at OSMF blog and at the mailing lists [Talk](http://gis.19327.n5.nabble.com/Release-openstreetmap-carto-v2-36-0-tt5858363.html), [Talk-de](http://gis.19327.n5.nabble.com/Neue-Farben-im-osm-org-Kartenstil-tt5858511.html) and at the [German forum](http://forum.openstreetmap.org/viewtopic.php?pid=558197#p558197). The discussion at [Talk-gb](http://gis.19327.n5.nabble.com/New-map-style-tt5858472.html) turns to the discussion if there should be a tileserver serving tiles with the old colour scheme. Richard Fairhurst [notes](http://gis.19327.n5.nabble.com/New-Map-Style-feedback-tt5858551.html#a5858560) that maintaining a tileserver needs time.",3
465,"WN278","Programming","Paul Norman [summarizes](http://paulnorman.ca/blog/2015/11/openstreetmap-carto-complexity/) the complexity of the OSM Carto Mapstyle in his blog by giving facts and numbers.",3
2848,"WN322","Maps","The OSM Carto developers plan to switch to Noto, a new font. They [ask](https://lists.openstreetmap.org/pipermail/talk/2016-September/076827.html) for feedback from readers of Asian countries.",3
2850,"WN322","Programming","Ircama did [publish](https://ircama.github.io/osm-carto-tutorials/) tutorials on how to setup your environment if you want to participate in OSM Carto development.",3
2941,"WN323","Maps","Sven Geggus has [deployed](https://lists.openstreetmap.org/pipermail/talk-de/2016-September/113489.html) ![(Deutsch)](http://blog.openstreetmap.de/wp-uploads//2016/05/de.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://lists.openstreetmap.org/pipermail/talk-de/2016-September/113489.html)) the new German map style, a fork of OSM Carto with German/transliterated labels and ""German"" road colours, on [openstreetmap.de](https://www.openstreetmap.de/karte.html).",3
4603,"WN358","Maps","Sven Geggus [asked](https://lists.openstreetmap.org/pipermail/dev/2017-May/029916.html) on the implications of the OSM Carto 4.0 changes for the German-derived style.",3
4756,"WN361","Mapping","Jochen Topf [announces](https://lists.openstreetmap.org/pipermail/talk/2017-June/078203.html) another forthcoming multipolygon challenge, concerning ""old-style"" multipolygons with the same tags on both the relation and the outer way. As these are rendered differently with the 4.0 release of OSM Carto, they may be now noticeable.",3
4938,"WN364","Software","[P4CaaS (Pic4Carto API)](https://lists.openstreetmap.org/pipermail/dev-fr/2017-July/002586.html) is now available. The [documentation](http://api-pic4carto.openstreetmap.fr/doc/) shows how to download the pictures around a point or within a BBOX.",3
4972,"WN365","Programming","Daniel Koć [searches](https://lists.openstreetmap.org/pipermail/dev/2017-July/029949.html) a server to work on the middle zoom levels of OSM Carto for some weeks.",3
5451,"WN374","Releases","OSM Carto 4.3.0 [fixed](http://www.openstreetmap.org/user/pnorman/diary/42314) mostly bugs.",3
5452,"WN374","Maps","math1985 wants to darken the colour of farmlands in OSM Carto and submitted a [pull request](https://github.com/gravitystorm/openstreetmap-carto/pull/2821) for that purpose.",3
5791,"WN381","Maps","Sven Geggus, maintainer of the German fork of OSM Carto [reports](http://blog.gegg.us/category/openstreetmap/) about its current state and the recent difficulties.",3
5797,"WN381","Maps","The developers of OSM Carto [discuss](https://github.com/gravitystorm/openstreetmap-carto/issues/2925) a proposal to increase the minimum zoom level of some features whose rendering currently starts on zoom levels 5 to 7. Propositions of different rendering based on density/realities of different countries are rejected because of limits of the rendering tool.",3
5802,"WN382","Maps","Developers of OSM Carto [discuss](https://github.com/gravitystorm/openstreetmap-carto/pull/2945) if restaurants, pubs, and similar amenities should be rendered as small brown squares on zoom level 17 as it already happens with most shops (in pink).",3
5814,"WN382","Maps","User Komzpa [submitted](https://github.com/gravitystorm/openstreetmap-carto/pull/2939) a pull request to OSM Carto which adds rendering of `place",3
