"id","blog","category","markdown","sg_id"
16014,"WN617","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2022/05/617_T_all.jpg =635x1280)

Every Door - The New Mobile Editor [[^1^](#wn617_26806)\] [Ilya Zverev](https://github.com/Zverik/every_door) | map data  © [OpenStreetMap contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ)",9
16040,"WN617","Releases","Ilya Zverik [released](https://www.openstreetmap.org/user/Zverik/diary/399155) a new mobile OSM editor [Every Door](https://every-door.app/), which is available for [Android](https://play.google.com/store/apps/details?id=info.zverev.ilya.every_door) and [iOS](https://testflight.apple.com/join/5138nQCq).",9
16186,"WN621","Community","Ed Freyfogle [talked](https://thegeomob.com/podcast/episode-132) to Ilya Zverev about mapping in general and about Ilya's new OSM editor [Every Door](https://every-door.app/), in [Geomob](https://thegeomob.com/) Podcast #132.",9
16340,"WN627","Did you know that…","... there are many ways to contribute regularly to OSM?

Desktop:
    [OSM Streak](http://streak.osmz.ru/)
    [MapRoulette](https://maproulette.org/)
    [Pic4Review](https://pic4review.pavie.info/#/)
    [Unmapped Places](https://resultmaps.neis-one.org/unmapped#5/47.100/9.800)
    [Find Suspicious OpenStreetMap Changesets](https://resultmaps.neis-one.org/osm-suspicious#2/10.1/14.4)
    [OSMCha](https://osmcha.org/)
    [NotesReview](https://ent8r.github.io/NotesReview/)
    [Many Tasking Managers](https://wiki.openstreetmap.org/wiki/Tasking_Manager)

Smartphone:
    [StreetComplete](https://wiki.openstreetmap.org/wiki/StreetComplete)
    [Every Door](https://wiki.openstreetmap.org/wiki/Every_Door)
    [Vespucci](https://wiki.openstreetmap.org/wiki/Vespucci)
    [OSMfocus Reborn](https://pfiers.net/projects/osmfocus-reborn/)
    [OSM Go!](https://wiki.openstreetmap.org/wiki/Osm_Go!)
    [Jungle Bus](https://junglebus.io/en/mobility-open-data-proudly-crafted-by-the-openstreetmap-community-2/)

We are sure we have forgotten some. Please write to us and let us know, we will add them next week.",9
16458,"WN631","Software","Ilya Zverev  [released](https://github.com/Zverik/every_door/releases/tag/v1.0) version 1.0 of the Every Door app.",9
16573,"WN635","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2022/09/635_T_all.jpg =2373x870)

How to use Every Door [[^1^](#wn635_27361)] | ©  [Ilya Zverik](https://www.openstreetmap.org/user/Zverik)   | map data  © [OpenStreetMap contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ)",9
16561,"WN635","Software","[1] Ilya Zverik [published](https://www.openstreetmap.org/user/Zverik/diary/399947) a tutorial for his Every Door OpenStreetMap editor (for POIs and entrances) along with the release of version 2.0 of the software. Downloads are [available](https://every-door.app/) for Android and iOS.  Release notes [are](https://github.com/Zverik/every_door/releases/tag/v2.0) on GitHub.",9
16693,"WN638","Mapping","Martijn van Exel [shared](https://www.openstreetmap.org/user/mvexel/diary/400090) his review of the Every Door app.",9
16712,"WN639","Mapping","Ilya Zverev has mapped a Tallinn district using Every Door and [recorded](https://www.youtube.com/watch?v=qnDqJJ0Z7jU) the process. The two hour video showcases both POI mapping and micromapping, overlaid with a few comments on user rankings, map ownership, and motivation.",9
16805,"WN641","Software","Ilya Zverev has [released](https://github.com/Zverik/every_door/releases/tag/v3.0) version 3.0 of Every Door. Among other improvements he has improved handling and zoom.",9
