"id","blog","category","markdown","sg_id"
1645,"WN299","Other Geo Things","Amazing [interactive 3D map](http://demo.f4map.com/#lat",1
4824,"WN362","Mapping","User Paul the Archivist [has mapped](https://twitter.com/ArchivistPaul/status/877628684026261504) the town centre of Alton, Hampshire in great detail including simple3D tags. This [F4map demo 3D Map](http://demo.f4map.com/#lat=51.1484278&lon=-0.9763519&zoom=18) shows buildings, trees, lamps, cranes, etc... This is just one of many town centres in South-East England which Paul has mapped in recent years.",1
9229,"WN456","Programming","Muramoto [announced](https://twitter.com/muramototomoya/status/1115562163937001472) that a new version of OpenSwitchMap has been released and now [works](https://twitter.com/muramototomoya/status/1115733866931556352) with not only [Chrome](https://chrome.google.com/webstore/detail/openswitchmaps/cfkddjlocfecchnemnnmmpdjcohgmkij) but also [Firefox](https://addons.mozilla.org/ja/firefox/addon/openswitchmaps/). This app is a browser extension to open the position displayed in Google Maps with another map provider or OSM QA tool. F4map developer jazzzz has made a great contribution to developing the new version and supporting Firefox. The name of the project [could be difficult](https://github.com/tankaru/OpenSwitchMaps/issues/7) in light of OSM's trademarks.",1
10621,"WN486","Other Geo Things","New York has a new attraction. The fifth highest viewing platform called ""Edge"" [was built](https://www.foxnews.com/travel/new-york-edge-observation-deck-to-be-tallest-in-western-hemisphere-lean-out-over-manhattan) at a height of 335 m. A glass floor offers a special thrill. The F4 Map [offers](https://demo.f4map.com/#lat=40.7307357&lon=-74.0007607&zoom=16&camera.theta=75.997&camera.phi=-177.914) an approximate impression of the view over New York. The OSM [mapping](https://www.openstreetmap.org/way/264656626#map=17/40.75342/-73.99945) of the skyscraper ""30 Hudson Yards"" is not yet complete.",1
11469,"WN504","Community","In early March the 'Open Data Day' conference took place in Moscow (Russia). It was held in the architectural landmark (constructivist architecture) [Communal House of the Textile Institute](https://en.wikipedia.org/wiki/Communal_House_of_the_Textile_Institute) on Ordzhonikidze street. The RU-OSM community [shot panoramas](https://forum.openstreetmap.org/viewtopic.php?id=68753) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://forum.openstreetmap.org/viewtopic.php?id=68753)) of the surrounding area and the building itself, and [mapped](https://osm.org/go/0t2P5Vmpn-?m=) it in OSM, including a [3D](https://demo.f4map.com/#lat=55.7117605&lon=37.5958152&zoom=18) representation of the building.",1
13840,"WN556","Mapping","Paul The Archivist [explained](https://www.openstreetmap.org/user/Paul%20The%20Archivist/diary/396071) how he approaches the detailed 3D mapping of a town centre: in this case [Hertford](https://demo.f4map.com/#lat=51.7965758&lon=-0.0760783&zoom=19), north of London. There are useful tips on workflows and being selective about which buildings are mapped in detail.",1
19330,"WN711","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2024/03/711_WT_all.jpg =1216x667)

DemoF4map 3D rendering in Pyongyang [[^1^](#wn711_30154)] | ©F4 | map data © [OpenStreetMap contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ)",1
20605,"WN740","OSM in the media","[1] _Diario Norte_, a online news outlet based in Argentina, [reported](https://www.diarionorte.com/277254-una) :ES-s:>>>[:EN-t:](https://www-diarionorte-com.translate.goog/277254-una?_x_tr_sl=auto&_x_tr_tl=EN) that Federico Pértile mapped 629 trees (while also identifying the species of each one), 324 streetlights, 268 benches, and 74 trash bins around the [Plaza 25 de Mayo de 1810](https://www.openstreetmap.org/query?lat=-27.451223&lon=-58.986974#map=19/-27.451468/-58.986757) in Resistencia City, Argentina, on OpenStreetMap and then shared a 3D map [visualisation](https://demo.f4map.com/#lat=-27.4512860&lon=-58.9867592&zoom=19&camera.phi=-10.886) of the area.",1
20611,"WN740","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2024/09/740-min.png =1365x705)

The [Plaza 25 de Mayo de 1810](https://www.openstreetmap.org/query?lat=-27.451223&lon=-58.986974#map=19/-27.451468/-58.986757) in Resistencia, Argentina [[^1^](#wn740_31457)]  |   ©   [F4map](https://www.f4map.com/)   |  Map data  ©  [OpenStreetMap contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ)",1
20678,"WN742","Education","Amy Plant [showed](https://www.youtube.com/watch?v=WR0sSv87H0s) :FR-s: in a video how to find a place from a photo using OSM, overpass turbo, and F4map.",1
21544,"WN763","Did you know that …","^[1]^  ... the _Sambódromo da Marquês de Sapucaí_, the location of the Carnival parades in Rio de Janeiro (Brazil), can be [seen](https://demo.f4map.com/#lat=-22.9115450&lon=-43.1969008&zoom=17&camera.phi=50.387) in 3D using the F4map demo? This area is officially [known](https://www.openstreetmap.org/way/34306743) as the _Passarela Professor Darcy Ribeiro_ in honour of his [services](https://en.wikipedia.org/wiki/Darcy_Ribeiro).",1
21549,"WN763","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2025/03/marques_sapucai_rj_Brazil_WN_763.png =1356x640)

[[^1^](#wn763_32399)\] 3D view in the F4map of the _Sambódromo da Marquês de Sapucaí_, the place of the Carnival parades, Rio de Janeiro, Brazil. Map data © [OpenStreetMap Contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ) | F4map © F4 and others.",1
