"id","blog","category","markdown","sg_id"
66,"WN272","Events","  On 17. and 18. October there will be an OSM hackweekend at Geofabrik in Karlsruhe, Germany. More information and registration [can be found at OSM wiki](https://wiki.openstreetmap.org/wiki/Karlsruhe_Hack_Weekend_October_2015).",5
127,"WN273","Other Geo Things","Cool, now the kids have not to go out to a maze. The [Corn Maze](https://www.google.ca/maps/@53.4529447,-113.7316593,3a,75y,242.06h,74.89t/data=!3m7!1e1!3m5!1svyJXq4flWiYAAAQIt_OasA!2e0!3e2!7i13312!8i6656?hl=en) near [Edmonton](http://tools.geofabrik.de/mc/#17/53.4524/-113.7296&num=3&mt0=bing-satellite&mt1=mapnik&mt2=google-map) is already available online. ;-)",5
126,"WN273","Programming","In Italy there is now not a big Italy shapefile anymore on the server of [Geofabrik](http://www.geofabrik.de/) but shapefiles [for five regions](http://download.geofabrik.de/europe/italy.html). The same applies for [Poland](http://download.geofabrik.de/europe/poland.html) where the 16 voivodeships have their own extracts.
",5
92,"WN273","Other Geo Things","With the help of modern image computer vision it's possible to [extract building footprints out of aerial imagery](http://tools.geofabrik.de/mc/#17/51.8987/8.3906&num",5
703,"WN282","Maps","[""Roads to Rome""](http://roadstorome.moovellab.com/countries)  by [Benedikt Groß](http://benedikt-gross.de/log/), [Philipp Schmitt](http://philippschmitt.com/)  & [moovel Lab](http://lab.moovel.com/)  is a data viz project exploring one of the biggest unsolved quests of mobility: Do all roads really lead to Rome? :) More details and how to redefined the territorial extents of the EU and US based on travel times under the project page. The routing was done on the basis of [OSM data](http://www.geofabrik.de/data/download.html) & [GraphHopper](https://graphhopper.com/). What does it mean - [roads to Rome](https://en.wiktionary.org/wiki/all_roads_lead_to_Rome)?",5
1088,"WN289","Community","Geofabrik got [a nice present](http://blog.geofabrik.de/?p",5
1195,"WN291","Software","A blog by Geofabrik [writes](http://blog.geofabrik.de/?p",5
1729,"WN300","Programming","Nathanael Long released his bachelor thesis ""pedestrian routing with OSM"" ([PDF](https://github.com/Nathanael-L/pedro/raw/master/bachelorarbeit_nathanael_lang.pdf)) at the University of Applied Sciences in Stuttgart (supervised by Geofabrik). In it there is a routing graph charged synthetic pavements and road crossings, although these are not recognized as separate footpaths in OSM.",5
1774,"WN301","Other Geo Things","The David Rumsey Map Colletion ([which we already reported about](http://www.openculture.com/2016/04/download-67000-historic-maps-in-high-resolution-from-the-wonderful-david-rumsey-map-collection.html)) now [offers](http://www.openculture.com/2016/04/download-67000-historic-maps-in-high-resolution-from-the-wonderful-david-rumsey-map-collection.html) to 67,000 historic high resolution maps for download. This short [video](https://www.youtube.com/watch?v=0OrSVn8k8Mc) explains how to use the [Georeferrencer](http://rumsey.georeferencer.com/map/Z2f5WqwSfjwqpF6yOymr66/201306171543-tm8R1i/georeference), a tool that shows the historic map simultaneously side by side ([more or less like map compare](http://tools.geofabrik.de/mc/#14/49.0115/8.4022&num=2&mt0=mapnik&mt1=google-map)) with a recent OSM map.",5
2430,"WN314","Programming","Rory McCann from the Geofabrik [presents](https://lists.openstreetmap.org/pipermail/dev/2016-July/029381.html) his port of the OSM-Carto style to vector tiles.",5
2592,"WN317","Programming","[Geofabrik](http://www.geofabrik.de/en/index.html) has [revised](http://blog.geofabrik.de/de/?p=361) its range of free shapefiles. In a transition phase, both versions are offered, but later only the new one will be. The free shapefiles have been enhanced to include cycling and walking routes.",5
2734,"WN320","Events","Geofabrik [invites](https://wiki.openstreetmap.org/wiki/Karlsruhe_Hack_Weekend_October_2016) everyone to be a part of the hack weekend on 29th and 30th October in Karlsruhe.",5
2846,"WN322","Programming","Geofabrik now [provides](https://twitter.com/geofabrik/status/775458878591033344) separate extracts of every country in Africa on their [download server](http://download.geofabrik.de/africa.html).",5
3139,"WN327","Mapping","Multipolygon view of ""OpenStreetMap-Inspector” has been [turned off](https://twitter.com/geofabrik/status/788342940301131776). The [Areas view](http://tools.geofabrik.de/osmi/?view=areas&lon=-106.92076&lat=38.96443&zoom=11) replaces it.",5
3781,"WN340","Programming","Geofabrik reports in [a blog post](http://blog.geofabrik.de/?p=397) how they recently improved referential integrity in their extracts. With a marginal impact on file size while cutting down processing time, this was made possible by switching to the latest [osmium](https://github.com/osmcode/osmium-tool) version.",5
3996,"WN344","Programming","Geofabrik [announces](https://lists.openstreetmap.org/pipermail/dev/2017-February/029699.html) that the download server now has full history files for all regions served. These files (called "".osh.pbf"") can be used to run analyses, and one can use Osmium to convert them to a text-based format (""OPL"") that is then accessible for grep et al.",5
4208,"WN348","Programming","Frederik Ramm [suggests](http://blog.geofabrik.de/?p=403) in the Geofabrik blog, what to do if osm2pgsql crashed on your servers due to the huge collective relation uploaded in Brazil a few days ago. (Reported in our last issue)",5
4853,"WN363","Mapping","OSM Inspector has been [updated](http://blog.geofabrik.de/?p=416). This affects the ""Geometry"", ""Tagging"", ""Places"" and ""Highways"" views.",5
5290,"WN371","Events","Geofabrik extends an invitation to an OpenStreetMap Hack Weekend on 21th and 22th October in Karlsruhe. You can sign up on the [OSM wiki](https://wiki.openstreetmap.org/wiki/Karlsruhe_Hack_Weekend_October_2017).",5
5308,"WN372","Picture","![screen shot OpenStreetMap Inspector, objects without important tags](http://blog.openstreetmap.de/wp-uploads//2017/09/no-feature-tags.png =600x350)

The OpenStreetMap Inspector now shows nodes and ways which do not have ""important"" tags. [^1^](#wn372_15865) | data [OpenStreetMap contributors](https://www.openstreetmap.org/copyright), [ODbL](https://opendatacommons.org/licenses/odbl/), image CC-BY-SA OpenStreetMap and Geofabrik",5
5316,"WN372","Mapping","[1] In the tagging view of the OpenStreetMap Inspector there [is](http://blog.geofabrik.de/?p=425) a new layer with tagging errors. The routing view now contains, once more, another error layer which shows 'sources' and 'sinks' of oneway roads which are either unreachable or have no return route.",5
5399,"WN373","Humanitarian OSM","Luisa Janine Griesbaum reported in GIScience News Blog of the University of Heidelberg, that GIScience Heidelberg/HeiGIT [updated](http://k1z.blog.uni-heidelberg.de/2017/09/08/disaster-openrouteservice-now-active-in-the-caribbean-north-america-incl-mexico-and-bangladesh/) their OpenStreetMap based [Disaster OpenRouteService](https://disaster.openrouteservice.org/directions?b=0&k1=en-US&k2=km) (a special version of OpenRouteService.org) to the following routing regions North America (incl. Mexico), Caribbean, Bangladesh in order to support the mapping and rescue activities. The data is currently updated every 24h (around 21:00 CET - thanks to Geofabrik).",5
5749,"WN380","Mapping","Geofabrik [announced](http://blog.geofabrik.de/?p=436) a revision of the public transport views in [OpenStreetMap Inspector](http://tools.geofabrik.de/osmi/) on their blog. Now, they show validator issues for  Public Transport v2  route relations.",5
