"id","blog","category","markdown"
17187,"WN652","Licenses","Pieter Vander Vennet [investigated](https://www.openstreetmap.org/user/Pieter%20Vander%20Vennet/diary/400716), using Overpass, what licences MapComplete users are applying to their uploaded pictures. The vast majority are uploaded with the default licence, being CC0/public domain. Power users, though, often change the licence to CC-BY or CC-BY-SA. As a by-product of his investigation, a ranking of MapComplete's most active users has been compiled, led by 'legendary mapper' [Awo](https://hdyc.neis-one.org/?Awo)."
3235,"WN329","Did you know that …","... [Quality Assurance Feeds](http://www.openstreetmap.org/user/tyr_asd/diary/19966) by [Martin Raifer](http://hdyc.neis-one.org/?tyr_asd)? Now with ""support for feeds that are only available in certain countries""."
5601,"WN377","Did you know that …","... the[ Restriction Analyzer](http://restrictions.morbz.de/) (for turning restrictions etc.) of [MorbZ](http://hdyc.neis-one.org/?MorbZ)?"
7668,"WN424","Did you know that …","... the website [autobahnkilometer.ch](http://autobahnkilometer.ch/) created by [dktue](http://hdyc.neis-one.org/?dktue)? He has, according his [announcement]((https://forum.openstreetmap.org/viewtopic.php?pid=713877#p713877)) (automatic [translation](http://translate.google.com/translate?sl=de&tl=en&u=https://forum.openstreetmap.org/viewtopic.php?pid=713877#p713877)) in the forum, created this page to measure the current length of the OSM motorway network in Switzerland and to count the tagged motorway kilometres."
11015,"WN495","Did you know that …","[1] ... [Ethermap](https://getethermap.org/) from Chris Lamby, who tried OSM [once](http://hdyc.neis-one.org/?lamby) ;-) ? Like [Etherpad](https://etherpad.wikimedia.org/) or [Ethercalc](https://accueil.framacalc.org/en/), Ethermap is a tool for distributed working, here to create a simple collaborative map. The source code [is available](https://gitlab.com/ethermap/ethermap) on GitLab."
13517,"WN549","Did you know that …","... the [evaluation](https://hdyc.neis-one.org/) by Pascal Neis of an OpenStreetMap contributor's profile? Admittedly, not quite new, but the 'old hands' like to look at the evaluations of other mappers or for a personal sense of achievement on their own profile. Just enter the OSM user name of the mapper you are interested in."
16251,"WN624","Did you know that …","... that non-square buildings are not the only kind of quality issue with mapped buildings on OSM? [Berrely](http://hdyc.neis-one.org/?Berrely) reported, on Discord, that he had found [grouped multiple buildings](https://www.openstreetmap.org/relation/11818325#map=19/38.50972/27.07064) in a relation with the `building=yes` tag applied to the relation and not the ways.  This was related to the tasking manager project [tasks.hotosm.org/projects/9717](https://tasks.hotosm.org/projects/9717), which is no longer available, about the Izmir earthquake response, Turkey, a year ago."
19724,"WN719","Did you know that …","... [Strubbl](https://hdyc.neis-one.org/?Strubbl) has [written](https://blog.strubbl.de/openstreetmap-svg-karten-generieren-mit-map-machine-in-docker/) :DE-s:>>>[:EN-t:](https://blog-strubbl-de.translate.goog/openstreetmap-svg-karten-generieren-mit-map-machine-in-docker/?_x_tr_sl=auto&_x_tr_tl=EN) an easy-to-follow tutorial for the [map-machine](https://github.com/enzet/map-machine) renderer? It describes how to generate maps using the map-machine renderer, written by Sergey Vartanov (aka [Enzet](https://hdyc.neis-one.org/?Enzet)).The tutorial gives instructions on how to install Docker, covers cloning the repository, building the Docker image, and explains in great detail the commands required to generate the map."
81,"WN273","Community","The tool ""How did you contribute"" by [Pascal Neis](http://resultmaps.neis-one.org/) now [supports](https://twitter.com/pascal_n/status/653245421607895040) the editor [Level0](http://wiki.openstreetmap.org/wiki/Level0) created by [Ilya Zverev](http://hdyc.neis-one.org/?Zverik)."
97,"WN273","Community","According to [his son's posting](https://lists.openstreetmap.org/pipermail/talk-gb-westmidlands/2015-October/001909.html) on Talk-gb-westmidlands mailing list, [Richard Phililips](https://www.openstreetmap.org/user/Richard Phillips) recently died. He was an ""addicted mapper"" ([HDYC](http://hdyc.neis-one.org/?Richard%20Phillips%20)) and active around [Evesham](http://www.openstreetmap.org/#map=13/52.0943/-1.9502) (England)."
233,"WN275","Community","""Urban Areas: a (meditation]( http://sk53-osm.blogspot.de/2015/10/urban-areas-meditation-on-why-simple.html) on why simple global geographical datasets are so poor"" by [SK53](http://hdyc.neis-one.org/?SK53)."
327,"WN276","Community","A Mapper in the Spotlight: [Clifford Snow](http://www.openstreetmap.org/user/escada/diary/36203). More Info: [hdyc](http://hdyc.neis-one.org/?Glassman) and [yosmhm](http://yosmhm.neis-one.org/?Glassman)"
636,"WN281","Humanitarian OSM","Dermot McNally, an [Epic Mapper](http://hdyc.neis-one.org/?mackerski) from Ireland [writes](https://maplesotho.wordpress.com/2015/12/07/90-young-mappers-and-one-flabbergasted-older-one/) how to find ""the next generation of mappers""."
727,"WN283","Community","[Freddy Rivera](http://hdyc.neis-one.org/?humano) is according to a subtitle in the online edition of [EL Espectador](http://www.elespectador.com/noticias/nacional/ayuda-ancianos-y-salvar-quebradas-son-dos-de-iniciativa-articulo-605522) a hero of flesh and blood. The Colombian TV channel Caracol performs annual competition ""Titanes"" and honors outstanding achievements in various categories. Freddy Rivera won the prize in the category [""Technology and Connectivity""](https://www.youtube.com/watch?v=PMTpbJtAnpg) for his ""Offline Wikipedia"" and his dedicated mapping of the whole city where he lives. (via [_talk-br_](https://lists.openstreetmap.org/pipermail/talk-br/2015-December/011005.html)) (automatic translation: [Journal](https://translate.google.de/translate?sl=auto&tl=EN&u=http://www.elespectador.com/noticias/nacional/ayuda-ancianos-y-salvar-quebradas-son-dos-de-iniciativa-articulo-605522);  [Website](https://titanes.noticiascaracol.com/))"
772,"WN284","Other Geo Things","[Humitos](http://hdyc.neis-one.org/?Humitos) and [Ella Quimica](http://hdyc.neis-one.org/?EllaQuimica) have mapped a restaurant on the Peruvian coast, shared the knowledge about OpenStreetMap, programming with the owner and were [rewarded](https://twitter.com/EllaQuimica/status/679521865111629824) with a complimentary [ceviche](https://de.wikipedia.org/wiki/Ceviche) dish. weeklyOSM wonders whether this activity falls into the category of ""paid mapping"" ;-)"
