"id","blog","category","markdown","sg_id"
849,"WN285","Mapping","User nand reports about his efforts on a project called [OpenStreetView.io](http://forum.openstreetmap.org/viewtopic.php?id",13
1998,"WN305","Software","After nearly seven years of operation OpenStreetView.org will retire, [its developer announced](http://us13.campaign-archive1.com/?u=dccc4e83a77fd9c6ddcf5a9bc&id=cc0ed3df06&e=b08bd4f126) on May 24th. If the users agree, their images will be transferred to a new project by Steve Coast and Telenav which is in development right now.",13
2439,"WN314","Community","More than  [40 Videos from State of the Map US 2016](https://www.youtube.com/playlist?list=PLqjPa29lMiE3eR-gK80irr3xdUiRbIMeg) available now. From twitter feedback, recommendations goes to:  Katherine Maher from Wikipedia, Wikipedia Maps, OSM Past & Future from Alan McConchie, Field Papers from Lindsey Jacks,  Portable OSM and OpenStreetView from Navicat",13
2570,"WN317","Mapping","Martijn van Exel [writes](https://www.openstreetmap.org/user/mvexel/diary/39274) in his user blog about the newly restarted OpenStreetView (OSV) - now looked after by Telenav. Martijn points out that the OSV app can retrieve data from the bus systems of the car for better geo-referencing using the [OBD2](
https://en.wikipedia.org/wiki/On-board_diagnostics) interface. Unlike Mapillary, the front and back end are both free software.  [This issue](https://github.com/openstreetview/openstreetview.org/issues/6) is still open, however... we invite you to collaborate with pictures and [code](https://github.com/openstreetview)!",13
2653,"WN318","About us","When reporting on OpenStreetView last week we made a [mistake](http://blog.openstreetmap.de/blog/2016/08/wochennotiz-nr-317/#comment-225286). Thank you Jochen for pointing it out. ![(Deutsch)](http://blog.openstreetmap.de/wp-uploads//2016/05/de.svg)",13
3151,"WN327","Mapping","Martijn van Exel [announced](https://lists.openstreetmap.org/pipermail/talk-ca/2016-October/007443.html) on the Talk-Ca mailing list that colleagues in the Telenav mapping team are mapping [turn restrictions](http://wiki.openstreetmap.org/wiki/Conditional_restrictions) in several Canadian cities using OpenStreetView and Mapillary as sources.",13
3288,"WN330","Software","On the talk list, Martijn van Exel describes how [OpenStreetView](http://www.openstreetview.com/) has been asked to change its name ""[by a well-known company with a similarly-named product](https://lists.openstreetmap.org/pipermail/talk/2016-November/077058.html)"".  As ever [anonymaps](https://twitter.com/Anonymaps/status/798834105613828096) is Quick to Draw its own conclusions about Google's ""evenhanded respect for trademarks"".",13
3420,"WN332","Community","Martijn van Exel [reports](http://blog.improve-osm.org/en/2016/11/openstreetview-is-now-openstreetcam/) in the [Improve OSM](http://blog.improve-osm.org/) blog that, the Telenav-supported OpenStreetView project has been renamed to OpenStreetCam. 12 Million images have been collected so far.",13
3385,"WN332","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.5.6](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-11-21|Minor compass tweaks.|
|[Traccar Client iOS](https://www.traccar.org/client/)|[3.2](https://itunes.apple.com/us/app/traccar-client/id843156974)|2016-11-23|Minor fixes and improvements.|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.16.47](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-11-24|Optimized search and routing, performance improvements and bug fixes|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.8r1216](https://github.com/MarcusWolschon/osmeditor4android/blob/master/CHANGELOG.txt)|2016-11-24|Fix issue with determining the tile storage location.|
|[QGIS](http://www.qgis.org)|[2.18.1](https://github.com/qgis/QGIS/releases/tag/final-2_18_1)|2016-11-25|No infos.|
|[OpenStreetCam](https://play.google.com/store/apps/details?id=com.telenav.streetview&hl=de)|[1.9.13](https://play.google.com/store/apps/details?id=com.telenav.streetview&hl=de)|2016-11-27|OpenStreetView is now OpenStreetCam.|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.52](https://play.google.com/store/apps/details?id=org.naviki)|2016-11-28|Three modifications and some bug fixes.|
|[Naviki iOS&nbsp; ](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.52](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2016-11-28|Three functions modified.|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[2.45](https://github.com/gravitystorm/openstreetmap-carto/compare/v2.44.1...v2.45.0)|2016-11-28|Please read info.|
|[SQLite](http://www.sqlite.org/)|[3.15.2](http://www.sqlite.org/releaselog/3_15_1.html)|2016-11-28|Four bugs fixes.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",13
3425,"WN332","Software","Skobbler founder Philipp Kandal (now VP of OSM at Telenav) [explains](http://blog.improve-osm.org/en/2016/11/a-glimpse-into-the-future-of-mapmaking-with-osm-2/) in his blog post how and why Telenav works on the future of mapping for OSM, using OpenStreetCam, computer vision and deep learning.",13
3498,"WN334","Other Geo Things","The change of name from Open Street View to [OpenStreetCam](http://www.techcentral.ie/openstreetcam-1-9-13-for-android/) is complemented by the new version.",13
3798,"WN341","Mapping","Martijn van Exel [asks](https://lists.openstreetmap.org/pipermail/talk/2017-January/077434.html) your opinion about the OpenStreetCam plugin for JOSM. Suggestions and any other help is welcome.",13
3826,"WN341","Programming","Panier Avide [reports](http://www.openstreetmap.org/user/PanierAvide/diary/40298) in his user blog on the Pic4Carto.js JavaScript library, which places georeferenced images from various sources (Flickr, OpenStreetCam, Mapillary) on a map.",13
