"id","blog","category","markdown","sg_id"
2212,"WN309","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Mapillary Android](http://www.mapillary.com/map)|[2.24](https://play.google.com/store/apps/details?id=app.mapillary)|2016-06-15|Some extensions and some bug fixes|
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.7](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-06-16|Some updates|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.6|2016-06-16|-|
|[OSRM Backend](http://project-osrm.org/)|[5.2.3](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.3)|2016-06-17|Bugfix |
|[Komoot iOS](https://www.komoot.de/)|[8.1](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-06-18|-|
|[Komoot Android](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-06-19|-|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",12
2372,"WN313","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[QGIS](http://www.qgis.org)|2.16.0|2016-07-08|No infos|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.41.0|2016-07-12|No infos|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.21.0](https://github.com/mapbox/mapbox-gl-js/releases)|2016-07-13|11 new features & improvements, 10 bug fixes|
|[Naviki iOS](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.45](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2016-07-13|Some improvements|
|[Komoot iOS](https://www.komoot.de/)|[8.2](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-07-14|Some extensions and improvements|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.6.3|2016-07-15|No infos|
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.9](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-07-16|SVG Graphics|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.8|2016-07-16|No infos|
|[Locus Map Free](http://www.locusmap.eu/)|3.18.4|2016-07-16|Bugfix release|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.90.1](https://lists.openstreetmap.org/pipermail/dev/2016-July/029370.html)|2016-07-16|Maintainance release without new features|
|[iD](http://ideditor.com/)|[1.9.7](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-07-17|No infos|
|[Mapillary iOS](http://www.mapillary.com/map)|[4.4.3](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-07-17|Some fixes|
|[Naviki Android](https://www.naviki.org/naviki/)|[3.45](https://play.google.com/store/apps/details?id=org.naviki)|2016-07-18|Some improvements|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",12
2820,"WN321","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-09-05|No info|
|[Cruiser for Android&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.11](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-09-06|Routing enhancements, added hill shading|
|[Cruiser for Desktop&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.11|2016-09-06|No infos|
|[Merkaartor](http://merkaartor.be/)|[0.18.3](http://merkaartor.be/news)|2016-09-06|Mac OS X, improved download, relation filter and many bug fixed.|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.47.1](https://play.google.com/store/apps/details?id=org.naviki)|2016-09-06|Fixed bug after pausing recording or navigation.|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[2.43.0](https://github.com/gravitystorm/openstreetmap-carto/compare/v2.42.0...v2.43.0)|2016-09-06|Please read info.|
|[Mapnik](http://mapnik.org/)|[3.0.12](https://github.com/mapnik/mapnik/blob/master/CHANGELOG.md#3012)|2016-09-08|Many changes. Please read changelog.|
|[BRouter](http://brouter.de/brouter/)|[1.4.5](http://brouter.de/brouter/revisions.html)|2016-09-10|Performance improvements, two bugs fixed.|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[8.3.1](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-09-10|Two bugs fixed.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.4.12](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-09-10|Updated Russian, disconnectable image stabilization|
|[Traccar Server](https://www.traccar.org/server/)|[3.7](https://www.traccar.org/blog/category/releases/)|2016-09-10|No Info|
|[MapFactor Navigator Free&nbsp; ](http://navigatorfree.mapfactor.com)|[2.2](https://play.google.com/store/apps/details?id=com.mapfactor.navigator)|2016-09-12|Many extensions and fixes, see release info.|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",12
2881,"WN322","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Nominatim](http://wiki.openstreetmap.org/wiki/Nominatim)|[2.5.1](https://github.com/twain47/Nominatim/releases/tag/v.2.5.1)|2016-08-02|Bug fix release with minor fixes|
|[SQLite](http://www.sqlite.org/)|[3.14.2](http://www.sqlite.org/releaselog/3_14_2.html)|2016-09-12|Six fixes|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[v1.0-2016-09-13](https://github.com/osm-fr/osmose-backend/releases)|2016-09-13|No info|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.7.1|2016-09-14|No infos|
|[libosmium](http://osmcode.org/libosmium/)|[2.9.0](https://github.com/osmcode/libosmium/releases)|2016-09-15|see below|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.4.0](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2016-09-15|Eight extensions, six changes and 2 fixes|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2016-09-15](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|2016-09-15|Fixed GPX output format, support portuguese, some other fixes |
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.9.0](https://github.com/osmcode/pyosmium/releases)|2016-09-15|Adjustments to actual libosmium|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.16.37](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-09-16|Eliminates GPS problems, improved audio via Bluetooth, further changes and improvements|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-09-17|No info|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.48](https://play.google.com/store/apps/details?id=org.naviki)|2016-09-19|Layout revised|
|[OsmAnd for Android&nbsp; ](http://osmand.net/)|[2.4](http://osmand.net/blog)|2016-09-19|Improved user interface, refined POI search|
|[OsmAnd+ for Android&nbsp; ](http://osmand.net/)|[var](https://play.google.com/store/apps/details?id=net.osmand.plus)|2016-09-19|Improved user interface, refined POI search|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",12
2901,"WN323","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.24.0](https://github.com/mapbox/mapbox-gl-js/releases)|2016-09-19|Eleven new features & improvements, ten bugs fixed.|
|[OsmAnd for iOS&nbsp; ](http://osmand.net)|[1.2.5](http://osmand.net/blog?id=osmand-ios-1.2.3-released)|2016-09-19|Bugs fixed.|
|[Geobuf](https://github.com/mapbox/geobuf)|[3.0.0](https://github.com/mapbox/geobuf/blob/master/CHANGELOG.md)|2016-09-20|One important breaking change and one bug fixed.|
|[OsmAnd for Android&nbsp; ](http://osmand.net/)|[2.4](http://osmand.net/blog)|2016-09-21|No actual info.|
|[OsmAnd+ for Android&nbsp; ](http://osmand.net/)|[2.4.6](https://play.google.com/store/apps/details?id=net.osmand.plus)|2016-09-21|Car audio system integration, better routing, bugfixes.|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.8](http://vespucci.io/help/en/0.9.8%20Release%20notes/)|2016-09-21|Many changes and improvements, please read relase info.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[2.40](https://play.google.com/store/apps/details?id=app.mapillary)|2016-09-23| Login and signup with OpenStreetMap and Google, fixes for more stable browsing.|
|[QGIS](http://www.qgis.org)|[2.16.3](https://github.com/qgis/QGIS/releases/tag/final-2_16_3)|2016-09-23|No infos|
|[Gnome Maps](https://wiki.gnome.org/Apps/Maps)|[3.22.0](http://linux.softpedia.com/progChangelog/GNOME-Maps-Changelog-102221.html)|2016-09-24|Added, updated or fixed translations: Persian, Italian, Scottish Gaelic and Ukrainian.|
|[Maperitive&nbsp; ](http://maperitive.net/)|[2.4.0](http://maperitive.net/docs/)|2016-09-25|No Info|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-09-26|No info|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.4.14](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-09-26| Login and signup with OpenStreetMap and Google,  preserving EXIF tags.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-09-26|GPS error fixed, new map data.|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[2.44.0](https://github.com/gravitystorm/openstreetmap-carto/compare/v2.43.0...v2.44.0)|2016-09-26|Please read info.|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",12
3011,"WN324","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[PostGIS](http://www.postgis.net)|[2.3.0](https://svn.osgeo.org/postgis/tags/2.3.0/ChangeLog)|2016-09-26|Support parallel processing when using PostgreSQL 9.6|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-09-28|Swipe-to-pause gesture and minor improvements.|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[8.4](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-09-28|Modifications for iOS 10|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.4.15](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-09-28|Two bugs fixed.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-09-28| Height profiles for pedestrians and cyclists, improvement of search and map editor.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[6.4.3](https://itunes.apple.com/app/id510623322)|2016-09-28| Height profiles for pedestrians and cyclists, improvement of search and map editor.|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.8r1200](https://github.com/MarcusWolschon/osmeditor4android/releases/tag/0.9.8r1200)|2016-09-28|No information.|
|[PostgreSQL](http://www.postgresql.org/)|[9.6.0](https://www.postgresql.org/docs/9.6/static/release-9-6.html)|2016-09-29|Highliht: Parallel support, please read release info.|
|[BRouter](http://brouter.de/brouter/)|[1.4.6](http://brouter.de/brouter/revisions.html)|2016-09-30|Improved memory footprint, tweaked recalculation timeout logic. |
|[Leaflet](http://leafletjs.com/)|[1.0.1](https://github.com/Leaflet/Leaflet/blob/master/CHANGELOG.md)|2016-09-30|Completely revised version, please read release information.|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.16.39](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-09-30|No specific information.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.25.1](https://github.com/mapbox/mapbox-gl-js/releases)|2016-09-30|Bug fix of the currently released version v0.25.0|
|[Traccar Client Android&nbsp;?](https://www.traccar.org/client/)|[3.12](https://www.traccar.org/blog/category/releases/)|2016-10-01|Fix some small issues.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[2.42](https://play.google.com/store/apps/details?id=app.mapillary)|2016-10-03|Bug fixes with login, signup and camera when receiving calls.|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",12
3026,"WN325","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Grass Gis](http://grass.osgeo.org/)|[7.0.5](https://grass.osgeo.org/news/63/15/GRASS-GIS-7-0-5-released/)|2016-10-02|150 stability fixes and manual improvements|
|[OSRM Backend](http://project-osrm.org/)|[5.4.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.4.0)|2016-10-04|Improved guidance and  lane support, many other changes|
|[Traccar Client iOS](https://www.traccar.org/client/)|[3.1](https://itunes.apple.com/us/app/traccar-client/id843156974)|2016-10-04|Build against iOS 10 SDK.|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[v1.0-2016-10-06](https://github.com/osm-fr/osmose-backend/releases)|2016-10-06|No info|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-10-10|No info|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.4.17](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-10-08|Two bugs fixed while transfering Images.|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).",12
3107,"WN326","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.49](https://play.google.com/store/apps/details?id=org.naviki)|2016-10-11|Layout revised, better bluetooth support, bugs fixed.|
|[GeoServer](http://geoserver.org/)|[2.9.2](http://blog.geoserver.org/2016/10/12/geoserver-2-9-2-released/)|2016-10-12|Better Mac OS support, 30 bugs fixed, many improvements.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.19.0](http://www.locusmap.eu/news-version-3-19-0/)|2016-10-12|New maps and some fixes.|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[2.44.1](https://github.com/gravitystorm/openstreetmap-carto/compare/v2.44.0...v2.44.1)|2016-10-12|Please read info.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-10-13|Adjustments and performance enhancements for Android 7|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.26.0](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.26.0)|2016-10-13|Six new functions, better performance and some bugs fixed.|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.8r1204](https://github.com/MarcusWolschon/osmeditor4android/releases/tag/0.9.8r1204)|2016-10-13|No informations.|
|[SQLite](http://www.sqlite.org/)|[3.15.0](http://www.sqlite.org/releaselog/3_15_0.html)|2016-10-14|Eight extensions and five bugs fixes.|
|[Mapzen Lost](https://mapzen.com/blog/open-source-location-services-with-lost/)|[2..1.0](https://github.com/mapzen/lost/releases/tag/lost-2.1.0)|2016-10-17|Four new funtions, four bugs fixed.|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",12
3132,"WN327","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[8.4.1](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-10-18|Bug fix release|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.16.42](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-10-18|Current speed, speed limits and speed camera warnings, improved management of alternative routes|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.4.18](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-10-18|Added support for Ricoh Theta S,  improved support for OSC v1 cameras and some more changes.|
|[Mapzen Lost](https://mapzen.com/blog/open-source-location-services-with-lost/)|[2..1.1](https://github.com/mapzen/lost/releases/tag/lost-2.1.0)|2016-10-18|Fixes connection state not being updated until after callbacks invoked.|
|[BRouter](http://brouter.de/brouter/)|[1.4.7](http://brouter.de/brouter/revisions.html)|2016-10-19|Added turncost and `oneway:bicycle=true`, two bugs fixed.|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.8r1204](http://vespucci.io/help/en/0.9.8%20Release%20notes/)|2016-10-19|See release info.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.0](https://play.google.com/store/apps/details?id=app.mapillary)|2016-10-20|User interface and navigation is completely redesigned and rebuilt, support for older Android devices and some more ""big changes"".|
|[OpenLayers](http://openlayers.org/)|[3.19.0](https://github.com/openlayers/ol3/releases/tag/v3.18.2)|2016-10-21|Vector fills will rotate, freehand mode enhanced, Styles can now easily be cloned.|
|[QGIS](http://www.qgis.org)|[2.18.0](https://github.com/qgis/QGIS/releases/tag/final-2_16_3)|2016-10-21|No infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-10-24|Bug fixes and new map data.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[6.4.4](https://itunes.apple.com/app/id510623322)|2016-10-24|Bug fixes and new map data.|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",12
3228,"WN328","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Graphhopper](https://graphhopper.com/)|[0.8](https://graphhopper.com/blog/2016/10/18/graphhopper-routing-engine-0-8-released/)|2016-10-18|Many changes, please read release info.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.0.1](https://play.google.com/store/apps/details?id=app.mapillary)|2016-10-26|Bugfix release.|
|[Route Converter](http://www.routeconverter.com)|[2.19](www.routeconverter.com/releases/)|2016-10-26|Many changes, please read release info.|
|[Cruiser for Android&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.12](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-10-27|Alternative routes, round trips, various improvements|
|[Cruiser for Desktop&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.12|2016-10-27|No info.|
|[PostgreSQL](http://www.postgresql.org/)|[9.6.1](https://www.postgresql.org/docs/9.6/static/release-9-6-1.html)|2016-10-27|This release contains a variety of fixes from 9.6.0.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-10-28|""Tips and comments"" accepting videos. |
|[OpenLayers](http://openlayers.org/)|[3.19.1](https://github.com/openlayers/ol3/releases/tag/v3.19.1)|2016-10-28|Patch release that addresses four regressions in the v3.19.0 release.|
|[Gnome Maps](https://wiki.gnome.org/Apps/Maps)|[3.23.1](http://linux.softpedia.com/progChangelog/GNOME-Maps-Changelog-102221.html)|2016-10-29|Fixed a typo and a formatting issue, handle a plain 00:00-24:00 opening hour specification as being ""always open"" for POIs|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.5.0](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-10-29|New camera mode: Auto, Compatibility fix for latest Ricoh Theta S firmware.|
|[GeoServer](http://geoserver.org/)|[2.10.0](http://blog.geoserver.org/2016/10/31/geoserver-2-10-0-released/)|2016-10-31|New Style Editor, CSS Styling Improvements and many more.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.20.0](http://www.locusmap.eu/news-version-3-20-0/)|2016-10-31|New maps, this time of Europe and Middle East.|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",12
