"id","blog","category","markdown","sg_id"
145,"WN273","Programming","Chros Whong has published a [plugin](https://github.com/chriswhong/leaflet-globeminimap) for the javascript based Leaflet library, that places a 3d globe in the corner of your map, centered on the same location as the main map.",8
231,"WN275","Programming","On October 26th, 2015 [Leaflet](http://leafletjs.com/) version [0.7.7](https://github.com/Leaflet/Leaflet/blob/master/CHANGELOG.md) was released.",8
451,"WN278","Programming"," Tim Wisniewski [announces](https://twitter.com/timwis/status/664497019134844928) his new [Choroplethen map Plugin](https://github.com/timwis/leaflet-choropleth) for LeafletJS on Twitter.",8
503,"WN279","Programming","PGRestAPI is [another](https://github.com/spatialdev/PGRestAPI/blob/master/docs/VectorTiles.md) vector tile offering, this time from [SpatialDev](http://spatialdev.com/) in Seattle (via [Ebrahim Poorazizi](https://twitter.com/mepoorazizi/status/664702633416880128) on twitter).  Again, it's Mapbox's ubiquitous vector tile format, but this time it's out of PostGIS and with a [Leaflet client library](https://github.com/SpatialServer/Leaflet.MapboxVectorTile), so arguably closer to what many people will already be doing to render OSM data.",8
575,"WN280","Programming","Via the plugin [Leaflet.Icon.Glyph](https://github.com/IvanSanchez/Leaflet.Icon.Glyph) you can display symbols from any font file  in map markers, ehich are then shown in a leaflet based map-",8
662,"WN281","Programming","There are many map styles and specialised overlays which can be added to Leaflet maps using the [Leaflet Providers](https://github.com/leaflet-extras/leaflet-providers) extension. Now you can view nice minimaps of all these styles [here](http://leaflet-extras.github.io/leaflet-providers/preview/index.html).",8
625,"WN281","Programming","MUX Lab [have published](http://muxlab.github.io/map-effects-100/) code and nice demos for a series of animated map effects which can be used to highlight areas on leaflet-generated maps and to provide custom pop-ups on user interaction.",8
806,"WN284","Software","The new [OpenRouteService](http://giscienceblog.uni-hd.de/2015/12/22/new-openrouteservice-now-with-live-traffic-data-improved-route-profiles-new-leaflet-client-and-more/) is now with new features like live traffic data, improved route profiles, new Leaflet client and more!",8
1038,"WN288","Programming","Iván Sánchez Ortega [describes](https://medium.com/@RealIvanSanchez/the-bugfixes-of-today-are-the-legacy-standards-of-tomorrow-216373ad04ff) all of what annoys him as the maintainer of [Leaflet](http://leafletjs.com/).",8
1465,"WN295","Events","Iván Sánchez Ortega will be giving a talk about Leaflet at the event [the future of leaflet](http://www.meetup.com/es-ES/Geoinquietos-MAD/events/229337932/?rv=ea1), one of the most widely used web mapping frameworks. Ivan will talk about the library, with the imminent release of version 1.0 and some ideas for the future.",8
1440,"WN295","Other Geo Things","The Java based leaflet can also [display](http://presseverykey.com/map/) things other than maps, for example the mainboard of the project [Everykey](http://presseverykey.com/).",8
1515,"WN296","Community","Creating applications with [QGIS web mapping](http://mappinggis.com/2016/03/crea-aplicaciones-webmapping-con-qgis/). ""qgis2web"" is a tool that can export QGIS projects to web maps such as OpenLayers 3 or Leaflet (it automatically creates HTML, Javascript and CSS files). ([automatic translation](https://translate.google.com/translate?sl=es&tl=en&js=y&prev=_t&hl=en&ie=UTF-8&u=http%3A%2F%2Fmappinggis.com%2F2016%2F03%2Fcrea-aplicaciones-webmapping-con-qgis%2F&edit-text=))",8
1508,"WN296","Programming","[mapfig](https://www.mapfig.com/) have created a new project [OpenTileServer](http://opentileserver.org/), which provides an installation script to set up an OSM tile server on an Ubuntu Linux system in a very easy way - think ""switch2osm"" but without the editing.  Users choose what data to load, and whether they want OSM's ""standard"" map style or ""OSM bright"".  Example OpenLayers and Leaflet pages are also included.",8
1737,"WN300","Humanitarian OSM","First results of the mapping efforts in Ecuador after earthquake.
- Map - Before and after - [Manta in the province of Manabí](http://pierzen.dev.openstreetmap.org/hot/leaflet/OSM-Compare-before-after.html#16/-0.9549/-80.7470)
- [How can I help? - remote - or in Ecuador](http://schoolofdata.org/2016/04/19/join-mappingecuador/) and among others is Mapillary.",8
2701,"WN319","Programming","Hartmut Holzgraefe [summarizes](http://blog.osm-baustelle.de/index.php/2016/08/27/openlayers-leaflet-and-other-improvements/) his latest work on improving his [Maposmatic](http://maposmatic.org/) instance.",8
