"id","blog","category","markdown"
171,"WN274","Software","On October 8th, 2015 [Locus](http://www.locusmap.eu/) Bugfix version [3.12.2](http://www.locusmap.eu/news-version-3-12-0/) was released."
353,"WN277","Software","On October 8th, 2015, shortly after version 3.13.0, [Locus](http://www.locusmap.eu/)  version [3.13.1](http://www.locusmap.eu/news-version-3-13.0/) has been released. May be a bug fix release."
721,"WN283","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Locus Map Free](http://www.locusmap.eu/)|[3.14.0](http://www.locusmap.eu/news-version-3-13.0/)|2015-12-17|Google Drive, more enhancements|
|[OpenLayers](http://openlayers.org/)|[3.12.1](https://github.com/openlayers/ol3/releases/tag/v3.12.1)|2015-12-17|Fix of 3.12.0|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.69](https://play.google.com/store/apps/details?id=app.mapillary)|2015-12-18|Map-in-Camera fixes|
|[QGIS](http://www.qgis.org)|[2.12.2](http://www.qgis.org/de/site/forusers/visualchangelog212/index.html)|2015-12-18|-|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.1](https://itunes.apple.com/us/app/mapillary/id757286802?mt=8&ign-mpt=uo%3D4)|2015-12-21|Map-in-Camera fixes|"
788,"WN284","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Maps.me](http://maps.me)|[5.3](https://github.com/mapsme/omim/releases/tag/android-release-53)|2015-12-21|Fixed zoom buttons bug|
|[Locus Map Free](http://www.locusmap.eu/)|[3.14.1](http://www.locusmap.eu/news-version-3-14.1/)|2015-12-22|Bug fixes|
|[OSRM Backend](http://project-osrm.org/)|[4.9.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v4.9.0)|2015-12-24|API changes, bug fixes, maintenance, new features|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2015-12-27](https://github.com/osm-fr/osmose-backend/releases)|2015-12-27||"
882,"WN286","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.70](https://play.google.com/store/apps/details?id=app.mapillary)|2015-12-18|Bug fixes|
|[Locus Map Free](http://www.locusmap.eu/)|[3.14.2](https://play.google.com/store/apps/details?id=menion.android.locus)|2016-01-05|Minor extensions|
|[iD](http://ideditor.com/)|[1.8.4](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-01-06|20+ enhancements and new presets|
|[PostGIS](http://www.postgis.net)|[2.2.1](http://svn.osgeo.org/postgis/tags/2.2.1/NEWS)|2016-01-06|Focus is on bugs, breakages, and performance issues. Esp. Topology|
|[SQLite](http://www.sqlite.org/)|[3.10.0](http://www.sqlite.org/releaselog/3_10_0.html)|2016-01-06|Enhancements and performance optimizations|
|[JOSM](http://josm.openstreetmap.de/)|[9329](http://josm.openstreetmap.de/wiki/Changelog)|2016-01-07|Improvements to partial fill areas, corrections in presets and others|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.2](https://itunes.apple.com/us/app/mapillary/id757286802?mt=8&ign-mpt=uo%3D4)|2016-01-07|Bug fixes|
|[PostgreSQL](http://www.postgresql.org/)|[9.5.0](http://www.postgresql.org/about/news/1636/)|2016-01-07|UPSERT, Row Level Security, Big Data Features|"
1074,"WN289","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Maps.me](http://maps.me)|[5.6](https://github.com/mapsme/omim/releases/tag/android-release-55)|2016-01-12|Bug fixed|
|[GeoServer](http://geoserver.org/)|[2.8.2](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=11901)|2016-01-26|4 Extensions in Geofence UIFixed 24 bugs|
|[Locus Map Free](http://www.locusmap.eu/)|[3.15.0](http://www.locusmap.eu/news-version-3-15-0)|2016-01-27|Charged biking maps, better downloads, estimated time of travel |
|[Grass Gis](http://grass.osgeo.org/)|[7.0.3](https://grass.osgeo.org/news/54/15/GRASS-GIS-7-0-3-released/)|2016-01-28|64-bit support and 210 stability fixes|
|[Atlas](http://wiki.openstreetmap.org/wiki/Atlas_(navigation_application))|[1.2.0](http://groups.google.com/group/atlas-app)|2016-01-30|POT search and info, better map and routing engines|"
1233,"WN291","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Maps.me iOS](http://maps.me)|[5.6](https://github.com/mapsme/omim/releases/tag/ios-release-56)|2016-02-08|-|
|[Basecamp Mac](http://www.garmin.com/en-US/shop/downloads/basecamp)|[4.6.1](http://www8.garmin.com/support/download_details.jsp?id=4449)|2016-02-09|-|
|[Atlas](http://wiki.openstreetmap.org/wiki/Atlas_(navigation_application))|[1.2.2](http://groups.google.com/group/atlas-app)|2016-02-11|Updated map engine, various improvements|
|[Locus Map Free](http://www.locusmap.eu/)|[3.15.3](https://play.google.com/store/apps/details?id=menion.android.locus)|2016-02-11|Bugs fixed|
|[PostgreSQL](http://www.postgresql.org/)|[9.5.1 ff](http://www.postgresql.org/about/news/1644/)|2016-02-11|Security update release|
|[Basecamp Windows](http://www.garmin.com/en-US/shop/downloads/basecamp)|[4.6.2](http://www8.garmin.com/support/download_details.jsp?id=4435)|2016-02-12|Please read info|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.7.5](https://play.google.com/store/apps/details?id=app.mapillary)|2016-02-12|fix bugs in camera map and Facebook auto sign|"
1482,"WN296","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Locus Map Free](http://www.locusmap.eu/)|[3.16.0](http://www.locusmap.eu/news-version-3-16-0)|2016-03-14|""Stop tracking"" button and some more eehancements|
|[iD](http://ideditor.com/)|[1.9.2](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-03-18|-|
|[OSRM Backend](http://project-osrm.org/)|[5.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.0.0-newapi.6)|2016-03-18|Cleanup, fixes and enhancements|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1537,"WN297","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GeoServer](http://geoserver.org/)|[2.8.3](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=11901)|2016-01-26|Fixed 25 bugs,  4 enhancements|
|[PostGIS](http://www.postgis.net)|[2.2.2](https://svn.osgeo.org/postgis/tags/2.2.2/ChangeLog)|2016-03-22|As befits a patch release, the focus is on bugs and breakages.|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.2.0](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-03-24|New Viewer and appropriate adjustments in the GUI|
|[QMapShack Linux](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.6.1|2016-03-24|-|
|[QGIS](http://www.qgis.org)|[2.14.1](http://www.qgis.org/de/site/forusers/visualchangelog214/index.html)|2016-03-25|-|
|[QMapShack Mac](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.6.1|2016-03-25|-|
|[Locus Map Free](http://www.locusmap.eu/)|[3.16.1](https://play.google.com/store/apps/details?id=menion.android.locus)|2016-03-27|Bugfix version|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1651,"WN299","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.2.1](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-04-05|Changes for GoPro|
|[Locus Map Free](http://www.locusmap.eu/)|[3.16.2](https://play.google.com/store/apps/details?id=menion.android.locus)|2016-04-06|Bugfix version|
|[SQLite](http://www.sqlite.org/)|[3.12.1](http://www.sqlite.org/releaselog/3_12_1.html)|2016-04-08|3 bugs fixed|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-04-09](https://github.com/osm-fr/osmose-backend/releases)|2016-04-09|-|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
