"id","blog","category","markdown","sg_id"
13229,"WN543","Programming","Mapbox GL JS [is no longer free software](https://github.com/mapbox/mapbox-gl-js/blob/main/CHANGELOG.md#200).
  Paul Ramsey [comments](https://blog.cleverelephant.ca/2020/12/mapbox-morrison.html) on the move in his blog.
  Ilya Zverev [reported](http://shtosm.ru/all/gl-js-v2/) ![(ru)](https://blog.openstreetmap.de/wp-uploads/2016/12/ru.svg) > [![en](https://weeklyosm.eu/wp-content/uploads/sites/4/2020/09/en-green.svg)](https://translate.google.com/translate?sl=auto&tl=EN&u=http://shtosm.ru/all/gl-js-v2/) on the forks and alternative libraries being developed, and comments on the development of Mapbox.
  Paul Norman [reacted](https://lists.openstreetmap.org/pipermail/dev/2020-December/031023.html), on the OSM-Dev mailing list, by saying that he is placing the client-side rendered [OpenStreetMap Cartographic](https://github.com/pnorman/openstreetmap-cartographic/) project on hold.
  The new [MapLibre](https://github.com/maplibre/maplibre-gl-js) project wants to maintain a free and open source fork of Mapbox GL JS 1.x, which might make Paul reconsider his decision.
  Steve Bennett [tweets](https://twitter.com/stevage1/status/1336968746838024193) that missing attribution of Mapbox GL by Azure Maps might have been a cause for Mapbox's decision. Mapbox's own attribution of OpenStreetMap data has been controversial.",11
13524,"WN549","Programming","Maptiler [provided](https://www.maptiler.com/news/2021/01/mapbox-gl-open-source-fork/) a more formal announcement of the MapLibre fork of Mapbox GL, which [we mentioned](https://weeklyosm.eu/archives/14064#wn543_23951) in passing at the time of Mapbox GL becoming proprietary software.",11
13577,"WN550","Maps","Marcel Normann, from the OpenSource User [Wheregroup](https://wheregroup.com/), [provided](https://wheregroup.com/blog/maplibre-out-of-the-box-was-kommt-nach-der-lizenzaenderung/)  ![(de)](https://blog.openstreetmap.de/wp-uploads/2016/12/de.svg) > [![en](https://weeklyosm.eu/wp-content/uploads/sites/4/2020/09/en-green.svg)](https://translate.google.com/translate?sl=auto&tl=EN&u=https://wheregroup.com/blog/maplibre-out-of-the-box-was-kommt-nach-der-lizenzaenderung/) some more background information about [MapLibre](https://github.com/maplibre) (we [reported](https://weeklyosm.eu/archives/14235#wn549_24236) earlier).",11
13547,"WN550","OSM in the media","If you've integrated Mapbox GL JS Version 1.13 or older into your product, the [MapLibre](https://github.com/maplibre) project is a strong open source alternative to the latest proprietary Mapbox 2.0 update, opensource.com [says](https://opensource.com/article/21/1/open-source-news).",11
14984,"WN588","Software","[Flatmap](https://github.com/onthegomap/flatmap) is a tool that generates Mapbox Vector Tiles from geographic data sources like OpenStreetMap. Vector tiles contain raw point, line, and polygon geometries that clients such as MapLibre can use to render custom maps ([demo](https://onthegomap.github.io/flatmap-demo/)).",11
16219,"WN622","Education","Astrid Günther [explained](https://blog.astrid-guenther.de/en/maplibre-vector-tiles-self-host/), in a tutorial, how she created vector tiles for a small area of Earth and hosts them herself.",11
16477,"WN632","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2022/09/632_T_all.jpg =979x499)

OpenAEDMap [[^1^](#wn632_27264)\]  | © [OpenAEDMap](https://github.com/openstreetmap-polska/openaedmap-frontend) | © [MapLibre](https://maplibre.org/) | map data  © [OpenStreetMap contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ)",11
16778,"WN640","Software","Board members from the [MapLibre](https://maplibre.org/) community have [reached](https://github.com/maputnik/editor/issues/788) out to Maputnik proposing a collaboration as a consequence of Mapbox's GL JS closed-source update.",11
16864,"WN642","Software","Stamen has begun [work](https://latlong.blog/2022/11/maplibre-teams-up-with-stamen-to-work-on-native-sdk.html) on improving MapLibre Native, an Open Source SDK for rendering maps, with funding from AWS.",11
17086,"WN650","Software","[Overpass Ultra](https://overpass-ultra.trailsta.sh/) is a [fork](https://gitlab.com/trailstash/overpass-ultra) of the popular tool overpass turbo. The developers note that 'because it uses MapLibre GL JS instead of Leaflet, it can be used to visualise significantly larger Overpass API results than overpass turbo'.",11
17129,"WN651","Programming","Inspired by Overpass Ultra (we [reported](https://weeklyosm.eu/archives/16228#wn650_27898) earlier) rtnf [attempted](https://www.openstreetmap.org/user/rtnf/diary/400696) to install MapLibre GL Native on their Android platform. They documented some of the gotchas that need to be circumvented in order to get a working installation.",11
17223,"WN653","Programming","Tobin Bradley [recorded](https://www.youtube.com/watch?v=dF9UuVKOf34) a screencast video that captures how protomaps is used to create a PMTiles file, a single file vector tiles format, and integrate it into a MapLibre demo map. This setup allows you to create vector tile maps with static infrastructure.",11
17837,"WN671","Software","MapLibre [released](https://twitter.com/maplibre/status/1662724541980786689) their 2023 [strategic plan](https://maplibre.org/about/).",11
18030,"WN677","Programming","Stadia Maps [announced](https://stadiamaps.com/news/new-sdks-and-maplibre-plugin/) the initial release of three SDKs (JavaScript/TypeScript, Python, and Kotlin), along with a MapLibre GL JS autocomplete search box plugin for their services. All are open source and available on their GitHub.",11
