"id","blog","category","markdown"
2396,"WN313","Humanitarian OSM","If you want to help HOT mapping efforts by preprocessing aerial imagery while you're on the road, you can now use [Mapswipe](http://mapswipe.org/), so mappers can focus on the areas where there are actual features to map and where the imagery is useful (no clouds, sufficient resolution). You can download data beforehand and work with it while offline. The tutorial [shows](http://www.missingmaps.org/blog/2016/07/18/mapswipetutorial/) some examples, so that the ""mapping"", as it is called there, too, can be carried out correctly."
2492,"WN315","Humanitarian OSM","You would like to see [MapSwipe](http://mapswipe.org/) in your language? Then [translate](https://docs.google.com/spreadsheets/d/1rWkOUze6GTagZDnKEENdYxGjlOaAC1PUL0AvoHxBSY0/edit?usp"
2517,"WN316","Humanitarian OSM","The Guardian [reports](https://www.theguardian.com/global-development/2016/aug/05/app-that-helps-aid-workers-i-watched-tv-while-mapping-100km-of-nigeria?CMP=twt_gu) about [MapSwipe](http://mapswipe.org/), and almost (but not quite) manages to avoid mentioning Pokémon Go in the article."
2717,"WN319","Humanitarian OSM","Doctors Without Borders [introduces](https://www.inverse.com/article/20251-new-doctors-without-borders-app-crowd-sources-cartography) a mobile app called MapSwipe to enable smart phone users to help map remote regions. [MapSwipe](http://mapswipe.org/) is a part of the larger Missing Maps project."
2732,"WN320","Humanitarian OSM","[Mapswipe](http://mapswipe.org/) was probably [used](https://twitter.com/TheMissingMaps/status/772750731413712896) with success in Myanmar."
3205,"WN328","Humanitarian OSM","The Atlantic's Citylab [explains](http://www.citylab.com/tech/2016/10/mapswipe-map-crisis-zones-conflict-regions-red-cross/505376/) the concept of the app [MapSwipe](http://mapswipe.org/), its goals and where it's headed."
3559,"WN335","Humanitarian OSM","Africa Times [follows up](http://africatimes.com/2016/12/18/making-africas-maps-the-app-with-a-mission-that-invites-everyone-to-join/) FT's coverage of Missing Maps with an article detailing their involvement in Africa, as well as [MapSwipe](http://mapswipe.org/)."
4193,"WN348","Humanitarian OSM","Pjstewart1984 [describes](http://www.openstreetmap.org/user/pjstewart1984/diary) in his blog, how the results from [MapSwipe](https://mapswipe.org/) can be used in [OSM Tasking Manager](http://tasks.hotosm.org/)."
4240,"WN349","Humanitarian OSM","Joost Schouppe [is looking for](http://lists.openstreetmap.org/pipermail/hot/2017-March/013194.html) validators after the successful Belgian National Mapathon. The more than 300 participants completed the last few gaps in the map of Sierra Leone, which had been mapped in several previous HOT projects. A novelty as MapSwipe was used beforehand to find those spots, so mappers could concentrate on them. They also made a dent in the monster project #1396 in Nigeria, which has been ongoing for more than a year now. Also several tasks to help MSF fight malaria."
4256,"WN350","Humanitarian OSM","[Benjamin Herfort](http://www.geog.uni-heidelberg.de/gis/herfort.html) from the University of Heidelberg has [published](http://giscienceblog.uni-hd.de/2017/03/28/10-million-contributions-its-time%20-for-mapswipe-analytics/) an article in the [GIScience News Blog](http://k1z.blog.uni-heidelberg.de/) titled ""10 Million Contributions: It’s time for MapSwipe Analytics!"". He refers, among other things, to several activities:
  [MapSwipe Analytics website](http://mapswipe.geog.uni-heidelberg.de/)
  [MapSwipeTools](https://gitlab.com/giscience/MapSwipe/MapSwipeTools)
  [MapSwipe Data Repository](http://mapswipe.geog.uni-heidelberg.de/download/)

and a scientific article
""Towards evaluating the mobile crowdsourcing of geographic information about human settlements."" AGILE 2017 International Conference on Geographic Information Science. "" written by Herfort, B., Reinmuth, M., Porto de Albuquerque M.J. and Zipf, A."
4432,"WN354","Programming","Jiaoyan Chen is pursuing [research](http://k1z.blog.uni-heidelberg.de/2017/04/12/deepvgi-at-www2017-perth/) at the University of Heidelberg on how data from OSM and MapSwipe can be used to train neural networks with the objective of an [automated](https://github.com/ChenJiaoyan/DeepVGI-0.2) detection of buildings on satellite images. First preliminary results are now [available](http://papers.www2017.com.au.s3-website-ap-southeast-2.amazonaws.com/companion/p771.pdf) in a paper."
5426,"WN374","Humanitarian OSM","Daniel Mietchen [writes](https://twitter.com/EvoMRI/status/909616938514513920) some detailed notes, including feedback and critiques, whilst using MapSwipe for the first time."
8874,"WN449","Humanitarian OSM","HeiGIT [reports](http://giscienceblog.uni-hd.de/2019/02/25/put-the-worlds-most-vulnerable-people-on-the-map-with-mapswipe/) on what's going on with the [MapSwipe](http://mapswipe.org/) app, a micro-tasking app for supporting mapping, for example in the humanitarian sector. A next step is, for example, the integration of the results of machine learning based building detection."
8925,"WN450","Humanitarian OSM","The Heidelberg University [details](http://k1z.blog.uni-heidelberg.de/2019/02/25/put-the-worlds-most-vulnerable-people-on-the-map-with-mapswipe/) the past and future of MapSwipe, an app for phones that can be used to map human settlements from satellite imagery. During the past 2.5 years the app has helped to identify places that have not been mapped so far. The team is currently working on extending the scope to allow the mapping of individual building footprint geometries."
9346,"WN458","Humanitarian OSM","The [MapSwipe](https://wiki.openstreetmap.org/wiki/MapSwipe) Community and the Heidelberg Institute of Geoinformation Technology [started working](http://k1z.blog.uni-heidelberg.de/2019/04/29/mapswipe-for-change-detection-analysis/) on a MapSwipe extension that will allow users to find changes by comparing two satellite images to help humanitarian mapping efforts."
9985,"WN472","Other Geo Things","Deep and machine learning are becoming more popular in the field of map making. Benjamin Herfort [reports](http://k1z.blog.uni-heidelberg.de/2019/07/31/mapping-human-settlements-with-higher-accuracy-and-less-volunteer-efforts-by-combining-crowdsourcing-and-deep-learning/) on work undertaken to combine crowdsourced data from [MapSwipe](https://mapswipe.org/), with data derived from deep learning applied to satellite imagery and OpenStreetMap data, to delineate human settlement areas. The combined method produced maps that were more accurate than the crowdsourced only version but reduced the volunteer efforts needed by at least 80 percentage points for all study sites."
10391,"WN481","Humanitarian OSM","MapSwipe, a mobile app used since 2015 in the humanitarian area for identification of settled places, has introduced two new functions as [HOT](https://www.hotosm.org/updates/mapswipe-2-dot-0-support-humanitarian-response-in-five-minutes-with-a-mobile-app/) and [MissingMaps](https://www.missingmaps.org/blog/2019/10/01/MapSwipe-v2/) have reported. Volunteers can indicate where buildings are inaccurate or of low-quality and a rework in OSM is required following changes on the ground ."
11356,"WN502","Humanitarian OSM","MapSwipe has won the Global Mobile Award for the Best Mobile Innovation Supporting Emergency or Humanitarian Situations. The GIScience News Blog [explains](http://k1z.blog.uni-heidelberg.de/2020/02/28/mapswipe-wins-global-mobile-award-for-the-best-mobile-innovation-supporting-emergency-or-humanitarian-situations/) the aims and background of the MapSwipe project."
11467,"WN504","Humanitarian OSM","[MapSwipe](https://mapswipe.org/), in which Prof. Alexander Zipf, of the University of Heidelberg, played a major role, [was awarded](https://twitter.com/HITStudies/status/1238467764437778432?s=19) a main prize at the 'Mobile World Congress' trade fair in Barcelona, Spain."
12041,"WN517","Humanitarian OSM","Valeriy Trubin recorded a [video](https://youtu.be/ZpWNFLRUlS0) ![(ru)](https://blog.openstreetmap.de/wp-uploads/2016/12/ru.svg) review of the MapSwipe mobile app."
12715,"WN531","Humanitarian OSM","The app [MapSwipe](https://mapswipe.org) is being [extended](http://k1z.blog.uni-heidelberg.de/2020/09/16/osm-completeness-mapping-for-airborne-situation-assessment-following-an-earthquake/) to be able to compare the completeness of OSM data with airborne or satellite imagery. A first prototype was developed and tested in the [LOKI](https://www.geog.uni-heidelberg.de/gis/LOKI_en.html) project at [Heidelberg University](https://www.geog.uni-heidelberg.de/gis/index_en.html). The use case is building footprints, as they are important inputs to earthquake risk exposure models."
13166,"WN541","Humanitarian OSM","Laurent Savaëte, a co-developer of MapSwipe, [is encouraging](https://www.missingmaps.org/blog/2020/11/24/a-year-of-blogs/) people to join and contribute to the Missing Maps Project."
14588,"WN576","Software","Mapswipe [announced](https://twitter.com/mapswipe/status/1421418726860132352?s"
15133,"WN592","Education","Videos of presentations by Heidelberg Institute for Geoinformation Technology (HeiGIT), given at the recent FOSS4G conference, [are now available](http://k1z.blog.uni-heidelberg.de/2021/11/14/foss4g-2021-videos-with-heigit-contributions-online-osm-data-quality-and-mapswipe/) online. Subjects include: an [OSM Confidence Index](https://www.youtube.com/watch?v=DWkISL4qbME) developed using the [ohsome.org](https://heigit.org/big-spatial-data-analytics-en/ohsome/) framework, and an introduction and update on [MapSwipe ](https://www.youtube.com/watch?v=DIrPPKUS2_k)."
