"id","blog","category","markdown"
137,"WN273","Programming","Jerome Cukier reports that the sourcecode of [React-map-gl](https://github.com/uber/react-map-gl) was published. This project provides a React friendly API wrapper around Mapbox GL JS. A webGL based vector tile mapping library."
205,"WN274","Programming","Richard Fairhurst publishes [Glug](https://github.com/systemed/glug), a text-based and compact markup language that compiles to Mapbox GL JSON styles. (via [@richardf](https://twitter.com/richardf/status/652187491441750016))"
1548,"WN297","Maps","Christopher Möller of webkid [explains](http://blog.webkid.io/mapbox-gl-data-visualization/) how they used Mapbox GL to generate a vector based and interactive map of cycleways in Berlin."
2227,"WN310","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GraphHopper Routing Engine](https://graphhopper.com/)|[0.7](https://graphhopper.com/blog/2016/06/15/graphhopper-routing-e+ngine-0-7-released/)|2016-06-15|Java 7 support, new translations and many more
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.20.1](https://github.com/mapbox/mapbox-gl-js/releases)|2016-06-21|Bugfix|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.40|2016-06-21|No info|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-06-23](https://github.com/osm-fr/osmose-backend/releases)|2016-06-23|No info|
|[OSM Buildings](http://osmbuildings.org)|[3.0.0](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v3.0.0)|2016-06-24|4 changes and 2 fixes|
|[OSRM Backend](http://project-osrm.org/)|[5.2.6](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.6)|2016-06-24|Bugfix |
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.8](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-06-25|Multilingual vector maps|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.7|2016-06-25|-|
|[Locus Map Free](http://www.locusmap.eu/)|[3.18.0](http://www.locusmap.eu/news-version-3-18-0)|2016-06-27|New function added|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2372,"WN313","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[QGIS](http://www.qgis.org)|2.16.0|2016-07-08|No infos|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.41.0|2016-07-12|No infos|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.21.0](https://github.com/mapbox/mapbox-gl-js/releases)|2016-07-13|11 new features & improvements, 10 bug fixes|
|[Naviki iOS](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.45](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2016-07-13|Some improvements|
|[Komoot iOS](https://www.komoot.de/)|[8.2](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-07-14|Some extensions and improvements|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.6.3|2016-07-15|No infos|
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.9](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-07-16|SVG Graphics|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.8|2016-07-16|No infos|
|[Locus Map Free](http://www.locusmap.eu/)|3.18.4|2016-07-16|Bugfix release|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.90.1](https://lists.openstreetmap.org/pipermail/dev/2016-July/029370.html)|2016-07-16|Maintainance release without new features|
|[iD](http://ideditor.com/)|[1.9.7](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-07-17|No infos|
|[Mapillary iOS](http://www.mapillary.com/map)|[4.4.3](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-07-17|Some fixes|
|[Naviki Android](https://www.naviki.org/naviki/)|[3.45](https://play.google.com/store/apps/details?id=org.naviki)|2016-07-18|Some improvements|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2510,"WN316","Licenses","Due to the [discussion](https://github.com/osm2vectortiles/osm2vectortiles/issues/387) about the replicas of the map style Mapbox Streets (in JSON format of Mapbox GL) between Mapbox and the OSM2Vectortiles project. Steve Gifford [writes about](http://mousebirdconsulting.blogspot.de/2016/08/deprecating-mapbox-gl-style-sheet.html) Mapbox GL Style Sheets of the WhirlyGlobe toolkit for version 2.5. Styled Layer Descriptor format support is coming soon. As Steve says: ""Not as cool, but a nice safe OGC standard."""
2588,"WN317","Maps","A free Mapbox GL basemap, [OSM liberty](https://github.com/lukasmartinelli/osm-liberty) from OpenStreetMap, with complete liberty to use and self host. It is a fork of OSM Bright based on free data sources with a mission for a clear good looking design for the everyday user."
2555,"WN317","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[OSRM Backend](http://project-osrm.org/)|[5.3.2](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.3.1)|2016-08-09|One bug fixed|
|[Naviki Android](https://www.naviki.org/naviki/)|[3.45.3](https://play.google.com/store/apps/details?id=org.naviki)|2016-08-11|Two errors fixed|
|[SQLite](http://www.sqlite.org/)|[3.14.1](http://www.sqlite.org/releaselog/3_14_0.html)|2016-08-11|Performance enhancement to the page-cache, fix of --rbu option|
|[JOSM](http://josm.openstreetmap.de/)|[10786](http://josm.openstreetmap.de/wiki/Changelog)|2016-08-12|Java 7 not supported any more, new function ""Paste at source position"", support geo: URLs |
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.22.0](https://github.com/mapbox/mapbox-gl-js/releases)|2016-08-12|Two breaking changes, seven new features & improvements, eight bugfixes|
|[Mapillary Android](http://www.mapillary.com/map)|[2.38](https://play.google.com/store/apps/details?id=app.mapillary)|2016-08-12|Many extensions and some bug fixes|
|[Mapillary iOS](http://www.mapillary.com/map)|[4.4.9](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-08-12|Three bugs fixed|
|[OsmAnd+ for Android](http://osmand.net/)|[var](https://play.google.com/store/apps/details?id=net.osmand.plus)|2016-08-12|New UI, enhanced POI search, improved POI and OSM editing|
|[PostgreSQL](http://www.postgresql.org/)|[9.5.4 ff](https://www.postgresql.org/docs/9.5/static/release-9-5-4.html)|2016-08-12|Update releases fixing a number of issues of 9.5.3|
|[Maps.me Android](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-08-15|POI for Olympia, updated map data|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2652,"WN318","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[OsmAnd for Android  ](http://osmand.net/)|[2.4](http://osmand.net/blog)|2016-08-08|New search interface and many fixes|
|[Magic Earth  ](http://www.generalmagic.com/magic-earth/)|[7.1.16.33](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-08-16|GPS problems solved, better performance, some bugs fixed|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.22.1](https://github.com/mapbox/mapbox-gl-js/releases)|2016-08-18|Reduced library size, warning added, three bugs fixed|
|[Mapillary Android  ](http://www.mapillary.com/map)|[2.39](https://play.google.com/store/apps/details?id=app.mapillary)|2016-08-18|Some adjustments and fixes|
|[Maps.me Android  ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-08-18|Changes in vehicle and bicycle navigation, better hotel search, new map data|
|[Maps.me iOS  ](http://maps.me)|[6.3.2](https://itunes.apple.com/app/id510623322)|2016-08-18|Changes in vehicle and bicycle navigation, better hotel search, new map data|
|[OsmAnd+ for Android  ](http://osmand.net/)|[var](https://play.google.com/store/apps/details?id=net.osmand.plus)|2016-08-22|New search interface and many fixes|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
2695,"WN319","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[Maps.me iOS  ](http://maps.me)|[6.3.3](https://itunes.apple.com/app/id510623322)|2016-08-18|Search fixed, new map data|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-08-22](https://github.com/osm-fr/osmose-backend/releases)|2016-08-22|No info|
|[Mapillary iOS  ](http://www.mapillary.com/map)|[4.4.10](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-08-23|iOS 10 support, bug fixed|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.23.0](https://github.com/mapbox/mapbox-gl-js/releases)|2016-08-24|Five new functions, performance enhancements and some bugs fixed|
|[ODL Studio](http://www.opendoorlogistics.com/software/)|[1.3.5](http://www.opendoorlogistics.com/odl-studio-v1-3-5-released)|2016-08-24|Update notifyer, two bugs fixed|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.7](http://vespucci.io/help/en/0.9.7%20Release%20notes/)|2016-08-24|Too much, please read release info|
|[Locus Map Free  ](http://www.locusmap.eu/)|3.18.7|2016-08-25|BRouter configuration, some fixes|
|[Maps.me Android  ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-08-25|GPS error fixed, new map data|
|[QGIS](http://www.qgis.org)|2.16.2|2016-08-26|No infos|
|[OpenLayers](http://openlayers.org/)|[3.18.1](https://github.com/openlayers/ol3/releases/tag/v3.18.1)|2016-08-29|Patch of the recently published 3.18.0|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
