"id","blog","category","markdown"
7850,"WN427","Did you know that …",".... [Map Compare](https://mc.bbbike.org/mc/?lon=-3.841996&lat=56.000372&zoom=18&num=2&mt0=mapnik&mt1=google-map&marker=), which can also be used to show the different addressees of the OSM mapping. The example of Falkirk in Scotland shows that on OSM, what can be seen on the ground is shown as far as possible. A comparison of video and map are [worth watching](https://www.youtube.com/watch?v=x3EzijS6ivI)."
14100,"WN563","Did you know that …","... the [(fruit) tree map](https://mymapnik.rudzick.it)? If you zoom in more details will be displayed."
14902,"WN585","Did you know that …","... that the colour scheme of the OSM Mapnik layer, now replaced by CartoCSS with a revised scheme, was [investigated](https://www.researchgate.net/publication/255978894_Analysis_and_Improvement_of_the_OpenStreetMap_Street_Color_Scheme_for_Users_with_Color_Vision_Deficiencies) by researchers from Hamburg University in 2013? Richard Fairhurst, who created the original colour scheme, [speculated](https://twitter.com/richardf/status/1444607192204812291) that the effort spent on research was considerably greater than that spent on choosing the colours in the first place."
91,"WN273","Programming","Also on October 8th, 2015 [Mapnik](http://mapnik.org/) version [3.0.6](https://github.com/mapnik/mapnik/blob/master/CHANGELOG.md#306) was released."
127,"WN273","Other Geo Things","Cool, now the kids have not to go out to a maze. The [Corn Maze](https://www.google.ca/maps/@53.4529447,-113.7316593,3a,75y,242.06h,74.89t/data=!3m7!1e1!3m5!1svyJXq4flWiYAAAQIt_OasA!2e0!3e2!7i13312!8i6656?hl=en) near [Edmonton](http://tools.geofabrik.de/mc/#17/53.4524/-113.7296&num=3&mt0=bing-satellite&mt1=mapnik&mt2=google-map) is already available online. ;-)"
237,"WN275","Programming"," On October 26th, 2015 [Mapnik](http://mapnik.org/) version [3.0.8](https://github.com/mapnik/mapnik/blob/master/CHANGELOG.md#308) was released."
307,"WN276","Programming","TobWen [complains](https://github.com/mapnik/mapnik/issues/3149) the rendering of Mapnik 3 compared with its predecessor Mapnik 2.x. "
523,"WN280","Programming","Releases

| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
 |[QMapShack Linux](https://bitbucket.org/maproom/qmapshack/wiki/Home)|[1.5.1](xxx)|2015-11-22||
 |[QMapShack Mac](https://bitbucket.org/maproom/qmapshack/wiki/Home)|[1.5.1](xxx)|2015-11-22||
 |[Magic Earth](http://www.generalmagic.com/magic-earth/)|[7.0.15.48](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2015-11-24||
 |[OsmAnd](http://osmand.net/)|[2.2](http://osmand.net/blog?id=osmand-2-2-released)|2015-11-25||
 |[Mapnik](http://mapnik.org/)|[3.0.9](https://github.com/mapnik/mapnik/blob/master/CHANGELOG.md#308)|2015-11-26||
 |[QGIS](http://www.qgis.org)|[2.12.1](http://changelog.qgis.org/qgis/version/2.12/)|2015-11-27||
 |[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[2.37.0](https://lists.openstreetmap.org/pipermail/talk/2015-December/075134.html)|2015-11-30||"
1328,"WN293","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[libosmium](http://osmcode.org/libosmium/)|[2.6.1](https://github.com/osmcode/libosmium/blob/master/CHANGELOG.md)|2016-02-22|New CMake option, massive speed imp
rovements when building multipolygons. |
|[Maps.me Android](http://maps.me)|[5.6.4](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-02-24|-|
|[Atlas](http://wiki.openstreetmap.org/wiki/Atlas_(navigation_application))|[1.2.3](http://groups.google.com/group/atlas-app)|2016-02-25|Updated map engine and v
arious improvements|
|[QMapShack Linux](https://bitbucket.org/maproom/qmapshack/wiki/Home)|[1.6.0](http://thread.gmane.org/gmane.comp.gis.qlandkartegt.user/2522)|2016-02-25||
|[Mapnik](http://mapnik.org/)|[3.0.10](https://github.com/mapnik/mapnik/blob/master/CHANGELOG.md#308)|2016-02-26||
|[QMapShack Mac](https://bitbucket.org/maproom/qmapshack/wiki/Home)|[1.6.0](xxx)|2016-02-27||
|[JOSM](http://josm.openstreetmap.de/)|[9900](http://josm.openstreetmap.de/wiki/Changelog)|2016-02-28|Extensions in relation editor and some more|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1774,"WN301","Other Geo Things","The David Rumsey Map Colletion ([which we already reported about](http://www.openculture.com/2016/04/download-67000-historic-maps-in-high-resolution-from-the-wonderful-david-rumsey-map-collection.html)) now [offers](http://www.openculture.com/2016/04/download-67000-historic-maps-in-high-resolution-from-the-wonderful-david-rumsey-map-collection.html) to 67,000 historic high resolution maps for download. This short [video](https://www.youtube.com/watch?v=0OrSVn8k8Mc) explains how to use the [Georeferrencer](http://rumsey.georeferencer.com/map/Z2f5WqwSfjwqpF6yOymr66/201306171543-tm8R1i/georeference), a tool that shows the historic map simultaneously side by side ([more or less like map compare](http://tools.geofabrik.de/mc/#14/49.0115/8.4022&num=2&mt0=mapnik&mt1=google-map)) with a recent OSM map."
