"id","blog","category","markdown"
75,"WN272","Maps","On [OpenStreetMap.org](http://www.openstreetmap.org/directions?engine=mapzen_foot&route=51.5813%2C7.2702%3B51.5660%2C7.1995#map=14/51.5743/7.2347) tomhughes has integrated the Mapzen routing engine. (via [github](https://github.com/openstreetmap/openstreetmap-website/commit/e54eadea95296a68044bd3f2b092b978a808f1b7))
"
226,"WN275","Other Geo Things","Peter Richardson [explains](https://mapzen.com/blog/escape-from-mercator) in Mapzen's blog other than Mercator projections with some Tangram based animated graphics and maps.
"
633,"WN281","Mapping","A [Mapzen blog](https://mapzen.com/blog/targeted-editing-no-name-roads) encourages us to improve the awesomeness of  OSM data by naming un-named segments of roads. A tool is provided to help you to locate relevant roads which need to be named."
641,"WN281","Other Geo Things","Mapzen has introduced [three new pretty styles](https://mapzen.com/blog/introducing-refill-cinnabar-and-zinc-styles-for-tangram) based on their Vector Tiles service."
658,"WN281","Other Geo Things","In an [open letter](ttps://mapzen.com/blog/an-open-letter-to-audi-ag-bmw-group-and-daimler-ag) Mapzen CEO, Randy Meech, asks Audi, BMW and Dailmer to consider opening HERE data and also to enable user editing of the data. Matt Amos [explains](https://mapzen.com/blog/an-open-letter-mapzens-ceo) why he feels the proposal is not particularly constructive."
693,"WN282","Mapping","Mapzen's ""Targeted Editing"" this time is focussed on [schools](https://mapzen.com/blog/targeted-editing-school-polygons) with the subtitle: ""For schools, polygons are twice as nice!"""
748,"WN283","Open Data","In their new series, [Meaningful Geocoding](https://mapzen.com/blog/meaningful-geocoding-address-search-the-two-core-principles-of-geocoding), Mapzen shares the principles and practices of geocoding that they are incorporating in building [Pelias](https://github.com/pelias/pelias), their open source geocoder that powers their search entirely on open data."
799,"WN284","Other Geo Things","Mapzen has a Christmas present for all the users who have asked for a [batch geocoder](http://holidaysearch.mapzen.com) ;-)"
1131,"WN290","Community","Matt Amos [writes](https://mapzen.com/blog/station-relations) at Mapzen blog about attempts to derive the relevance of railway stations from route and stop area relations."
1138,"WN290","Community","[Geraldine Sarmiento](https://mobile.twitter.com/sensescape) cartographer at Mapzen shows in [a blog entry](https://mapzen.com/blog/lines) how different lines styles make different maps."
1166,"WN290","Maps","Mapzen [enhanced](https://mapzen.com/blog/narrative-shape-up) the output of their route guidance, which also improves the routing on the main site."
1194,"WN291","Community","'[Targeted Editing - Tailgate Mania](https://mapzen.com/blog/targeted-editing-tailgate-mania)', a blog by Mapzen encourages people to add parking areas, parking aisles and access points to OpenStreetMap."
1241,"WN292","Mapping","To inspire you to take you through your New Year’s fitness resolution, Mapzen writes a [blog](https://mapzen.com/blog/new-years-resolutions-fitness) encouraging people to map more fitness centres in their cities."
1326,"WN293","Programming","According to the mapzen.com's [blog](https://mapzen.com/blog/inside-libpostal), [libpostal](https://github.com/openvenues/libpostal) is a new fast statistical parser/normalizer for street addresses around the world."
1391,"WN294","Maps","In Mapzen's company blog you can read about the [new features](https://mapzen.com/blog/vector-tiles-v0-8-preview) of Mapzen's vector tile service. Feedback is appreciated."
1464,"WN295","Mapping","With Spring break upon us, Mapzen [writes](https://mapzen.com/blog/new-years-resolutions-travel) about helping fellow travel-resolution enthusiasts by adding hotels and other types of lodging to OpenStreetMap."
