"id","blog","category","markdown","sg_id"
309,"WN276","Programming","[GeometaLab](http://www.ifs.hsr.ch/index.php?id=12520) of Hochschule Rapperwil, Switzerland announced: We're actually evaluating the many @Docker versions of #Nominatim #DockerHub and analyzing performance bottlenecks!"" ",3
330,"WN276","Programming","The Node.js module [csvgeocode](https://github.com/veltman/csvgeocode) can convert [lists of geographical coordinates in an address list](http://www.fulcrumapp.com/blog/geocoding-data-with-NodeJS). As backend services Google, Mapbox, OSM Nominatim, Mappen or Texas A & M's can be used.",3
743,"WN283","Community","A complaint from John Goodman at talk about the incorrect search behavior on the page led to an [interesting discussion](https://lists.openstreetmap.org/pipermail/talk/2015-December/075195.html) about existing and missing functionality of Nominatim and the main page.",3
781,"WN284","Community","Discussion about Nominatim and its surprising search results [continues](https://lists.openstreetmap.org/pipermail/talk/2015-December/075195.html)",3
1102,"WN289","Software","The layout of [nominatim.openstreetmap.org](http://nominatim.openstreetmap.org) has been changed. The detail page especially, has been improved considerably!",3
1250,"WN292","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[SQLite](http://www.sqlite.org/)|[3.11.0](http://www.sqlite.org/releaselog/3_11_0.html)|2016-02-15|Many improvements and bug fixes|
|[Basecamp Mac](http://www.garmin.com/en-US/shop/downloads/basecamp)|[4.6.2](http://www.garmin.com/support/download_details.jsp?id=4449)|2016-02-17|4 bug fixes|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[2.38](https://lists.openstreetmap.org/pipermail/talk/2016-February/075556.html)|2016-02-17|Changes in rendering, various bug fixes and minor improvements.|
|[Nominatim](http://wiki.openstreetmap.org/wiki/Nominatim)|[2.5.0](https://github.com/twain47/Nominatim/releases/tag/v.2.5.0)|2016-02-21|Web interface enhanced, API extensions|

provided by the [OSM Software Watchlist](http://osm.wno-edv-service.de/index.php/osm-software)",3
2881,"WN322","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Nominatim](http://wiki.openstreetmap.org/wiki/Nominatim)|[2.5.1](https://github.com/twain47/Nominatim/releases/tag/v.2.5.1)|2016-08-02|Bug fix release with minor fixes|
|[SQLite](http://www.sqlite.org/)|[3.14.2](http://www.sqlite.org/releaselog/3_14_2.html)|2016-09-12|Six fixes|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[v1.0-2016-09-13](https://github.com/osm-fr/osmose-backend/releases)|2016-09-13|No info|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.7.1|2016-09-14|No infos|
|[libosmium](http://osmcode.org/libosmium/)|[2.9.0](https://github.com/osmcode/libosmium/releases)|2016-09-15|see below|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.4.0](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2016-09-15|Eight extensions, six changes and 2 fixes|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2016-09-15](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|2016-09-15|Fixed GPX output format, support portuguese, some other fixes |
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.9.0](https://github.com/osmcode/pyosmium/releases)|2016-09-15|Adjustments to actual libosmium|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.16.37](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-09-16|Eliminates GPS problems, improved audio via Bluetooth, further changes and improvements|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-09-17|No info|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.48](https://play.google.com/store/apps/details?id=org.naviki)|2016-09-19|Layout revised|
|[OsmAnd for Android&nbsp; ](http://osmand.net/)|[2.4](http://osmand.net/blog)|2016-09-19|Improved user interface, refined POI search|
|[OsmAnd+ for Android&nbsp; ](http://osmand.net/)|[var](https://play.google.com/store/apps/details?id=net.osmand.plus)|2016-09-19|Improved user interface, refined POI search|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",3
3859,"WN342","Programming","Mariusz Rogowski complains on the [dev mailing list](http://lists.openstreetmap.org/pipermail/dev/2017-February/029682.html) about the quality of Nominatim and the project's ability to attract new developers. Sarah and Frederik give detailed answers and, among other things, clarify why erroneous code is not included in the project.",3
4789,"WN362","Releases","Version 3.0.0 of [Nominatim](https://github.com/openstreetmap/Nominatim/releases/tag/v3.0.0) is now out. The result is a much smaller database and improved query response times. The most important feature is undoubtedly the on-the-fly address interpolation, as it makes sense to address blocks of houses that are particularly popular in North and South America. Sarah Hoffmann, aka lonvia told us, that Nominatim has now officially moved to openstreetmap.org on GitHub and [nominatim.org](http://nominatim.org/) is currently being expanded into the official homepage.",3
4810,"WN362","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.61](https://play.google.com/store/apps/details?id=app.mapillary)|2017-06-14|Next fix of stray images upload problems.|
|[Mapzen Lost](https://mapzen.com/blog/open-source-location-services-with-lost/)|[3.0.1](https://github.com/mapzen/lost/releases/tag/lost-3.0.1)|2017-06-19|Bugfix release.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.24.2](http://www.locusmap.eu/news-version-3-24.2)|2017-06-20|No Infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-06-21|No Infos.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.3.6](https://itunes.apple.com/app/id510623322)|2017-06-21|Bugfix release.|
|[OSRM Backend](http://project-osrm.org/)|[5.8.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.8.0)|2017-06-21|Many changes, please read release info.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.7.4](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-06-22|Two bugs fixed.|
|[Kurviger Free&nbsp; ](https://docs.kurviger.de/app)|[1.1.1](https://docs.kurviger.de/changelog)|2017-06-23|Mapzen map: several improvements, Mapstyle: Kurviger style is the default style.|
|[QGIS](http://www.qgis.org)|[2.18.10](https://github.com/qgis/QGIS/releases/tag/final-2_18_10)|2017-06-23|No infos.|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2017-06-25](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|2017-06-25|Many changes during the last days, please read release infos.|
|[guide4you](https://github.com/KlausBenndorf/guide4you)|[2.0.5](https://github.com/KlausBenndorf/guide4you/releases/tag/v2.0.5)|2017-06-26|No Infos.|
|[Nominatim](http://wiki.openstreetmap.org/wiki/Nominatim)|[3.0.0](https://github.com/twain47/Nominatim/releases/tag/v3.0.0)|2017-06-26|New database format. Please read release info.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-06-26 18:14:22+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",3
6204,"WN392","Software","Sarah Hoffmann [explains](http://www.openstreetmap.org/user/lonvia/diary/43143) the modified handling of post code areas and tags in Nominatim.",3
6967,"WN408","OpenStreetMap Foundation","An FAQ of the OSM Foundation [answers](https://wiki.osmfoundation.org/wiki/Services_and_tile_users_privacy_FAQ) several data protection questions currently asked by many website operators who integrate services of the OSM Foundation (tile.openstreetmap.org, nominatim.openstreetmap.org, api.openstreetmap.org).",3
7090,"WN412","OSM in action","Google Maps currently disallows access without an API key, as announced. This caused an [inrush](https://munin.openstreetmap.org/openstreetmap/dulcy.openstreetmap/nominatim_requests.html) of requests on the OpenStreetMap Foundation Nominatim server.",3
7643,"WN423","Releases","Nominatim 3.2.0 has been [released](https://github.com/openstreetmap/Nominatim/releases/tag/v3.2.0). GeoJSON and GeocodeJSON have been added as new output formats. The reverse geocoding algorithm has been  rewritten to improve results in sparsely populated areas and when looking up administrative entities.",3
9403,"WN459","Programming","This year 5 projects were [accepted](https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2019) for Google Summer of Code:

  _Iason Manoloudis_: `3D Traffic Sign Rendering in OSM2World`
  _Thomas Hervey_: `HOT Task Manager Integration`	
  _Tanya Haddad_: `Adding Wikidata to Nominatim`
  _Vishal R_: `Tool to Generate Bounding Nodes for Buildings and Quality Assurance`
  _Ashish Singh_: `JOSM's PT_Assistant plugin`",3
9747,"WN467","Programming","tchaddad [detailed](https://www.openstreetmap.org/user/tchaddad/diary/390156) the work done on the [Google Summer of Code](https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2019/Accepted_projects) project to add data from Wikidata to Nominatim. The first step, according to the blog post, is the update and improvement of the existing Wikipedia extraction scripts.",3
9972,"WN472","Programming","Wikidata, Wikimedia's project to create a store of structured knowledge, has the potential to improve the calculation of importance scores in Nominatim. For instance, where real-world items have identical names, the ability to differentiate between OSM locations using properties not covered by OSM could help with returning more relevant geocoding results. 

tchaddad, who is working on a [Google Summer of Code project](https://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2019/Accepted_projects), [gives](https://www.openstreetmap.org/user/tchaddad/diary/390379) an introduction to Wikidata and how entries are stored and extracted using the Eiffel Tower as an example. How Wikidata could be used to assist Nominatim is described.",3
10160,"WN476","Programming","tchaddad [explains](https://www.openstreetmap.org/user/tchaddad/diary/390593), in his user diary, how Wikidata queries using SPARQL and the API work, and how Wikidata could be used to improve Nominatim.",3
11961,"WN516","OSM in action","Michael Norelli [used](https://twitter.com/neogeo360/status/1267912928700723201) the QGIS MMGIS plugin to geocode 48,000 local addresses with Nominatim. This drastically reduced the number of addresses which he then geocoded using Google services. This demonstrates that even if not all addresses are mapped, an astute user can still make use of them. Users should mind the [Nominatim Usage Policy](https://operations.osmfoundation.org/policies/nominatim/).",3
12132,"WN519","Software","Release of [Nominatim version 3.5.1](https://github.com/osm-search/Nominatim/releases/tag/v3.5.1) has bug fixes for two important issues with osm2pgsql (see osm2pgsql new release above): 
  osm2pgsql might get stuck during updates when running with Postgresql 12;
  osm2pgsql might hang when processing extremely complex multipolygons.",3
12375,"WN524","OpenStreetMap Foundation","[Guillaume Rischard](https://www.openstreetmap.org/user/Stereo) [announced](https://lists.openstreetmap.org/pipermail/talk/2020-August/085174.html), on talk, the funding of three infrastructure projects: Nominatim, osm2pgsql and Potlatch 2 by the OSMF Board. Technical issues were discussed among others by [Sören Reinecke, Richard Fairhurst](https://lists.openstreetmap.org/pipermail/talk/2020-August/085179.html) and [mmd](https://lists.openstreetmap.org/pipermail/talk/2020-August/085200.html).",3
12564,"WN528","OpenStreetMap Foundation","The OSM Foundation is [funding](https://wiki.osmfoundation.org/wiki/Board/Minutes/2020-08#2020.2FRes38_Funding_of_projects_used_in_core_infrastructure_.28Nominatim.2C_osm2pgsql.2C_Potlatch.29) the development of [Nominatim](https://wiki.openstreetmap.org/wiki/Nominatim), [osm2pgsql](https://wiki.openstreetmap.org/wiki/Osm2pgsql), and [Potlatch 2](https://wiki.openstreetmap.org/wiki/Potlatch_2).",3
12675,"WN530","Software","This year Nominatim celebrates its 11th birthday. On 11 November 2009, the OpenStreetMap (OSM) homepage used Nominatim as its main search engine for the first time. Since then OSM has grown enormously and with it the need for a geocoder based on OSM data. The OSM Nominatim servers alone now serve more than 30 million queries per day. [Read](https://nominatim.org/2020/09/14/Quo-Vadis.html) more about the present and future for Nominatim.",3
12709,"WN531","Community","The 35th edition of the [Geomob Podcast](https://thegeomob.com/podcast/) [features](https://thegeomob.com/podcast/episode-35) an interview with Sarah Hoffmann who, as a software developer, is responsible for the maintenance of Nominatim, the most important software for [geocoding](https://en.wikipedia.org/wiki/Geocoding) used by OpenStreetMap. Sarah explains the technical aspects and challenges of managing a technically complex and publicly visible open source project.",3
12832,"WN533","Community","The Italian user Cascafico [described](https://www.openstreetmap.org/user/Cascafico/diary/394336) his attempts to put the Italian schools 'in their place', an exercise, in his opinion, almost desperate, given the uneven situation of OSM civic numbers in Italy and given the (for the moment) poor flexibility of the Nominatim geocoder. It remains an exercise because we are waiting to clarify the licence (IODL) of the source data.",3
12854,"WN534","Mapping","Sarah Hoffmann (aka lonvia) [informs](https://nominatim.org/2020/10/07/about-addr-tags.html) us, in her blog post, how [Nominatim](https://wiki.openstreetmap.org/wiki/Nominatim) can be used to search for addresses and how Nominatim also now uses the `addr: ` tags recorded in OSM to determine addresses precisely.",3
12942,"WN536","Programming","Sarah Hoffmann, aka lonvia, [reports](https://nominatim.org/2020/10/21/photon-country-extracts.html#) that the download server for Photon now has ready-to-use database dumps for over 200 countries.",3
13376,"WN546","Did you know that …","... that the US National Geospatial-Intelligence Agency [runs](https://osm.gs.mil/) their own OpenStreetMap instance, including their own base map (with English language names in brackets after local non-Latin ones), Nominatim, overpass turbo, and OSRM routing). It's only provided for US Government 'authorized' use only, so don't go too crazy and do something unauthorised.",3
13743,"WN554","Software","Nominatim, the open-source geocoding tool based on OpenStreetMap data, [introduced](https://nominatim.org/2021/02/25/nominatim-tool.html) a command-line version leading to many changes such as much less fiddling with PHP scripts.",3
13751,"WN554","Releases","[Version 3.0](https://nominatim.org/2021/02/27/nominatim-ui-3dot0.html) of Nominatim-UI adds theming and other features which make the user interface independent from the standard installation on openstreetmap.org servers.",3
14153,"WN564","Programming","Nominatim's developers [explained](https://nominatim.org/2021/05/06/normalization.html) the importance of normalising various kinds of text strings, such as place names, name elements and queries, when processing OSM data for geocoding. They are in the process of re-factoring the current implementation to allow both ease of maintenance and more localised usage of the normalisation rules.",3
