"id","blog","category","markdown","sg_id"
1810,"WN302","Mapping","Pascal Neis [announced](http://neis-one.org/2016/05/good-hashtags-in-osm/) in his blog that one can not only search changeset comments in the application [OSM Changesets](http://resultmaps.neis-one.org/osm-changesets#2/34.0/1.4). ""You can now search for any term in any tag value of all OSM changesets,"" Pascal says.",6
3590,"WN336","Software","You may have seen OSM diary entries by Mapbox's data team such as [this one](http://www.openstreetmap.org/user/nammala/diary/40127) showing potentially problematic changes to OSM.  Many of the issues listed in those were revealed by [OSMCha](http://osmcha.mapbox.com/), originally written by [Wille Marcel](https://github.com/willemarcel/osmcha).  In this [diary entry](http://www.openstreetmap.org/user/manoharuss/diary/40118) Manohar from Mapbox goes into more detail about OSMCha and what they have found from using it.",6
3657,"WN338","Mapping","Pascal Neis [describes](http://neis-one.org/2017/01/reviewing-osm-contribution-1/) in a blog post his tools for QA in OSM
  [Latest OSM Changeset Discussions](http://resultmaps.neis-one.org/osm-discussions#2/36.0/-10.5) and
  [Find Suspicious OSM Changesets](http://resultmaps.neis-one.org/osm-suspicious#2/35.9/-10.4) 
(Please note there are many possibilities to filter and also there are relevant links that provide further information.)",6
3907,"WN342","Community","Sajjad Anwar from Mapbox [writes](https://www.mapbox.com/blog/validating-osm/) about using [OSMcha](http://osmcha.mapbox.com/) and [OSM-compare](https://github.com/mapbox/osm-compare) to validate and analyse changes happening in OpenStreetMap. He urges the community to join the effort to keep OpenStreetMap the best map out there.",6
4053,"WN345","Mapping","Wille Marcel [has restarted](https://www.openstreetmap.org/user/wille/diary/40511) development on his [OSMCHA](http://osmcha.mapbox.com/) project. Its main objective is to help to detect potentially harmful OpenStreetMap edits. Wille asks for your feedback and suggestions for improvements.",6
4996,"WN365","Community","[Who is commenting? An Overview about OSM Changeset Discussions](http://neis-one.org/2017/07/who-is-commenting-osm-discussions/), a new blog post by Pascal Neis.",6
5303,"WN371","Mapping","Satoshi (user nyampire) [published](http://www.openstreetmap.org/user/nyampire/diary/42126) an idea for review workflow using OSMCha. He [asks](https://twitter.com/nyampire/status/900525653740535808) for feedback.  Note that current version of the iD editor does indeed support ""review requested"".",6
5283,"WN371","Programming","Wille Marcel, author of OSMCha, [suggests](https://github.com/openstreetmap/openstreetmap-website/issues/1618) on GitHub to add an API for user blocks to the OSM API.",6
5309,"WN372","Events","Edoardo Neerhut [writes](http://blog.mapillary.com/update/2017/08/29/State-of-the-Map-2017-An-evolving-map-ecosystem.html) in the Mapillary Blog about the OSM ecosystem, [OSMCha](https://osmcha.mapbox.com/) from Mapbox and about the AI assisted road tracing of Facebook in Thailand.",6
5648,"WN378","Mapping","Contributor nammala [posted](https://www.openstreetmap.org/user/nammala/diary/42473) an OSM diary entry describing the latest updates to ""[OSMCha](https://osmcha.mapbox.com/)"".  OSMCha was originally [written](https://github.com/willemarcel/osmcha-django) by Wille Marcel; see [his diary](https://www.openstreetmap.org/user/wille/diary/42478) for details of OSMCha's new API.",6
5745,"WN380","Mapping","The contributor [ionr](http://www.openstreetmap.org/user/ionr) asks the German forum about [how to deal](https://forum.openstreetmap.org/viewtopic.php?id=60189) ![(de)](http://blog.openstreetmap.de/wp-uploads//2016/12/de.svg) with `review_requested=yes`. Besides the discussion, there are [tips](https://forum.openstreetmap.org/viewtopic.php?pid=669753#p669753) ![(de)](http://blog.openstreetmap.de/wp-uploads//2016/12/de.svg) on tools to find such tags: [Find Suspicious OpenStreetMap Changesets](https://resultmaps.neis-one.org/osm-suspicious?country=184&hours=24&mappingdays=-1&tsearch=review_requested%3Dyes&anyobj=t&comp=%3E&value=10&action=d&obj=w#6/51.337/10.800), [OSMCha](https://osmcha.mapbox.com/) and [osm-qa-feeds](https://tyrasd.github.io/osm-qa-feeds/).",6
6073,"WN388","Community","Wille writes a [diary](https://www.openstreetmap.org/user/wille/diary/42998) announcing a mailing list for [OSMCha](https://osmcha.mapbox.com/). This mailing list will be vital to ask general questions, make announcements regarding OSMCha, collaborate on plans and new features, and inform the group of changes.",6
6181,"WN391","Community","On the talk mailing list, Michael Reichert [raises](https://lists.openstreetmap.org/pipermail/talk/2018-January/080006.html) the question to what extent change record discussion comments can be created automatically. He also criticizes the new review feature of OSMCha.",6
6179,"WN391","Mapping","Wille Marcel shares a [diary](https://www.openstreetmap.org/user/wille/diary/43101) about the latest updates and enhancements to OSMCha.",6
6358,"WN395","Community","Wille Marcel writes a diary highlighting the [new release of OSMCha](https://www.openstreetmap.org/user/wille/diary/43287) - OpenStreetMap Changeset analyser which comes with many new features such as more flexibility in posting changeset comments and a new location filter.",6
7447,"WN420","Software","Wille Marcel shared the recent and future improvements for [OSMCha](https://osmcha.mapbox.com/), a validation tool for OSM, in Milan at SotM 2018. The slides are available [here](http://wille.blog.br/improving-osmcha) and the video of the talk is on [YouTube](https://youtu.be/Cr9XTtwuvjg?t=24181).",6
7495,"WN421","Software","A new version of OSMCha with the changes required by the GDPR will be released by the end of August. Read about what will change in  Wille's [diary post](https://www.openstreetmap.org/user/wille/diary/44584).",6
7702,"WN424","Programming","manoharuss gives a [short introduction](https://www.openstreetmap.org/user/manoharuss/diary/44899) in his user diary on how to use OSMCha to find suspicious edits in OSM.",6
7990,"WN430","Did you know that…","... the OSM changeset analyser [OSMCha](https://osmcha.mapbox.com/)? It allows you to keep track of edits in changesets. Many different filters can be used when visualising changes in changesets.",6
8163,"WN434","Software","OSMCha [received](https://osmcha.mapbox.com/) important updates. Now OSMCha is compliant with the GDPR legislation and it has a new way to receive flagged OSM features. Wille [published](https://www.openstreetmap.org/user/wille/diary/45286) two [blog posts](https://www.openstreetmap.org/user/wille/diary/46834) about this new release.",6
8493,"WN441","Community","Wille Marcel, a GIS application developer from Brazil, [has been elected](https://openstreetmap.be/2018/12/29/en-motm-marcel-wille.html) as mapper of the month by OSM Belgium. He discovered OSM back in 2010 at an open source software conference and names the development of OSMCha as his biggest achievement.",6
9008,"WN451","Software","Wille [published](https://www.openstreetmap.org/user/wille/diary/47903)  a blog post that explains how to set up some tools to receive notifications from [OSMCha](https://osmcha.mapbox.com) via Telegram or e-mail. That way you will be notified whenever there are new changesets that match a filter you saved on OSMCha.",6
