"id","blog","category","markdown","sg_id"
1834,"WN302","Mapping","There will be [server maintenance works](https://blog.openstreetmap.org/2016/05/02/planned-server-outage-9th-may/) on 9th and 10th of May. OSM API will be read only during this time, therefore you cannot edit OSM. More information and updates can be found at the [OSM Wiki](https://wiki.openstreetmap.org/wiki/2016_May_server_maintenance).",3
3084,"WN326","Programming","Starting with version 0.5.5, [CGImap](https://github.com/zerebubuth/openstreetmap-cgimap), the C++ implementation of OSM API, [calculates](https://lists.openstreetmap.org/pipermail/dev/2016-October/029544.html) the usage limits based on the sent OAuth tokens instead of IP address of the editor who sends the token. CGImap also supports the `/changesets/#{id}` API call now.",3
3328,"WN330","Software","Frederik Ramm is in a [look out](https://lists.openstreetmap.org/pipermail/dev/2016-November/029557.html) for developers/admins, who would be interested in building and maintaining an OSM Sandbox around the test OSM APIs.",3
4030,"WN345","OpenStreetMap Foundation","Matt Amos [announced](https://lists.openstreetmap.org/pipermail/announce/2017-February/000103.html) on the   Announce mailing list   that the OSM API and the osm.org website will be temporarily unavailable on Sunday, March 12 due to a software upgrade, which will start at 11:00 UTC and hopefully take no longer than one hour.",3
5283,"WN371","Programming","Wille Marcel, author of OSMCha, [suggests](https://github.com/openstreetmap/openstreetmap-website/issues/1618) on GitHub to add an API for user blocks to the OSM API.",3
5982,"WN386","OpenStreetMap Foundation","The OSMF [reports](https://blog.openstreetmap.org/2017/12/08/openstreetmap-receives-25000-grant-from-american-red-cross/) in the official OpenStreetMap blog that OSM received a $25,000 donation from the American Red Cross to purchase a fallback server for the OSM API's main database server. This [server](https://wiki.osmfoundation.org/wiki/Board/Minutes/2017-03-21#2017.2F1:_Give_green_light_to_server_purch) is already up and running.",3
6285,"WN393","Programming","Frederik Ramm [suggests](https://github.com/openstreetmap/openstreetmap-website/issues/1720) the introduction of a feature in the OSM API to allow moderators to rename user accounts, which he wants to use against obscene usernames.",3
7294,"WN417","Community","The OSM API [is currenly running slower](https://lists.openstreetmap.org/pipermail/talk/2018-July/081009.html) than usual because the master OSM server is moving from Imperial College, London to the [Equinix data centre in Amsterdam](https://www.openstreetmap.org/way/460515888). In the transition period, a slower server  in York, England is serving as the database master server (we [reported](http://www.weeklyosm.eu/archives/10036#wn396_17018) earlier). The OWG [is looking](https://lists.openstreetmap.org/pipermail/talk/2018-July/081020.html) for volunteers from the Amsterdam OSM community to help during the move on 25 and 26 July.",3
8896,"WN449","Programming","mmd would like to [introduce](https://github.com/zerebubuth/openstreetmap-cgimap/pull/174) limits of 5000 tags per object and 32,000 members per relation for the OSM API. In the ensuing discussion, Simon Poole [expresses](https://github.com/zerebubuth/openstreetmap-cgimap/pull/174#issuecomment-466743835) his doubts about the introduction of ""arbitrary"" limits.",3
9258,"WN456","Programming","The OSM API does not yet have a reasonable concept of how to deal with diff uploads that have been sent to the API and no answer received e.g. due to network problems. Most clients try to upload the diff again and therefore often create new objects twice. User mmd has started a [discussion](https://github.com/openstreetmap/openstreetmap-website/issues/2201) on GitHub.",3
9284,"WN457","Community","The cleanup of our wiki gained some popularity recently. Apparently even pages which were deleted 7 years ago as been outdated still find readers today. Ilya Zverev [criticised](https://lists.openstreetmap.org/pipermail/talk/2019-April/082480.html) the deletion of a wikipage about the testing of the API 0.6. Unfortunately (but highly predictably) the following discussion about the wiki deletion policy derailed to a semantic dispute about the [recent progress of the OSM API](https://lists.openstreetmap.org/pipermail/talk/2019-April/082490.html), the [use of the word ""vandalism""](https://lists.openstreetmap.org/pipermail/talk/2019-April/082491.html) and the existence or non-existence of [gatekeepers](https://lists.openstreetmap.org/pipermail/talk/2019-April/082489.html) in OSM.",3
9661,"WN465","Programming","Changeset uploads are now handled by cgimap (written in C++) instead of the Rails Port (Ruby on Rails implementation of the OSM API), making uploads faster from editors like JOSM and iD. Ilya Zverev [explains](http://shtosm.ru/all/na-si-bystree/) ([translation](https://translate.google.com/translate?sl=ru&tl=en&u=http://shtosm.ru/all/na-si-bystree/)) the details in his blog ""SHTOSM"".",3
