"id","blog","category","markdown"
12,"WN272","Community","Open Cage Data, the blog of [Open Cage Geocoder](http://geocoder.opencagedata.com/) published [an interview](http://blog.opencagedata.com/post/130473733143/open-geo-interview-osm- buildings) with [Jan Marsch](https://twitter.com/kekscom), the mind and developer of OSM Buildings [OSM Buildings](http://osmbuildings.org/?lat=52.52111&lon=13.40988&zoom=16)."
88,"WN273","Maps","It [looks like](http://www.openstreetmap.org/user/stk_ulm/history#map=18/48.42282/9.95528&layers=D), as if the face lift at [OSM Buildings](http://osmbuildings.org/?lat=48.42252&lon=9.95543&zoom=18.0&tilt=30) inspires to [3D mapping](https: //twitter.com/UlmAPI/status/653643644784787456) . ;-)"
584,"WN280","Software","[OSMBuildings](http://osmbuildings.org/)  includes a new option to print on a region of a map via 3YOURMIND directly in 3D. (via [@OSMBuildings](https://twitter.com/OSMBuildings/status/669205396461068289))"
1361,"WN294","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[OpenLayers](http://openlayers.org/)|[3.14.2](https://github.com/openlayers/ol3/releases/tag/v3.14.2)|2016-02-03|Some patches of 3.14.1|
|[QGIS](http://www.qgis.org)|[2.14.0](http://www.qgis.org/de/site/forusers/visualchangelog214/index.html)|2016-02-26|LTS release|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.4](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-03-01|Removed memory problems, action cam errors fixed|
|[Maps.me Android](http://maps.me)|[5.6.5](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-03-02|-|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.39|2016-03-02|-|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.90.0](https://lists.openstreetmap.org/pipermail/talk/2016-March/075628.html)|2016-03-02|Many changes for windows, integration of LibOsmium|
|[OSMBuildings](http://osmbuildings.org)|[2.3.1](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v2.3.0)|2016-03-02|Bug fix release|
|[iD](http://ideditor.com/)|[1.9.1](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-03-03|Bug fixes of version 1.9.0 from 2016-03-01|
|[SQLite](http://www.sqlite.org/)|[3.11.1](http://www.sqlite.org/releaselog/3_11_1.html)|2016-03-03|Some improvements and bug fixes|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1524,"WN297","Maps","Moritz [explains](http://blog.webkid.io/3d-maps-with-osmbuildings) how he creates great interactive maps with OSMBuildings, e.g. the one of [Berlin](http://interaktiv.morgenpost.de/berlins-neue-skyline)."
1783,"WN301","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[MapFactor Navigator Free](http://navigatorfree.mapfactor.com)|[2.1.97](https://play.google.com/store/apps/details?id=com.mapfactor.navigator)|2016-04-13|Bugs fixed, better alternate route calculation and more|
|[SQLite](http://www.sqlite.org/)|[3.12.2](http://www.sqlite.org/releaselog/3_12_2.html)|2016-04-18|Some bugs fixed|
|[OSM Buildings](http://osmbuildings.org)|[2.4.2](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v2.4.2)|2016-04-20|Updates for CI automation|
|[OsmAnd for iOS](http://osmand.net)|[1.2.3](http://osmand.net/blog?id=osmand-ios-1.2.3-released)|2016-04-21|Bug s fixed|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.8.5](https://play.google.com/store/apps/details?id=app.mapillary)|2016-04-22|Mapbox sdk upgrade for in-camera map|
|[OSRM Backend](http://project-osrm.org/)|[5.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.0.0)|2016-04-22|Many API changes and some fixes|
|[iD](http://ideditor.com/)|[1.9.3](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-04-25|-|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2227,"WN310","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GraphHopper Routing Engine](https://graphhopper.com/)|[0.7](https://graphhopper.com/blog/2016/06/15/graphhopper-routing-e+ngine-0-7-released/)|2016-06-15|Java 7 support, new translations and many more
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.20.1](https://github.com/mapbox/mapbox-gl-js/releases)|2016-06-21|Bugfix|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.40|2016-06-21|No info|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-06-23](https://github.com/osm-fr/osmose-backend/releases)|2016-06-23|No info|
|[OSM Buildings](http://osmbuildings.org)|[3.0.0](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v3.0.0)|2016-06-24|4 changes and 2 fixes|
|[OSRM Backend](http://project-osrm.org/)|[5.2.6](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.6)|2016-06-24|Bugfix |
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.8](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-06-25|Multilingual vector maps|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.7|2016-06-25|-|
|[Locus Map Free](http://www.locusmap.eu/)|[3.18.0](http://www.locusmap.eu/news-version-3-18-0)|2016-06-27|New function added|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2469,"WN315","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[Locus Map Free](http://www.locusmap.eu/)|3.18.5|2016-07-16|No more MapQuest maps, some improvements and many bug fixes|
|[OSM Buildings](http://osmbuildings.org)|[3.1.0](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v3.1.0)|2016-07-27|3 changes and one fix|
|[Mapillary Android](http://www.mapillary.com/map)|[2.37](https://play.google.com/store/apps/details?id=app.mapillary)|2016-07-28|Many extensions and some bug fixes|
|[Mapillary iOS](http://www.mapillary.com/map)|[4.4.8](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-07-30|Crash using facebook, GPS bug fixed|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
7087,"WN412","Programming","OSM Buildings [published](https://osmbuildings.org/blog/2018-06-06_about_privacy/) their privacy policy and a few updates on how to use their services."
9604,"WN464","Did you know that …","... a few lines of code with the 3-D Tool [3D OSM Buildings](https://codepen.io/osmbuildings/pen/oVVXEm) lets us rotate a panoramic view."
