"id","blog","category","markdown"
6433,"WN397","Programming","The geodata analysis team of [HeiGIT](http://www.geog.uni-heidelberg.de/gis/heigit_en.html) [is currently developing](http://gisuser.com/2018/02/introducing-the-ohsome-osm-history-analytics-platform/) a historical OpenStreetMap analysis platform. The goal is to make OSM data from the past more readily available for various types of data analysis tasks at the global level."
6603,"WN400","Software","A history analysis platform for OpenStreetMap is currently being developed at HeiGIT. It will make OSM data from the full history of edits more easily accessible. Check out the [project](http://k1z.blog.uni-heidelberg.de/2018/03/15/preview-of-the-ohsome-nepal-dashboard/)'s  first [ohsome Nepal Dashboard preview](https://ohsome.org/apps/kll-dashboard-preview/)."
6844,"WN406","Software","Heidelberg GIScience provided the first working example of the [forthcoming REST-based ""Ohsome API""](http://giscienceblog.uni-hd.de/2018/04/26/the-ohsome-api-dynamic-osm-statistics-for-real-world-applications/) for easy-to-use full history analytics of OSM."
7019,"WN410","Programming","Rafael Troilo from HeiGIT [gives](http://giscienceblog.uni-hd.de/2018/05/18/ohsome-a-high-level-architectual-overview-of-the-osm-history-analytics-platform) a short overview of the access layers of the OSM History Analytics platform `ohsome` with the new OSM History Database OSHDB."
7070,"WN411","Software","HeiGIT demonstrated how to use the OSM History Analytics platform ohsome for OSM Street Network Topology Analysis and Disaster Activation Monitoring [ISCRAM paper](http://giscienceblog.uni-hd.de/2018/05/29/ohsome-for-street-network-analysis-and-disaster-activation-monitoring/)."
7693,"WN424","Programming","Fabian Kowatsch from the Heidelberg Institute for Geoinformation Technology ([HeiGIT](https://heigit.org)) [published](http://giscienceblog.uni-hd.de/2018/09/03/documentation-of-the-ohsome-api/) a first draft of the documentation of the ohsome API, which is a REST API for analysing the history of OSM data through the OSM History Analytics platform Ohsome.org."
7769,"WN425","Programming","Sabrina Marx, from the Heidelberg Institute for Geoinformation Technology ([HeiGIT](http://heigit.org)), [published](http://giscienceblog.uni-hd.de/2018/09/05/analyse-hot-tasking-manager-projects-with-the-ohsome-api) a step by step tutorial in a [Jupyter Notebook](https://heigit.org/analyse-hot-tasking-manager-projects-with-the-ohsome-api/) on analysing  HOT Tasking Manager projects using the [ohsome API](http://api.ohsome.org/v0.9/swagger-ui.html)."
7979,"WN430","Software","Fabian Kowatsch [introduces a new ohsome dashboard](http://giscienceblog.uni-hd.de/2018/10/10/explore-the-ohsome-osm-history-of-whole-germany) prototype as a preview on what is possible with the HeiGIT's ohsome OpenStreetMap history analytics platform which is deployed on a distributed cloud system using Apache Ignite. You can explore the evolution of any available OSM tag over time in arbitrary areas of Germany and calculate some summary statistics."
8395,"WN439","Software","Fabian Kowatsch from Heidelberg Institute for Geoinformation Technology [explains](http://giscienceblog.uni-hd.de/2018/12/14/how-to-become-ohsome-part-1-visualizing-the-historical-evolution-of-osm-buildings-of-your-city/) how to visualize the historical evolution of OSM buildings of your city using the [ohsome](http://giscienceblog.uni-hd.de/2018/02/22/introducing-the-ohsome-osm-history-analytics-platform/) platform for OSM History Analytics and QGIS."
8603,"WN444","Software","Fabian Kowatsch, from HeiGIT, [explains](http://k1z.blog.uni-heidelberg.de/2019/01/18/how-to-become-ohsome-part-2-comparing-different-regions-based-on-their-attributive-completeness-of-osm-data/) how to use historical OSM data from the ohsome API to compare different regions based on their attribute completeness over time with a simple API call. He uses the tag surface= . for streets as an example."
