"id","blog","category","markdown"
6,"WN272","Humanitarian OSM","Free aerial imagery collected with satellites, aircraft and drones, is crucial for humanitarian organizations.Therefore HOT created OpenAerialMap to faciltate mapping after a disaster. See the [video]( https://www.youtube.com/watch?v=R9FXsWY3LPY)"
399,"WN277","Mapping","Nate Smith [twitters](
https://twitter.com/nas_smith/status/662744230062780417) about the recently refreshed user interface of openaerialmap.org (still in beta status)."
1888,"WN303","Humanitarian OSM","Nick Bumbarger [reported](https://developmentseed.org/blog/2016/05/06/ecuador-drones/) in [developmentSEED's](https://developmentseed.org/about/who-we-are/) blog about drone images from the disaster area in Ecuador, which are set available in [OpenArerialMap](http://beta.openaerialmap.org/#/-80.02304077148438,0.06480215598413591,13/0322233322/572b286a2b67227a79b4fbf3?resolution=high)."
2450,"WN314","Humanitarian OSM","Earlier this month HOT [launched](https://hotosm.org/updates/2016-07-20_hot_launches_new_pacdid_drone_imagery_project) the new [Pacific Drone Imagery Dashboard](https://www.globalinnovationexchange.org/innovations/pacific-drone-imagery-dashboard-pacdid) (PacDID) project to support [aerial imagery](http://beta.openaerialmap.org/#/165.84823608398438,-21.369965503124217,9/31112323311?_k=4v3n1e) use in Pacific island communities which have experienced significant typhoon damage in recent years."
3027,"WN325","Open Data","DigitalGlobe [delivered](http://blog.digitalglobe.com/2016/10/07/open-data-volunteer-mapping-to-support-hurricane-response-in-haiti/) the latest satellite imagery after Hurricane Matthew's catastrophe in Haiti under a CC BY license for humanitarian organizations such as HOT and the American Red Cross. Many of the images are also now available in [OpenAerialMap](https://beta.openaerialmap.org/#/-74.091796875,18.396230138028827,9/03221031212?resolution=high&_k=jgrj6w), both for download and as map services."
3857,"WN342","Humanitarian OSM","HOT [announced](https://hotosm.org/updates/2017-01-31_making_open_imagery_accessible_openaerialmap_comes_out_of_beta) that [OpenAerialMap](https://openaerialmap.org/) is officially no longer in beta status."
4171,"WN348","Humanitarian OSM","HOT is [hiring](https://twitter.com/hotosm/status/843835018887778304) a [part-time developer](https://www.hotosm.org/job/developer_openaerialmap_part_time_remote/2017) for the [OpenAerialMap](https://openaerialmap.org/) project."
4262,"WN350","Humanitarian OSM","The OpenAerialMap project now has a much simpler way to [upload](https://www.hotosm.org/updates/2017-04-03_uploading_made_easier_new_options_available_for_openaerialmap) new images."
5445,"WN374","Humanitarian OSM","On Talk-US, Jeffrey Ollie [mentions](https://lists.openstreetmap.org/pipermail/talk-us/2017-September/017801.html) that Digital Globe has published post-Harvey and Irma images, promptly made available as tiles by OpenAerialMap."
6257,"WN393","Mapping","Vespucci will [support](https://github.com/MarcusWolschon/osmeditor4android/issues/484) imagery from OpenAerialMap soon."
