"id","blog","category","markdown"
2270,"WN311","Did you know that …","... [OpenFietsMap](http://www.openfietsmap.nl/osm)? (Dutch OpenCycleMap with many instructions for mapping in English)"
2766,"WN320","Maps","[Andy Allan](https://www.openstreetmap.org/user/Andy%20Allan) runs his map services (OpenCycleMap, Transport map) under the label [Thunderforest](http://www.thunderforest.com/). These services are [converted](http://www.thunderforest.com/blog/apikeys-now-available/) to API keys (instead of the previous [HTTP Referrer](https://de.wikipedia.org/wiki/Referrer))."
2908,"WN323","Maps","The OpenCycleMap now [supports](https://twitter.com/gravitystorm/status/778319384578318336) `cycleway: right "
4307,"WN351","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.6.1](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2017-03-06|Two changes and three fixes.|
|[GpsMaster](http://wiki.openstreetmap.org/wiki/GpsMaster)|[0.63.00](https://wiki.openstreetmap.org/wiki/GpsMaster/Changelog#0.63.00)|2017-04-06|OpenCycleMap enhanced, OpenTopoMap added and more changes.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-04-07|Route planning and search reworked.|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[9.0.1](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2017-04-07|Improvement of performance and further small changes.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.35.0](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.35.0)|2017-04-07|Seven new features and 12 bugfixes.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.12](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-04-07|Changes for different cameras and a bug fixed.|
|[QGIS](http://www.qgis.org)|[2.18.6](https://github.com/qgis/QGIS/releases/tag/final-2_18_6)|2017-04-07|No infos.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.45](https://play.google.com/store/apps/details?id=app.mapillary)|2017-04-08|Don't rotate the UX for left handed to fix the preview upside down problem.|
|[Kurviger Free&nbsp; ](https://docs.kurviger.de/app)|[10.0.19](https://docs.kurviger.de/app)|2017-04-09|Various improvements.|
|[StreetComplete](https://fossdroid.com/a/street%C2%ADcomplete.html)|[0.7](https://github.com/westnordost/StreetComplete/releases/tag/v0.7)|2017-04-09|Fix of version 0.6 with the fixed changeset problem.|
|[libosmium](http://osmcode.org/libosmium/)|[2.12.1](https://github.com/osmcode/libosmium/releases/tag/v2.12.1)|2017-04-10|Many changes and bugfixes. Please read change log.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.7.3](https://github.com/MapContrib/MapContrib/releases/tag/1.7.3)|2017-04-10|Many changes since 1.6.1, please read release infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-04-10|Changes to the GUI, more hotels, beaches, parking, cameras and WLAN hotspots added.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.2.3](https://itunes.apple.com/app/id510623322)|2017-04-10|100,000 objects added. Incl. restaurants, shops and POI.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.23.0](http://www.locusmap.eu/news-version-3-23-0)|2017-10-04|Many improvements, please read releaseinfo.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-04-10 15:08:55+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
8909,"WN450","Maps","[1] Sara Acosta [investigated](https://www.eldiario.es/ballenablanca/365_dias/mapa-fake-carriles-bici-Europa_0_872463504.html) ![(es)](https://blog.openstreetmap.de/wp-uploads/2016/12/es.svg) (automatic [translation](https://translate.google.com/translate?sl=es&tl=en&u=https://www.eldiario.es/ballenablanca/365_dias/mapa-fake-carriles-bici-Europa_0_872463504.html)), on eldiario.es, an image of the cycleway infrastructure of Europe, that is often shared on the Internet, and why this version, created from OSM data, is incorrect. By contacting Andy Allan, developer of [OpenCycleMap](http://opencyclemap.org/), she found that the exact origin of the graphic is uncertain. The OpenCycleMap presents the existing OSM data in much more nuanced manner."
8962,"WN450","Picture","![Logo](http://www.weeklyosm.eu/wp-content/uploads/2019/03/450.png =796x546) 

 OpenCycleMap presents the existing OSM data very nuanced [^1^](#wn450_19560)  | Maps © Thunderforest, Data © OpenStreetMap contributors"
9466,"WN460","Open Data","CycleStreets [wrote](https://www.cyclestreets.net/blog/2019/05/10/tfl-cid/) a blog post about the proposed release of information on 240,000 cycling infrastructure assets in Greater London by [Transport for London](https://tfl.gov.uk/) as open data. The blog article points to a newly created [demo map](https://tflcid.cyclestreets.net/#15/51.5150/-0.1221/opencyclemap) for selected areas to allow OSM mappers to evaluate the data. Please note that we are not yet allowed to use the data for OSM purposes."
11558,"WN506","OpenStreetMap Foundation","The OpenStreetMap Foundation [announced](https://blog.openstreetmap.org/2020/03/24/call-for-more-featured-tile-layers-on-osm-org/) its intentions to increase the number of available map layers on the main website. If you are interested in your map joining the exclusive club, namely 'Standard' (OpenStreetMap Carto), 'Cycle Map' (OpenCycleMap by Thunderforest), 'Transport Map' (Transport by Thunderforest) and HOT's 'Humanitarian', you are invited to contact the [Operations Working Group](https://operations.osmfoundation.org/)."
11574,"WN507","Community","[Ed Freyfogle](https://twitter.com/freyfogle), from ['OpenCage Data'](https://opencagedata.com/) and ['Geomob'](https://thegeomob.com/), [talked](https://thegeomob.com/podcast/episode-10) with [Andy Allan](https://twitter.com/gravitystorm), long-time OSMer and Geomobster, maker of [OpenCycleMap](https://opencyclemap.org/), and founder of [Thunderforest](https://www.thunderforest.com/). They discussed building a bootstrapped geo business generally, and specifically the challenges of creating a business around OpenStreetMap."
12308,"WN523","Did you know that …","... Finde.cash [displays](https://finde.cash/) banks and ATMs with the respective ATM networks on a map? It also offers route planning by foot, bicycle or public transport, and four background options including OpenCycleMap. Missing ATMs can be inserted directly. The map is worldwide but the menu is only available in German."
