"id","blog","category","markdown","sg_id"
93,"WN273","Programming","On September 10th, 2015 [OpenLayers](http://openlayers.org/) version [3.10.1](https://github.com/openlayers/ol3/releases/tag/v3.10.1) was released.",8
444,"WN278","Programming","On November 12th, 2015 [OpenLayers](http://openlayers.org/) version [3.11.1](https://github.com/openlayers/ol3/releases/tag/v3.11.1) was released as bugfix release to version 3.11.
Highlight of version 3.11 is [support of Mapbox vector tiles.](http://openlayers.org/en/v3.11.0/examples/mapbox-vector-tiles.html)
",8
448,"WN278","Programming","Bjørn Sandvik [writes](http://blog.thematicmapping.org/2015/11/mapping-grid-based-statistics-with.html) about mapping grid-based statistics, with the help from openlayers and other javascript tools.",8
487,"WN279","Programming","On November 19th, 2015 [OpenLayers](http://openlayers.org/) version [3.11.2](https://github.com/openlayers/ol3/releases/tag/v3.11.2) was released.",8
721,"WN283","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Locus Map Free](http://www.locusmap.eu/)|[3.14.0](http://www.locusmap.eu/news-version-3-13.0/)|2015-12-17|Google Drive, more enhancements|
|[OpenLayers](http://openlayers.org/)|[3.12.1](https://github.com/openlayers/ol3/releases/tag/v3.12.1)|2015-12-17|Fix of 3.12.0|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.69](https://play.google.com/store/apps/details?id=app.mapillary)|2015-12-18|Map-in-Camera fixes|
|[QGIS](http://www.qgis.org)|[2.12.2](http://www.qgis.org/de/site/forusers/visualchangelog212/index.html)|2015-12-18|-|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.1](https://itunes.apple.com/us/app/mapillary/id757286802?mt=8&ign-mpt=uo%3D4)|2015-12-21|Map-in-Camera fixes|",8
986,"WN288","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[OpenJUMP](http://jump-pilot.sourceforge.net/)|[1.9.0](http://sourceforge.net/p/jump-pilot/code/HEAD/tree/core/trunk/ChangeLog)|2016-01-18|First new release since december 2014|
|[OpenLayers](http://openlayers.org/)|[3.13.0](https://github.com/openlayers/ol3/releases/tag/v3.13.0)|2016-01-20|68 changes and fixes|
|[OSRM Backend](http://project-osrm.org/)|[4.9.1](https://github.com/Project-OSRM/osrm-backend/releases/tag/v4.9.1)|2016-01-20|4 bugs fixed|
|[SQLite](http://www.sqlite.org/)|[3.10.2](http://www.sqlite.org/releaselog/3_10_2.html)|2016-01-20|Bug fixes|",8
1142,"WN290","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[libosmium](http://osmcode.org/libosmium/)|[2.6.0](https://github.com/osmcode/libosmium/blob/master/CHANGELOG.md)|2016-02-03|Extensions, enhances and fixes|
|[OpenLayers](http://openlayers.org/)|[3.13.1](https://github.com/openlayers/ol3/releases/tag/v3.13.1)|2016-02-03|two patches of 3.13.0|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.6.0](https://github.com/osmcode/pyosmium/releases)|2016-02-03|new product|
|[Geobuf](https://github.com/mapbox/geobuf)|[2.0.0](https://github.com/mapbox/geobuf/releases)|2016-02-05|TopoJSON support removed, some fixes|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.3](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-02-05|French support, 3 new cameras,++, fixes|
|[Maps.me](http://maps.me)|[5.6.1](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-02-05|Bug fixed|
|[Atlas](http://wiki.openstreetmap.org/wiki/Atlas_(navigation_application))|[1.2.1](http://groups.google.com/group/atlas-app)|2016-02-07|Night mode, update map and routing engine, various improvements|
|[Graphhopper](https://graphhopper.com/)|[0.6](https://graphhopper.com/blog/2016/02/08/releasing-graphhopper-0-6/)|2016-02-08|Many smaller changes, new alternate route calculation|",8
1361,"WN294","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[OpenLayers](http://openlayers.org/)|[3.14.2](https://github.com/openlayers/ol3/releases/tag/v3.14.2)|2016-02-03|Some patches of 3.14.1|
|[QGIS](http://www.qgis.org)|[2.14.0](http://www.qgis.org/de/site/forusers/visualchangelog214/index.html)|2016-02-26|LTS release|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.4](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-03-01|Removed memory problems, action cam errors fixed|
|[Maps.me Android](http://maps.me)|[5.6.5](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-03-02|-|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.39|2016-03-02|-|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.90.0](https://lists.openstreetmap.org/pipermail/talk/2016-March/075628.html)|2016-03-02|Many changes for windows, integration of LibOsmium|
|[OSMBuildings](http://osmbuildings.org)|[2.3.1](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v2.3.0)|2016-03-02|Bug fix release|
|[iD](http://ideditor.com/)|[1.9.1](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-03-03|Bug fixes of version 1.9.0 from 2016-03-01|
|[SQLite](http://www.sqlite.org/)|[3.11.1](http://www.sqlite.org/releaselog/3_11_1.html)|2016-03-03|Some improvements and bug fixes|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",8
1515,"WN296","Community","Creating applications with [QGIS web mapping](http://mappinggis.com/2016/03/crea-aplicaciones-webmapping-con-qgis/). ""qgis2web"" is a tool that can export QGIS projects to web maps such as OpenLayers 3 or Leaflet (it automatically creates HTML, Javascript and CSS files). ([automatic translation](https://translate.google.com/translate?sl=es&tl=en&js=y&prev=_t&hl=en&ie=UTF-8&u=http%3A%2F%2Fmappinggis.com%2F2016%2F03%2Fcrea-aplicaciones-webmapping-con-qgis%2F&edit-text=))",8
1508,"WN296","Programming","[mapfig](https://www.mapfig.com/) have created a new project [OpenTileServer](http://opentileserver.org/), which provides an installation script to set up an OSM tile server on an Ubuntu Linux system in a very easy way - think ""switch2osm"" but without the editing.  Users choose what data to load, and whether they want OSM's ""standard"" map style or ""OSM bright"".  Example OpenLayers and Leaflet pages are also included.",8
