"id","blog","category","markdown"
"3775","WN340","Licenses","Due to copyright issues with Mapbox, the project [OSM2VectorTiles](http://osm2vectortiles.org/) was discontinued. The authors have created a successor, the [OpenMapTiles](https://openmaptiles.org/), with their own vector tile scheme, and free from legal problems."
"4551","WN357","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[GeoServer](http://geoserver.org/)|[2.11.1](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=15800)|2017-05-19|37 bugfixes and some enhancements.|
|[Traccar Client iOS](https://www.traccar.org/client/)|[4.2](https://itunes.apple.com/us/app/traccar-client/id843156974)|2017-05-15|Report by distance and angle.|
|[Naviki iOS&nbsp; ](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.59](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2017-05-16|Offline maps, Google login and some more bugs fixed.|
|[Traccar Client Android](https://www.traccar.org/client/)|[4.3](https://www.traccar.org/blog/category/releases/)|2017-05-16|No infos.|
|[Kurviger Free&nbsp; ](https://docs.kurviger.de/app)|[10.0.25](https://docs.kurviger.de/app)|2017-05-17|Address search and other improvements.|
|[OpenMapTiles](https://openmaptiles.org/)|[2.3.0](https://play.google.com/store/apps/details?id=com.klokantech.osm2vectortiles)|2017-05-17|Minor bug fixes, tweaks and improvements.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[9.1](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-05-18|No infos.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.7.10](https://github.com/MapContrib/MapContrib/releases/tag/1.7.10)|2017-05-19|Display the localized version of the tag value in popup content.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.16](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-05-19|Fixed basemap bug that could result in empty map.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-05-19|No infos.|
|[QGIS](http://www.qgis.org)|[2.18.8](https://github.com/qgis/QGIS/releases/tag/final-2_18_8)|2017-05-19|No infos.|
|[StreetComplete](https://fossdroid.com/a/street%C2%ADcomplete.html)|[0.11](https://github.com/westnordost/StreetComplete/releases/tag/v0.11)|2017-05-21|New languages: Malayalam, Czech, Portuguese (PT)|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[9.1.1](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2017-05-22|Tour planning revised and simplified, indication of a fitness level for route selection.|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[3.3.1](https://github.com/gravitystorm/openstreetmap-carto/compare/v3.3.0...v3.3.1)|2017-05-22|Bugfix release.|
|[SQLite](http://www.sqlite.org/)|[3.19.0](http://www.sqlite.org/releaselog/3_19_0.html)|2017-05-22|13 enhancements and six bugfixes.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-05-22 19:23:05+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
"5022","WN366","Maps","OpenMapTiles developed a [map](https://openmaptiles.org/languages/native/#0/0/0) which shows the names of places in different languages."
"5867","WN383","Other Geo Things","Johan Åhlfeldt writes a [blog](http://commons.pelagios.org/2017/11/building-the-roman-empire-vector-tile-map/) in Pelagios about [building the Roman Empire vector tile map](https://klokantech.github.io/roman-empire/#6.04/46.508/8.372) using [Maputnik](https://editor.openmaptiles.org/?style"
"6364","WN395","Maps","OpenMapTiles project now automatically [detects](https://blog.klokantech.com/2018/02/maps-in-the-language-of-visitor.html) visitors language and serves them labels in their mother tongue (more than 50 languages are supported). The labels are now unified by using Noto Sans font, which can display characters in almost every language."
"6604","WN400","Did you know that …","... [OpenMapTiles](https://wiki.openstreetmap.org/wiki/OpenMapTiles)? Here you can create vector world maps with a set of tools, which you can use for hosting or offline use. The program is available as free software at [OpenMapTiles.org](https://openmaptiles.org/)."
"6837","WN405","Programming","Klokan Technologies [mentions](https://blog.klokantech.com/2018/04/maps-with-docker.html) in a blog entry how they generate their OpenMapTiles on a cluster of 32 cloud servers in parallel."
"6857","WN406","Releases","Klokan Technologies [released](https://blog.klokantech.com/2018/04/openmaptiles-3-8.html) OpenMapTiles 3.8."
"7450","WN420","Did you know that …","... openmaptiles.org? Petr Pridal and Jiri Komarek gave a [presentation](https://www.youtube.com/watch?v"
"7944","WN429","Software","Sick of expensive map updates for your car's built-in SatNav? A Raspberry Pi, an LCD screen and a few other components are all that is needed to [create a DIY car navigation system](https://www.maptiler.com/blog/2018/10/diy-car-navigation-on-raspberry-pi-with-openmaptiles.html) that can provide free navigation based on OSM data overlaid on OpenMapTiles. The system can even include a rear view camera."
"8445","WN440","Releases","Find the changes in OSM Carto v4.18.0 [here](https://lists.openstreetmap.org/pipermail/talk/2018-December/081929.html) and OpenMapTiles v3.9  [here](https://www.maptiler.com/blog/2018/12/openmaptiles-3-9.html)."
"8903","WN449","Picture","![Logo](http://www.weeklyosm.eu/wp-content/uploads/2019/03/449_T_FR.png =850x628) 

Qwant launched an alpha version of an OSM based map [^1^](#wn449_19530)  | © Qwant Maps © OpenMapTiles © OpenStreetMap contributors"
"11136","WN498","Releases","The new release of OpenMapTiles [comes](https://www.maptiler.com/blog/2020/01/disputed-borders-in-openmaptiles-3-11.html) with rendering support for disputed borders, roads under construction and the Kurdish and Amharic languages."
"11180","WN499","Did you know that …","... that [OpenMapTiles](https://wiki.openstreetmap.org/wiki/OpenMapTiles) supports more than 50 languages? The names are taken from OpenStreetMap and enhanced by adding data from Wikidata."
