"id","blog","category","markdown","sg_id"
"198","WN274","Software","Version 2.3 of the openrouteservice.org was released, see this [blog post](http://k1z.blog.uni-heidelberg.de/2015/10/08/whats-new-openrouteservice/) about new features.",11
"741","WN283","Mapping","[“ruprecht”](http://www.ruprecht.de/), the Heidelberg University’s student newspaper (~10.000 copies), reports about [CAP4Access](http://www.geog.uni-heidelberg.de/gis/cap4access.html) activities in its [current issue](http://www.ruprecht.de/wpcontent/uploads/2015/12/ru159_fertig.pdf) (page 11, in German). We hope that some of the readers get interested in [MapMyDay.org](http://mapmyday.org/de) and  [OpenStreetMap.org](http://www.openstreetmap.org/#map=17/51.48175/-0.29016) and perhaps become new active contributors, which in the long run would also be beneficial for the [wheelchair profile on OpenRouteService.org](http://openls.geog.uni-heidelberg.de/wheelchair-test/).",11
"806","WN284","Software","The new [OpenRouteService](http://giscienceblog.uni-hd.de/2015/12/22/new-openrouteservice-now-with-live-traffic-data-improved-route-profiles-new-leaflet-client-and-more/) is now with new features like live traffic data, improved route profiles, new Leaflet client and more!",11
"1653","WN299","Maps","OpenRouteService [published](http://k1z.blog.uni-heidelberg.de/2016/04/11/openrouteservice-update-31-with-surface-information-and-more/) version 3.1 on April 11th. The new features [are shown](https://www.youtube.com/watch?v",11
"1710","WN300","Humanitarian OSM","[1] In order to provide emergency and rescue forces in Ecuador with routing data the [GIScience Heidelberg team](http://www.geog.uni-heidelberg.de/gis/mitarbeitende_en.html) set up an _OpenStreetMap disaster routing_ and crisis map collecting and visualizing latest OSM information.

[The OpenRouteService Disaster Map](http://openls.geog.uni-heidelberg.de/disaster/) and the routing graph will be updated regularly.

Most importantly, the additional OpenRouteService SOS - route profile currently considers passable and impassable tagged ways and dynamically adjusts the graph weights of OSM streets accordingly.

ORS also provides an Accessibility Analysis Service for a given location, the possibility to export GPS tracks to be used offline on mobile device and the interactive Avoid Feature Area Tool (in case areas are severely effected by debris and not accessible at all). These features are thus potentially valuable for Search and Rescue (SAR) units.",11
"1677","WN300","Picture","![Logo](http://www.weeklyosm.eu/wp-content/uploads/2016/04/weekly300_EN_2.png)
Disaster Map Ecuador from GIS Science Heidelberg  [[1]](#wn300_ecuador_openrouteservice.org_-_disaster_map_ecuador) | important features for rescue teams in a [map](http://openls.geog.uni-heidelberg.de/disaster/) from the University in Heidelberg, Germany",11
"2261","WN310","Maps","A new version of [OpenRouteService](http://openrouteservice.org/) has been released.  Timothy Ellersiek describes it [here](http://k1z.blog.uni-heidelberg.de/2016/06/27/openrouteservice-33-is-going-mobile-routing-in-the-americas-gradients-and-more/) in the University of Heidelberg's GIScience News Blog.",11
"2474","WN315","Maps","[1] [OpenRouteService](http://openrouteservice.org/), the first routing service based on OpenStreetMap, now [provides](http://k1z.blog.uni-heidelberg.de/2016/07/28/openrouteservice-is-going-global-including-the-americas/) routing services for North and South America including all the main routing profiles, e.g. for car, pedestrian, heavy vehicles, bikes - the latter with several options from MTB, road bike to safest bike route etc.",11
"2493","WN315","Picture","![Logo](http://www.weeklyosm.eu/wp-content/uploads/2016/08/315_en.png) Route from Prince Rupert to San José via Washington with OpenRouteService [^1^](#wn315_12572) | OpenRouteService is going Global - including the Americas",11
"3644","WN338","Maps","OpenRouteService now offers a unique feature for wheelchair routing. [""Why is it routing this way?""](Http://k1z.blog.uni-heidelberg.de/2017/01/09/why-is-it-routing-this-way/). Consideration is given to kerb height, surface smoothness, route with incline and sidewalks.",11
