"id","blog","category","markdown"
18374,"WN687","Did you know that …","... that you can explore places on OpenStreetMap using the [OpenStreetBrowser](https://www.openstreetbrowser.org/) app?"
5092,"WN367","Maps","[1] [OpenStreetBrowser](https://openstreetbrowser.org) (OSB) is once again [online](https://groups.google.com/forum/#!pendingmsg/weeklyosm). Now you can easily search for POIs. The website shows a narrow menu on the left side, similar to common Wikis and the main page of OpenStreetMap.org although not static one. 20 languages are available."
5095,"WN367","Picture","![Text](http://www.weeklyosm.eu/wp-content/uploads/2017/08/367_EN.jpg =768x419)

Leisure, sport, shopping, educational services or public transport ... all in OpenStreetBrowser  [^1^](#wn367_15602) |  © [OpenStreetMap contributors](https://www.openstreetmap.org/copyright), [ODbL](https://opendatacommons.org/licenses/odbl/)"
5346,"WN372","Maps","[Stephan Bösch Plepelits](https://github.com/plepe), author of [OpenStreetBrowser](https://openstreetbrowser.org/) [reported](https://blog.openstreetbrowser.org/node/48) in his blog that the pop-ups on the map have been significantly improved. A permalink will be available for the map in the near future."
5375,"WN373","Maps","[OpenStreetBrowser](https://openstreetbrowser.org/) now supports permalinks (as reported last week) which codes your current map position, opened categories and opened map objects. It is now easier to share data."
5505,"WN375","Maps","Stephan Bösch Plepelits [reports](https://blog.openstreetbrowser.org/node/50) on his blog, that the OpenStreetBrowser now shows excerpts from articles and images from Wikimedia Commons in the detail view. Wikipedia is found under the 'Special' menu item."
6157,"WN391","Maps","Stephan Bösch-Plepelits announces that [Openstreetbrowser](https://www.openstreetbrowser.org/) is back online. He [asks for help](https://lists.openstreetmap.org/pipermail/dev/2018-January/030077.html) with creating additional categories of interest."
6170,"WN391","Picture","![Ausschnitt aus dem OpenStreetBrowser](http://blog.openstreetmap.de/wp-uploads//2018/01/openstreetbrowser.png =800x517)

Eine aktualisierte Version des OpenStreetBrowsers ist nun wieder online [^1^](#391_16770) | © [OpenStreetMap Contributors](https://www.openstreetmap.org/copyright) [CC-BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0/)"
6670,"WN401","Maps","OpenStreetBrowser [has](https://lists.openstreetmap.org/pipermail/talk-at/2018-March/009437.html) a new [view](https://www.openstreetbrowser.org/#map=17/49.48166/8.47084&categories=gastro-smoking) that displays gastronomy POIs, with a different marker according to their smoking policy."
8234,"WN435","Maps","With the newest update, OpenStreetBrowser supports drawing patterns (e.g. arrow heads) on ways, which is now used on the [cycle routes map](https://www.openstreetbrowser.org/#categories=cycle_routes) and the [public transport map](https://www.openstreetbrowser.org/#categories=pt).
The cycle routes map gets the directions from the ways' role (forward/backward), the public transport map from the connection to the previous/next way (as defined in PT Schema v2). [read more](https://blog.openstreetbrowser.org/node/55). To prepare for the Christmas season, there's a new [""Christmas features""](https://www.openstreetbrowser.org/#categories=xmas) category."
