"id","blog","category","markdown"
798,"WN284","Maps","User derStefan announced a new version of [OpenTopoMap 2.0](http://forum.openstreetmap.org/viewtopic.php?pid"
1051,"WN289","Maps","Derstefan announced a [prerelease](http://dev.opentopomap.org/#map=5/46.755/10.217) of OpenTopoMap 2.0. The innovations: 
  worldwide coverage
  house numbers at Zoom level 16 and 17
  Shading and contour lines with 30m resolution
  Bridges with abutments
evoked positive and constructive feedback."
1059,"WN289","Picture","![Logo](http://www.weeklyosm.eu/wp-content/uploads/2016/02/289OpenTopoMapEN_2.png)
Chefchaouen, Marocco - view in OpenTopoMap [[1]](#wn289_opentopomap) | [the world in OpenTopoMap](http://www.weeklyosm.eu/wp-content/uploads/2016/02/289OpenTopoMapEN_1.png)"
2183,"WN309","Mapping","Fredy Rivera [visited](https://umh.openstreetmap.co/b182?registros=10#estuvimos-dentro-del-volc-n-cerro-mach-n-general) the ""Cerro Machín"", a very dangerous (because of its size and [its position](https://opentopomap.org/#map=13/4.50173/-75.32106)) assessed [stratovolcano](https://en.wikipedia.org/wiki/Stratovolcano) in Columbia with the habitants of the area to capture necessary data in OSM which can be helpful in case of an outbreak. (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://umh.openstreetmap.co/b182?registros=10#estuvimos-dentro-del-volc-n-cerro-mach-n-general))"
2283,"WN311","Picture","![Logo](http://blog.openstreetmap.de/wp-uploads//2016/07/DE_311_web.png) Combination of OpenTopoMap and the Dofour map from 1865 [^1^](#wn311_12382)"
2615,"WN318","Maps","Opentopomap doesn't [update](https://help.openstreetmap.org/questions/51558/opentopomap-doesnt-update-anymore) anymore? Stefan Erhardt is [looking](https://www.openstreetmap.org/user/derstefan/diary/39329) for help. ![(Deutsch)](http://blog.openstreetmap.de/wp-uploads//2016/05/de.svg) (automatic [translation](https://translate.google.com/translate?sl"
4307,"WN351","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.6.1](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2017-03-06|Two changes and three fixes.|
|[GpsMaster](http://wiki.openstreetmap.org/wiki/GpsMaster)|[0.63.00](https://wiki.openstreetmap.org/wiki/GpsMaster/Changelog#0.63.00)|2017-04-06|OpenCycleMap enhanced, OpenTopoMap added and more changes.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-04-07|Route planning and search reworked.|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[9.0.1](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2017-04-07|Improvement of performance and further small changes.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.35.0](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.35.0)|2017-04-07|Seven new features and 12 bugfixes.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.12](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-04-07|Changes for different cameras and a bug fixed.|
|[QGIS](http://www.qgis.org)|[2.18.6](https://github.com/qgis/QGIS/releases/tag/final-2_18_6)|2017-04-07|No infos.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.45](https://play.google.com/store/apps/details?id=app.mapillary)|2017-04-08|Don't rotate the UX for left handed to fix the preview upside down problem.|
|[Kurviger Free&nbsp; ](https://docs.kurviger.de/app)|[10.0.19](https://docs.kurviger.de/app)|2017-04-09|Various improvements.|
|[StreetComplete](https://fossdroid.com/a/street%C2%ADcomplete.html)|[0.7](https://github.com/westnordost/StreetComplete/releases/tag/v0.7)|2017-04-09|Fix of version 0.6 with the fixed changeset problem.|
|[libosmium](http://osmcode.org/libosmium/)|[2.12.1](https://github.com/osmcode/libosmium/releases/tag/v2.12.1)|2017-04-10|Many changes and bugfixes. Please read change log.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.7.3](https://github.com/MapContrib/MapContrib/releases/tag/1.7.3)|2017-04-10|Many changes since 1.6.1, please read release infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-04-10|Changes to the GUI, more hotels, beaches, parking, cameras and WLAN hotspots added.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.2.3](https://itunes.apple.com/app/id510623322)|2017-04-10|100,000 objects added. Incl. restaurants, shops and POI.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.23.0](http://www.locusmap.eu/news-version-3-23-0)|2017-10-04|Many improvements, please read releaseinfo.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-04-10 15:08:55+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
4393,"WN353","Maps","[1]  [BBBike extract](https://extract.bbbike.org/extract-screenshots.html#garmin-opentopo) service now also [delivers](https://lists.openstreetmap.org/pipermail/talk-de/2017-April/114027.html) maps with the OpenTopoMap style for Garmin devices."
4388,"WN353","Picture","![Beispiele des neuen OpenTopoMap-Stils](http://blog.openstreetmap.de/wp-uploads//2017/04/bbbike_garmin_topo.png =800x794)

Screen shot  examples of the new OpenTopoMap style for Garmin devices [^1^](#wn353_14881) | © Wolfram Schneider, [OpenStreetMap contributors](https://www.openstreetmap.org/copyright) [CC-BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0/)"
4683,"WN360","Maps","Sarah Hoffmann, aka [Lonvia](https://wiki.openstreetmap.org/wiki/User:Lonvia), the maintainer of [Waymarked Trails](https://hiking.waymarkedtrails.org/#routelist?ids=3727206,7184693&map=12!38.4664!-28.2168),  [announced](https://www.openstreetmap.org/user/lonvia/diary/41602)  a collaboration with [OpenTopoMap](https://opentopomap.org/#map=12/38.4725/-28.2919)."
