"id","blog","category","markdown"
788,"WN284","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Maps.me](http://maps.me)|[5.3](https://github.com/mapsme/omim/releases/tag/android-release-53)|2015-12-21|Fixed zoom buttons bug|
|[Locus Map Free](http://www.locusmap.eu/)|[3.14.1](http://www.locusmap.eu/news-version-3-14.1/)|2015-12-22|Bug fixes|
|[OSRM Backend](http://project-osrm.org/)|[4.9.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v4.9.0)|2015-12-24|API changes, bug fixes, maintenance, new features|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2015-12-27](https://github.com/osm-fr/osmose-backend/releases)|2015-12-27||"
986,"WN288","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[OpenJUMP](http://jump-pilot.sourceforge.net/)|[1.9.0](http://sourceforge.net/p/jump-pilot/code/HEAD/tree/core/trunk/ChangeLog)|2016-01-18|First new release since december 2014|
|[OpenLayers](http://openlayers.org/)|[3.13.0](https://github.com/openlayers/ol3/releases/tag/v3.13.0)|2016-01-20|68 changes and fixes|
|[OSRM Backend](http://project-osrm.org/)|[4.9.1](https://github.com/Project-OSRM/osrm-backend/releases/tag/v4.9.1)|2016-01-20|4 bugs fixed|
|[SQLite](http://www.sqlite.org/)|[3.10.2](http://www.sqlite.org/releaselog/3_10_2.html)|2016-01-20|Bug fixes|"
1512,"WN296","Mapping","From the OSRM (""OpenSourceRoutingMachine"") project there is [now](https://lists.openstreetmap.org/pipermail/osrm-talk/2016-March/001150.html) a map service for [debugging purposes](http://map.project-osrm.org/debug/#15.41/53.2831/10.4933) that displays the internal routing graph of OSRM and the computed average speed that is needed for travel time calculation."
1482,"WN296","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Locus Map Free](http://www.locusmap.eu/)|[3.16.0](http://www.locusmap.eu/news-version-3-16-0)|2016-03-14|""Stop tracking"" button and some more eehancements|
|[iD](http://ideditor.com/)|[1.9.2](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-03-18|-|
|[OSRM Backend](http://project-osrm.org/)|[5.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.0.0-newapi.6)|2016-03-18|Cleanup, fixes and enhancements|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1783,"WN301","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[MapFactor Navigator Free](http://navigatorfree.mapfactor.com)|[2.1.97](https://play.google.com/store/apps/details?id=com.mapfactor.navigator)|2016-04-13|Bugs fixed, better alternate route calculation and more|
|[SQLite](http://www.sqlite.org/)|[3.12.2](http://www.sqlite.org/releaselog/3_12_2.html)|2016-04-18|Some bugs fixed|
|[OSM Buildings](http://osmbuildings.org)|[2.4.2](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v2.4.2)|2016-04-20|Updates for CI automation|
|[OsmAnd for iOS](http://osmand.net)|[1.2.3](http://osmand.net/blog?id=osmand-ios-1.2.3-released)|2016-04-21|Bug s fixed|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.8.5](https://play.google.com/store/apps/details?id=app.mapillary)|2016-04-22|Mapbox sdk upgrade for in-camera map|
|[OSRM Backend](http://project-osrm.org/)|[5.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.0.0)|2016-04-22|Many API changes and some fixes|
|[iD](http://ideditor.com/)|[1.9.3](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-04-25|-|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1836,"WN302","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[OsmAnd for iOS](http://osmand.net)|[1.2.4](http://osmand.net/blog?id=osmand-ios-1.2.3-released)|2016-04-27|Bugs fixed|
|[JOSM](http://josm.openstreetmap.de/)|[10161](http://josm.openstreetmap.de/wiki/Changelog)|2016-04-28|New layer filters, Java 9, better bug reports and more|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.3.0](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-04-28|multi-cam capture, new tab bar, tutorial added|
|[Traccar Client Android](https://www.traccar.org/client/)|[3.11](https://www.traccar.org/blog/category/releases/)|2016-04-28|-|
|[OSRM Backend](http://project-osrm.org/)|[5.0.2](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.0.2)|2016-04-29|Bug fix release|
|[QGIS](http://www.qgis.org)|[2.14.2](https://raw.githubusercontent.com/qgis/QGIS/final-2_14_2/ChangeLog)|2016-04-29|-|
|[Traccar Client iOS](https://www.traccar.org/client/)|[3.0](https://itunes.apple.com/us/app/traccar-client/id843156974)|2016-04-30|Implement app settings validation|
|[Grass Gis](http://grass.osgeo.org/)|[7.0.4](https://grass.osgeo.org/news/56/15/GRASS-GIS-7-0-4-released/)|2016-05-01|150 stability fixes and manual improvements|
|[GpsMaster](http://wiki.openstreetmap.org/wiki/GpsMaster)|[0.62.97](https://wiki.openstreetmap.org/wiki/GpsMaster/Changelog#0.62.97)|2016-05-02|Many improvements|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1849,"WN303","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[iD](http://ideditor.com/)|[1.9.4](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-05-03|-|
|[JOSM](http://josm.openstreetmap.de/)|[10168](http://josm.openstreetmap.de/wiki/Changelog)|2016-05-03|-|
|[BRouter](http://brouter.de/brouter/)|[1.4.1](http://brouter.de/brouter/revisions.html)|2016-05-09|Turning Instructions|
|[OSRM Backend](http://project-osrm.org/)|[5.1.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.1.0)|2016-05-09|Bug fix release|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2146,"WN308","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2016-06-06](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|6.6.2016|-|
|[Maps.me iOS](http://maps.me)|[6.1.9](https://itunes.apple.com/app/id510623322)|7.6.2016|Bug fixes, new map data files|
|[iD](http://ideditor.com/)|[1.9.6](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|8.6.2016|-|
|[libosmium](http://osmcode.org/libosmium/)|[2.7.3](https://github.com/osmcode/libosmium/releases)|8.6.2016|faster output of OSM files in format of XML, OPL or debug format |
|[Maps.me Android](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|8.6.2016|Bug fixes, new map dada files|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.3.1](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|8.6.2016|new parameters and command line switches|
|[Route Converter](http://www.routeconverter.com)|[2.18](http://www.routeconverter.com/history/en)|8.6.2016|see release information itself|
|[Mapillary Android](http://www.mapillary.com/map)|[2.22](https://play.google.com/store/apps/details?id=app.mapillary)|13.6.2016|bug fixes and extended features|
|[OSRM Backend](http://project-osrm.org/)|[5.2.1](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.0)|13.6.2016| bug fix version to 5.2.0|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2212,"WN309","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Mapillary Android](http://www.mapillary.com/map)|[2.24](https://play.google.com/store/apps/details?id=app.mapillary)|2016-06-15|Some extensions and some bug fixes|
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.7](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-06-16|Some updates|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.6|2016-06-16|-|
|[OSRM Backend](http://project-osrm.org/)|[5.2.3](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.3)|2016-06-17|Bugfix |
|[Komoot iOS](https://www.komoot.de/)|[8.1](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-06-18|-|
|[Komoot Android](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-06-19|-|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2227,"WN310","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GraphHopper Routing Engine](https://graphhopper.com/)|[0.7](https://graphhopper.com/blog/2016/06/15/graphhopper-routing-e+ngine-0-7-released/)|2016-06-15|Java 7 support, new translations and many more
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.20.1](https://github.com/mapbox/mapbox-gl-js/releases)|2016-06-21|Bugfix|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.40|2016-06-21|No info|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-06-23](https://github.com/osm-fr/osmose-backend/releases)|2016-06-23|No info|
|[OSM Buildings](http://osmbuildings.org)|[3.0.0](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v3.0.0)|2016-06-24|4 changes and 2 fixes|
|[OSRM Backend](http://project-osrm.org/)|[5.2.6](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.6)|2016-06-24|Bugfix |
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.8](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-06-25|Multilingual vector maps|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.7|2016-06-25|-|
|[Locus Map Free](http://www.locusmap.eu/)|[3.18.0](http://www.locusmap.eu/news-version-3-18-0)|2016-06-27|New function added|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
