"id","blog","category","markdown","sg_id"
14,"WN272","Mapping","The French QA tool Osmose has a [Mapillary integration](https://twitter.com/osmose_qa/status/650735269033938944) as well.",6
211,"WN274","Community","Pierre Béland is looking for a tool to help experienced mappers analyze data after a mapping party. A lot of data was added as response to the earthquake in Nepal. There were many new mappers, that never did any other mapping besides the mapping party in which they participated. The verification of this data is a huge job. Pierre's approach is to find objects without primary key (such as building, highway, etc) or where the value is clearly a note (such as highway=I'm not sure whether there is a road here). He tried some analysis with his own tools on a planet dumb of Nepal. With some help from the community he finds the JOSM plugins OSMantic and OSMRecPlugin. The second one seems promising for his needs. Also there are some disabled tests from Osmose that might help. (on the [French mailing list](https://lists.openstreetmap.org/pipermail/talk-fr/2015-October/078307.html) ![(Französisch)](http://blog.openstreetmap.de/wp-uploads//2015/01/fr.svg)",6
178,"WN274","Programming","On September 26th, 2015 [Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose) version [1.0-2015-09-26](https://github.com/osm-fr/osmose-backend/releases) was released",6
788,"WN284","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Maps.me](http://maps.me)|[5.3](https://github.com/mapsme/omim/releases/tag/android-release-53)|2015-12-21|Fixed zoom buttons bug|
|[Locus Map Free](http://www.locusmap.eu/)|[3.14.1](http://www.locusmap.eu/news-version-3-14.1/)|2015-12-22|Bug fixes|
|[OSRM Backend](http://project-osrm.org/)|[4.9.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v4.9.0)|2015-12-24|API changes, bug fixes, maintenance, new features|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2015-12-27](https://github.com/osm-fr/osmose-backend/releases)|2015-12-27||",6
993,"WN288","Mapping","The french quality assurance tool Osmose now also [covers](https://twitter.com/osmose_qa/status/690285020544679937) Australia, Fiji, Palestine, Israel, Armenia, North and South Korea.",6
1651,"WN299","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.2.1](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-04-05|Changes for GoPro|
|[Locus Map Free](http://www.locusmap.eu/)|[3.16.2](https://play.google.com/store/apps/details?id=menion.android.locus)|2016-04-06|Bugfix version|
|[SQLite](http://www.sqlite.org/)|[3.12.1](http://www.sqlite.org/releaselog/3_12_1.html)|2016-04-08|3 bugs fixed|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-04-09](https://github.com/osm-fr/osmose-backend/releases)|2016-04-09|-|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",6
2227,"WN310","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GraphHopper Routing Engine](https://graphhopper.com/)|[0.7](https://graphhopper.com/blog/2016/06/15/graphhopper-routing-e+ngine-0-7-released/)|2016-06-15|Java 7 support, new translations and many more
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.20.1](https://github.com/mapbox/mapbox-gl-js/releases)|2016-06-21|Bugfix|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.40|2016-06-21|No info|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-06-23](https://github.com/osm-fr/osmose-backend/releases)|2016-06-23|No info|
|[OSM Buildings](http://osmbuildings.org)|[3.0.0](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v3.0.0)|2016-06-24|4 changes and 2 fixes|
|[OSRM Backend](http://project-osrm.org/)|[5.2.6](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.6)|2016-06-24|Bugfix |
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.8](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-06-25|Multilingual vector maps|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.7|2016-06-25|-|
|[Locus Map Free](http://www.locusmap.eu/)|[3.18.0](http://www.locusmap.eu/news-version-3-18-0)|2016-06-27|New function added|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",6
2506,"WN315","Mapping","The Osmose-QA tool [is](https://lists.openstreetmap.org/pipermail/talk-fr/2016-July/081653.html) available with world wide coverage. ![(Französisch)](http://blog.openstreetmap.de/wp-uploads//2015/01/fr.svg) (automatic [translation](https://translate.google.com/translate?sl",6
2695,"WN319","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[Maps.me iOS  ](http://maps.me)|[6.3.3](https://itunes.apple.com/app/id510623322)|2016-08-18|Search fixed, new map data|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[1.0-2016-08-22](https://github.com/osm-fr/osmose-backend/releases)|2016-08-22|No info|
|[Mapillary iOS  ](http://www.mapillary.com/map)|[4.4.10](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-08-23|iOS 10 support, bug fixed|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.23.0](https://github.com/mapbox/mapbox-gl-js/releases)|2016-08-24|Five new functions, performance enhancements and some bugs fixed|
|[ODL Studio](http://www.opendoorlogistics.com/software/)|[1.3.5](http://www.opendoorlogistics.com/odl-studio-v1-3-5-released)|2016-08-24|Update notifyer, two bugs fixed|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.7](http://vespucci.io/help/en/0.9.7%20Release%20notes/)|2016-08-24|Too much, please read release info|
|[Locus Map Free  ](http://www.locusmap.eu/)|3.18.7|2016-08-25|BRouter configuration, some fixes|
|[Maps.me Android  ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-08-25|GPS error fixed, new map data|
|[QGIS](http://www.qgis.org)|2.16.2|2016-08-26|No infos|
|[OpenLayers](http://openlayers.org/)|[3.18.1](https://github.com/openlayers/ol3/releases/tag/v3.18.1)|2016-08-29|Patch of the recently published 3.18.0|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",6
2881,"WN322","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Nominatim](http://wiki.openstreetmap.org/wiki/Nominatim)|[2.5.1](https://github.com/twain47/Nominatim/releases/tag/v.2.5.1)|2016-08-02|Bug fix release with minor fixes|
|[SQLite](http://www.sqlite.org/)|[3.14.2](http://www.sqlite.org/releaselog/3_14_2.html)|2016-09-12|Six fixes|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[v1.0-2016-09-13](https://github.com/osm-fr/osmose-backend/releases)|2016-09-13|No info|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.7.1|2016-09-14|No infos|
|[libosmium](http://osmcode.org/libosmium/)|[2.9.0](https://github.com/osmcode/libosmium/releases)|2016-09-15|see below|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.4.0](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2016-09-15|Eight extensions, six changes and 2 fixes|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2016-09-15](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|2016-09-15|Fixed GPX output format, support portuguese, some other fixes |
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.9.0](https://github.com/osmcode/pyosmium/releases)|2016-09-15|Adjustments to actual libosmium|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.16.37](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-09-16|Eliminates GPS problems, improved audio via Bluetooth, further changes and improvements|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-09-17|No info|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.48](https://play.google.com/store/apps/details?id=org.naviki)|2016-09-19|Layout revised|
|[OsmAnd for Android&nbsp; ](http://osmand.net/)|[2.4](http://osmand.net/blog)|2016-09-19|Improved user interface, refined POI search|
|[OsmAnd+ for Android&nbsp; ](http://osmand.net/)|[var](https://play.google.com/store/apps/details?id=net.osmand.plus)|2016-09-19|Improved user interface, refined POI search|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",6
