"id","blog","category","markdown"
16769,"WN640","Software","The French initiative to build a geolocated street level image sharing service has [voted](https://forum.geocommuns.fr/t/des-noms-pour-le-projet/48) :FR-s: to name the project Panoramax, which is both a wordplay on panorama, maximum and Panoramix, the original name of Getafix from the Asterix series. One can follow the project's development on this [forum](https://forum.geocommuns.fr/c/panoramax/6) :FR-s:."
18318,"WN686","Did you know that…","... [GeoVisio](https://wiki.openstreetmap.org/wiki/GeoVisio), also known as Panoramax, is a Street View gallery server software that is libre and open source and that you can host on your own server?"
18637,"WN695","Events","Christian Quest, founding member of the French OpenStreetMap local chapter, [introduced](https://mstdn.io/@lefuturiste/111392720631545134) the Panoramax project during the [State of the Map EU 2023](https://stateofthemap.eu/program/panoramax-the-full-floss-alternative-for-your-ground-level-imagery) event. Panoramax is a decentralised and federated project to collect and share ground level imagery under open licences."
19116,"WN704","Programming","Lucas Longour [created](https://lucaslongour.org/posts/2024-01-12-panoramax-userjs-for-openstreetmap/) some userscripts to display [Panoramax](https://panoramax.fr/) links on OpenStreetMap and overpass turbo."
19339,"WN711","Programming","Adrien Pavie has [shared](https://framapiaf.org/@PanierAvide/112038222954469129) a tutorial to help users create custom models for object recognition in Panoramax photos. The tutorial [walks](https://github.com/panoramax-project/DetectionTutorial)  users through the process of creating a dataset, marking up photos, training the YOLOv8 model, and recognising objects in new photos."
19375,"WN712","Community","Deus Figendi [called](https://t.me/OSM_de/110146) :DE-s: for more use of [Panoramax](https://lucaslongour.org/posts/2024-01-12-panoramax-userjs-for-openstreetmap/). Paul [explained](https://t.me/OSM_de/110149) :DE-s: Panoramax in a nutshell: 'Street pictures à la Kartaview/Mapillary, but technically like Mastodon'. Christian Quest [explained](https://www.youtube.com/watch?v=Vh87F5Zie6k) it in detail in a video from SotM Europe 2023."
19421,"WN713","Community","OSM France [called](https://community.openstreetmap.org/t/massive-mapillary-takeout-for-panoramax/110693) out to Mapillary users who would like their photos to be migrated to the libre street view alternative Panoramax, which is hosted by OSM France."
19481,"WN714","Did you know that…","… that the main difference between the two federating [Panoramax](https://wiki.openstreetmap.org/wiki/GeoVisio) instances is the licence being applied to the uploaded images? [IGN](https://panoramax.ign.fr/) is using the [etalab-2.0](https://www.etalab.gouv.fr/licence-ouverte-open-licence/) :FR-s:>>>[:EN-t:](https://www-etalab-gouv-fr.translate.goog/licence-ouverte-open-licence/?_x_tr_sl=auto&_x_tr_tl=EN)  licence and [OSM-FR](https://panoramax.openstreetmap.fr/) is [CC-BY-SA-4.0](https://spdx.org/licenses/CC-BY-SA-4.0.html). OSM-FR is [accepting](https://en.osm.town/@cquest@amicale.net/112163274315316670) images from outside of France, so that local communities can test Panoramax with the goal of having them deploy their own instance in the near future."
19548,"WN716","Community","In the second week of their EU Camera Grant project Anne-Karoline Distel has [uploaded](https://www.openstreetmap.org/user/b-unicycling/diary/403852) around 30,000 images, using a GoPro Max, experimenting with different modes of transportation including cycling, walking, and taking the bus to capture imagery. Despite weather challenges, their efforts were enhanced by using an e-bike, allowing for broader coverage. They also discussed the project in a local radio interview and began testing uploads to Panoramax."
19631,"WN717","Mapping campaigns","GoWin [wrote](https://www.openstreetmap.org/user/GOwin/diary/403933) about a craft mapping campaign with students from the University of Bohol, Indonesia. The on-site observations were recorded on [fieldpapers](http://fieldpapers.org/). The georeferenced photos, collected with [OpenCamera](https://www.opencamera.org.uk/), were uploaded to [Panoramax](https://api.panoramax.xyz/#focus=map&map=16.16/9.641211/123.85648&pic=b4c47ca0-4684-4a44-8d23-d5d95a2b3b9b&speed=250&xyz=275.00/0.00/30)."
