"id","blog","category","markdown","sg_id"
114,"WN273","Programming","Paul Ramsey reports in the cartodb.com [blog](http://blog.cartodb.com/smaller-faster) how to compress geospatial data from a PostGIS database effectively without big loss of quality. ",8
101,"WN273","Programming","On October 7th, 2015 [PostGIS](http://www.postgis.org/) version [2.2](http://svn.osgeo.org/postgis/tags/2.2.0/NEWS) was released.",8
503,"WN279","Programming","PGRestAPI is [another](https://github.com/spatialdev/PGRestAPI/blob/master/docs/VectorTiles.md) vector tile offering, this time from [SpatialDev](http://spatialdev.com/) in Seattle (via [Ebrahim Poorazizi](https://twitter.com/mepoorazizi/status/664702633416880128) on twitter).  Again, it's Mapbox's ubiquitous vector tile format, but this time it's out of PostGIS and with a [Leaflet client library](https://github.com/SpatialServer/Leaflet.MapboxVectorTile), so arguably closer to what many people will already be doing to render OSM data.",8
882,"WN286","Software","Releases
| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.70](https://play.google.com/store/apps/details?id=app.mapillary)|2015-12-18|Bug fixes|
|[Locus Map Free](http://www.locusmap.eu/)|[3.14.2](https://play.google.com/store/apps/details?id=menion.android.locus)|2016-01-05|Minor extensions|
|[iD](http://ideditor.com/)|[1.8.4](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-01-06|20+ enhancements and new presets|
|[PostGIS](http://www.postgis.net)|[2.2.1](http://svn.osgeo.org/postgis/tags/2.2.1/NEWS)|2016-01-06|Focus is on bugs, breakages, and performance issues. Esp. Topology|
|[SQLite](http://www.sqlite.org/)|[3.10.0](http://www.sqlite.org/releaselog/3_10_0.html)|2016-01-06|Enhancements and performance optimizations|
|[JOSM](http://josm.openstreetmap.de/)|[9329](http://josm.openstreetmap.de/wiki/Changelog)|2016-01-07|Improvements to partial fill areas, corrections in presets and others|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.2](https://itunes.apple.com/us/app/mapillary/id757286802?mt=8&ign-mpt=uo%3D4)|2016-01-07|Bug fixes|
|[PostgreSQL](http://www.postgresql.org/)|[9.5.0](http://www.postgresql.org/about/news/1636/)|2016-01-07|UPSERT, Row Level Security, Big Data Features|",8
919,"WN286","Programming","[Michael Markieta](https://www.linkedin.com/in/michaelmarkieta) describes in [Cartograhic Perspectives](http://cartographicperspectives.org/index.php/journal/index) how to [install PostGIS and QGIS](http://cartographicperspectives.org/index.php/journal/article/view/cp71-markieta/138) and OSM data can be used on the Mac.",8
1180,"WN291","Programming","Littlebtc [writes](http://www.openstreetmap.org/user/Littlebtc/diary/37950) how PostGIS 2.2 makes it easy to group nearby bus stops.",8
1447,"WN295","Mapping","User baditaflorin writes about a [PostGIS script](http://www.openstreetmap.org/user/baditaflorin/diary/38101) which can help find duplicated nodes in an area.",8
1537,"WN297","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GeoServer](http://geoserver.org/)|[2.8.3](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=11901)|2016-01-26|Fixed 25 bugs,  4 enhancements|
|[PostGIS](http://www.postgis.net)|[2.2.2](https://svn.osgeo.org/postgis/tags/2.2.2/ChangeLog)|2016-03-22|As befits a patch release, the focus is on bugs and breakages.|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.2.0](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-03-24|New Viewer and appropriate adjustments in the GUI|
|[QMapShack Linux](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.6.1|2016-03-24|-|
|[QGIS](http://www.qgis.org)|[2.14.1](http://www.qgis.org/de/site/forusers/visualchangelog214/index.html)|2016-03-25|-|
|[QMapShack Mac](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.6.1|2016-03-25|-|
|[Locus Map Free](http://www.locusmap.eu/)|[3.16.1](https://play.google.com/store/apps/details?id=menion.android.locus)|2016-03-27|Bugfix version|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",8
2121,"WN308","Mapping","A cool [project](https://www.openstreetmap.org/user/baditaflorin/diary/38818) to visualize OSM data in 3D and split vertically by year. The developer of the project used the OSM Postgis Script to load the data into PostGIS. The result is a 3D map which can be navigated.",8
2341,"WN312","Other Geo Things","Here is a [Wikidata query](http://tinyurl.com/grrw2hq) to fetch all buildings that span borders between countries Wikidata has data on. To achieve the same with OSM data would involve downloading all borders and buildings nearby to it using Overpass API, then use another tool to figure out which ones intersect with those borders, unless you have all OSM data in PostGIS, then you can do a spatial query directly.",8
