"id","blog","category","markdown","sg_id"
1142,"WN290","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[libosmium](http://osmcode.org/libosmium/)|[2.6.0](https://github.com/osmcode/libosmium/blob/master/CHANGELOG.md)|2016-02-03|Extensions, enhances and fixes|
|[OpenLayers](http://openlayers.org/)|[3.13.1](https://github.com/openlayers/ol3/releases/tag/v3.13.1)|2016-02-03|two patches of 3.13.0|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.6.0](https://github.com/osmcode/pyosmium/releases)|2016-02-03|new product|
|[Geobuf](https://github.com/mapbox/geobuf)|[2.0.0](https://github.com/mapbox/geobuf/releases)|2016-02-05|TopoJSON support removed, some fixes|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.3](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-02-05|French support, 3 new cameras,++, fixes|
|[Maps.me](http://maps.me)|[5.6.1](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-02-05|Bug fixed|
|[Atlas](http://wiki.openstreetmap.org/wiki/Atlas_(navigation_application))|[1.2.1](http://groups.google.com/group/atlas-app)|2016-02-07|Night mode, update map and routing engine, various improvements|
|[Graphhopper](https://graphhopper.com/)|[0.6](https://graphhopper.com/blog/2016/02/08/releasing-graphhopper-0-6/)|2016-02-08|Many smaller changes, new alternate route calculation|",4
2085,"WN307","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GeoServer](http://geoserver.org/)|[2.9.0](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=13003)|2016-05-30|-|
|[Mapillary for Android](http://www.mapillary.com/map)|[2.16](https://play.google.com/store/apps/details?id=app.mapillary)|2016-05-31|Some extensions and some bug fixes|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.3.2](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-05-31|Modified Gui, some fixes|
|[libosmium](http://osmcode.org/libosmium/)|[2.7.1](https://github.com/osmcode/libosmium/releases)|2016-06-01|-|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.7.1](https://github.com/osmcode/pyosmium/releases)|2016-06-01|Some extensions|
|[JOSM](http://josm.openstreetmap.de/)|[10327](http://josm.openstreetmap.de/wiki/Changelog)|2016-06-05|Hotfix of version 10301 and last Java 7 version|
|[Overpass Turbo](http://overpass-turbo.eu/)|[06-06-2016](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|06.06.2016|new features and bugfixes|
provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",4
2533,"WN316","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[QGIS](http://www.qgis.org)|2.16.1|2016-07-29|No infos|
|[Locus Map Free](http://www.locusmap.eu/)|3.18.6|2016-08-03|Changes in internal cache, many fixes|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.42.0|2016-08-03|No infos|
|[GeoServer](http://geoserver.org/)|[2.9.1](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=13001)|2016-08-04|Some improvements and 41 bugs fixed|
|[libosmium](http://osmcode.org/libosmium/)|[2.8.0](https://github.com/osmcode/libosmium/releases)|2016-08-04|New EWKT support, some improvements and bugs fixed|
|[OSRM Backend](http://project-osrm.org/)|[5.3.1](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.3.1)|2016-08-04|2 bugs fixed|
|[Magic Earth](http://www.generalmagic.com/magic-earth/)|[7.1.16.37](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-08-05|Bug fixes and stability improvements|
|[BRouter](http://brouter.de/brouter/)|[1.4.3](http://brouter.de/brouter/revisions.html)|2016-08-06|Changes in the profiles and a bugfix|
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.10](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-08-07|Various improvements, updated map and routing engines|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.10|2016-08-08|No infos|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.8](https://github.com/osmcode/pyosmium/releases)|2016-08-08|Adjustments to libosmium|
|[SQLite](http://www.sqlite.org/)|[3.14.0](http://www.sqlite.org/releaselog/3_14_0.html)|2016-08-08|19 Improvements and enhancements, 3 bugs fixed|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",4
2881,"WN322","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Nominatim](http://wiki.openstreetmap.org/wiki/Nominatim)|[2.5.1](https://github.com/twain47/Nominatim/releases/tag/v.2.5.1)|2016-08-02|Bug fix release with minor fixes|
|[SQLite](http://www.sqlite.org/)|[3.14.2](http://www.sqlite.org/releaselog/3_14_2.html)|2016-09-12|Six fixes|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[v1.0-2016-09-13](https://github.com/osm-fr/osmose-backend/releases)|2016-09-13|No info|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.7.1|2016-09-14|No infos|
|[libosmium](http://osmcode.org/libosmium/)|[2.9.0](https://github.com/osmcode/libosmium/releases)|2016-09-15|see below|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.4.0](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2016-09-15|Eight extensions, six changes and 2 fixes|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2016-09-15](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|2016-09-15|Fixed GPX output format, support portuguese, some other fixes |
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.9.0](https://github.com/osmcode/pyosmium/releases)|2016-09-15|Adjustments to actual libosmium|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.16.37](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-09-16|Eliminates GPS problems, improved audio via Bluetooth, further changes and improvements|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-09-17|No info|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.48](https://play.google.com/store/apps/details?id=org.naviki)|2016-09-19|Layout revised|
|[OsmAnd for Android&nbsp; ](http://osmand.net/)|[2.4](http://osmand.net/blog)|2016-09-19|Improved user interface, refined POI search|
|[OsmAnd+ for Android&nbsp; ](http://osmand.net/)|[var](https://play.google.com/store/apps/details?id=net.osmand.plus)|2016-09-19|Improved user interface, refined POI search|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software).

( ) unfree software. See [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",4
3357,"WN331","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Cruiser for Android&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.14](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-11-15|Various improvements.|
|[Cruiser for Desktop&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.14|2016-11-15|Various improvements.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.0.6](https://play.google.com/store/apps/details?id=app.mapillary)|2016-11-15|Fix dialog text and image dates on some devices.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-11-16|Minor enhancements.|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.10.2](https://github.com/osmcode/pyosmium/releases)|2016-11-16|Three extensions, two bug fixes and use actual libosmium.|
|[iD](http://ideditor.com/)|[2.0.1](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-11-17|Bug fixes of the just released 2.0.0.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.28.0](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.28.0)|2016-11-17|Three new features and improvements, six bug fixes.|
|[Vespucci](https://github.com/MarcusWolschon/osmeditor4android)|[0.9.8r1214](http://vespucci.io/help/en/0.9.8%20Release%20notes/)|2016-11-18|See release info.|
|[Traccar Server](https://www.traccar.org/server/)|[3.8](https://www.traccar.org/blog/category/releases/)|2016-11-19|No Info.|
|[libosmium](http://osmcode.org/libosmium/)|[2.10.3](https://github.com/osmcode/libosmium/releases/tag/v2.10.3)|2016-11-20|Please read release info.|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.4.1](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2016-11-20|Two extensions, four changes and three fixes.|
|[Leaflet](http://leafletjs.com/)|[1.0.2](https://github.com/Leaflet/Leaflet/blob/master/CHANGELOG.md)|2016-11-21|Many bug fixes and enhancements, please read release information.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[6.5.3](https://itunes.apple.com/app/id510623322)|2016-11-21|Bug fixes.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",4
3731,"WN339","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.21.1](https://play.google.com/store/apps/details?id=menion.android.locus)|2017-01-10|Bugfix release.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.31.0](https://github.com/mapbox/mapbox-gl-js/releases)|2017-01-10|One new feature and two bugfixes.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.5.12](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-01-10|Minor fixes.|
|[OSRM](http://project-osrm.org/)|[5.5.3](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.5.3)|2017-01-11|Two enhancements and three bugfixes.|
|[Naviki iOS; ](https://www.naviki.org/naviki/)|[3.53](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2017-01-12|Supporting Apple Watch.|
|[OSM Contributor](https://github.com/jawg/osm-contributor)|[3.0.1](https://github.com/jawg/osm-contributor/releases)|2017-01-12|Bugfix release.|
|[QGIS](http://www.qgis.org/)|[2.18.3](https://github.com/qgis/QGIS/releases/tag/final-2_18_3)|2017-01-13|No info.|
|[libosmium](http://osmcode.org/libosmium/)|[2.11.0](https://github.com/osmcode/libosmium/releases)|2017-01-14|Many changes, please read release info.|
|[Traccar Client Android](https://www.traccar.org/client/)|[4.0](https://play.google.com/store/apps/details?id=org.traccar.client)|2017-01-14|No info.|
|[pyosmium](https://github.com/osmcode/pyosmium)|[2.11](https://github.com/osmcode/pyosmium/releases)|2017-01-15|Use current libosmium.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",4
4166,"WN348","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.33](https://play.google.com/store/apps/details?id=app.mapillary)|2017-03-14|Fix bug in distance mode, upgrade map box map for more stability.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.9](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-03-15|Added support for future feed items, some bugs fixed.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.22.2](http://www.locusmap.eu/news-version-3-22-1)|2017-03-16|Bugfix release.|
|[Maps 3D Pro&nbsp; ](https://itunes.apple.com/de/app/maps-3d-pro-gps-tracks-fur/id391304000)|[4.1.4](https://itunes.apple.com/de/app/maps-3d-pro-gps-tracks-fur/id391304000)|2017-03-16|Many changes and fixes, please read release infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-03-16|Hotel pages enhanced.|
|[Naviki iOS&nbsp; ](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.56](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2017-03-16|Integration of smart bike systems, bug fixes.|
|[Traccar Client Android](https://www.traccar.org/client/)|[4.1](https://www.traccar.org/blog/category/releases/)|2017-03-16|Fix some small issues.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-03-17|Minor enhancements.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.34.0](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.34.0)|2017-03-17|Two new features and three bugfixes.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.6](https://github.com/MapContrib/MapContrib/releases/tag/1.6.0)|2017-03-17|Bug fixed.|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.56](https://play.google.com/store/apps/details?id=org.naviki)|2017-03-17|Integration of smart bike systems, connection to Bluetooth devices revised, bug fixes.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.2.1](https://itunes.apple.com/app/id510623322)|2017-03-19|Fixes for iOS 8.|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.12.0](https://github.com/osmcode/pyosmium/releases)|2017-03-20|Three extensions, documentation fixes and use actual libosmium.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",4
4331,"WN352","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.12.1](https://github.com/osmcode/pyosmium/releases)|11/04/2017|Four extensions, two changes and three bugfixes.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.35.1](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.35.0)|12/04/2017|Five bug fixes.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.2.4](https://itunes.apple.com/app/id510623322)|12/04/2017|No info.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.23.1](http://www.locusmap.eu/news-version-3-23-1)|13/04/2017|Bugfix release.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.13](https://itunes.apple.com/us/app/mapillary/id757286802)|13/04/2017|Two bugs fixed.|
|[OpenJUMP](http://jump-pilot.sourceforge.net/)|[1.11](http://sourceforge.net/p/jump-pilot/code/HEAD/tree/core/trunk/ChangeLog)|13/04/2017|New features and bug fixes.|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.92.1](https://github.com/openstreetmap/osm2pgsql/releases/tag/0.92.1)|13/04/2017|Two important bugs fixed.|
|[OpenLayers](http://openlayers.org/)|[4.1.0](https://github.com/openlayers/openlayers/releases/tag/v4.1.0)|14/04/2017|Many changes, please read release info.|
|[Traccar Server](https://www.traccar.org/server/)|[3.11](https://www.traccar.org/blog/category/releases/)|14/04/2017|SMS support added.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.48](https://play.google.com/store/apps/details?id=app.mapillary)|15/04/2017|Tuning GPX processing, some bugs fixed.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.7.7](https://github.com/MapContrib/MapContrib/releases/tag/1.7.7)|17/04/2017|Some smaller changes.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|17/04/2017|100,000 objects added. Incl. restaurants, shops and POI.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-04-17 18:40:55+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",4
4478,"WN355","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[JOSM](http://josm.openstreetmap.de/)|[12039](http://josm.openstreetmap.de/wiki/Changelog)|2017-05-02|See release infos.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.37.0](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.37.0)|2017-05-02|Three new features, eight bugs fixed and two development workflow improvements.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.14](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-05-02|Three bugs fixed, updated Mapbox.|
|[libosmium](http://osmcode.org/libosmium/)|[2.12.2](https://github.com/osmcode/libosmium/releases/tag/v2.12.2)|2017-05-03|Many changes, please read release info.|
|[OpenLayers](http://openlayers.org/)|[4.1.1](https://github.com/openlayers/openlayers/releases/tag/v4.1.1)|2017-05-03|Patch release to fix several minor issues and two regressions in the 4.1.0 release.|
|[Simple GIS Client&nbsp; ](https://www.simplegissoftware.com/simple-gis-client.html)|[9.0](https://www.simplegissoftware.com/news.html)|2017-05-03|Processing OpenStreetMap data.|
|[OSMaxx](https://osmaxx.hsr.ch/)|[3.10.0](https://github.com/geometalab/osmaxx/releases/tag/v3.10.0)|2017-05-04|Please read release info.|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.12.4](https://github.com/osmcode/pyosmium/releases)|2017-05-04|Added Windows support, three changes and three bugfixes.|
|[MapFactor Navigator Free&nbsp; ](http://navigatorfree.mapfactor.com)|[3.0](https://play.google.com/store/apps/details?id=com.mapfactor.navigator)|2017-05-05|Many extensions and fixes, see release info.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.55](https://play.google.com/store/apps/details?id=app.mapillary)|2017-05-05|Support different basemaps.|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.58.4](https://play.google.com/store/apps/details?id=org.naviki)|2017-05-05|Bugfix version.|
|[Naviki iOS&nbsp; ](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.58.1](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2017-05-05|Bugfix version.|
|[StreetComplete](https://fossdroid.com/a/street%C2%ADcomplete.html)|[0.10](https://github.com/westnordost/StreetComplete/releases/tag/v0.10)|2017-05-06|Fix for opening_hours.|
|[Kurviger Free&nbsp; ](https://docs.kurviger.de/app)|[10.0.23](https://docs.kurviger.de/app)|2017-05-07|Smooth movement option, various enhancements.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-05-08|No Infos.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-05-08 20:24:45+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",4
4580,"WN358","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Kurviger Free&nbsp; ](https://docs.kurviger.de/app)|[10.0.26](https://docs.kurviger.de/app)|2017-05-17|Various improvements.|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|[4.0.0](https://github.com/gravitystorm/openstreetmap-carto/compare/v3.3.1...v4.0.0)|2017-05-22|No infos.|
|[Mapzen Lost](https://mapzen.com/blog/open-source-location-services-with-lost/)|[3.0.0](https://github.com/mapzen/lost/releases/tag/lost-3.0.0)|2017-05-25|Many changes, please read release info.|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.12.3](https://github.com/osmcode/pyosmium/releases)|2017-05-25|One new feature  and two bugfixes.|
|[SQLite](http://www.sqlite.org/)|[3.19.2](http://www.sqlite.org/releaselog/3_19_0.html)|2017-05-25|Bugfix release.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.3.4](https://itunes.apple.com/app/id510623322)|2017-05-26|Bugfix release.|
|[QGIS](http://www.qgis.org)|[2.18.9](https://github.com/qgis/QGIS/releases/tag/final-2_18_9)|2017-05-26|No infos.|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2017-05-28](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|2017-05-28|Many changes during the last days, please read release infos.|
|[JOSM](http://josm.openstreetmap.de/)|[12275](http://josm.openstreetmap.de/wiki/Changelog)|2017-05-29|Minor enhancements.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-05-29|No infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-05-29|Compacter map data, new map style for driving, transliteration into Latin.|
|[OSRM Backend](http://project-osrm.org/)|[5.7.3](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.7.3)|2017-05-29|Bugfix release.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-05-29 22:52:18+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",4
