"id","blog","category","markdown"
2319,"WN311","Open Data","NOSOLOSIG [explained](http://www.nosolosig.com/articulos/616-la-forma-mas-rapida-de-visualizar-descargar-imagenes-landsat-8) the fastest way to view and download images from Landsat 8. ![(Spanisch)](http://blog.openstreetmap.de/wp-uploads//2015/01/es.svg) (automatic [translation](https://translate.google.com/translate?sl"
3718,"WN339","Open Data","Martin Isenburg reports on [rapidlasso.com](https://rapidlasso.com/) that now there is open and free LiDAR data in Germany. First, [North Rhine-Westphalia](https://rapidlasso.com/2017/01/03/first-open-lidar-in-germany/) and then [Thuringia](https://rapidlasso.com/2017/01/09/second-german-state-goes-open-lidar/) have opened their geoportals for free download of geospatial data at the beginning of 2017. We are full of hope, Martin says, that other federal states will follow their lead. It would simply not make any sense to try to sell this kind of data, as it was [shown in England recently](https://rapidlasso.com/2014/11/30/restricting-access-to-national-lidar-is-it-worth-it/)."
5189,"WN369","Other Geo Things","Markus Reuter reported on [Netzpolitik.org](https://netzpolitik.org/2017/weltkarte-der-videoueberwachung-waechst-rasant/)  ![(de)](http://blog.openstreetmap.de/wp-uploads//2016/12/de.svg)  on the rapid growth of video surveillance in public spaces. It also shows how you can help with OSM to complete the [world map of surveillance](https://kamba4.crux.uberspace.de/) by Max Kamba."
5999,"WN386","Mapping","After his first proposal was rejected for a number of reasons, Ilya Zverev has a fresh proposalt called [PTv2 Improvements with regard to Rapid Transit](https://wiki.openstreetmap.org/wiki/Proposed_features/PTv2_Improvements_wrt_Rapid_Transit), to change various minor details of the public transport scheme (version 2). See also the [discussion](https://lists.openstreetmap.org/pipermail/tagging/2017-December/034373.html) on the Tagging mailing list."
7233,"WN415","Other Geo Things","Space News [reports](http://spacenews.com/planet-airbus-start-joint-satellite-imagery-product-initiative/) that [Planet](https://www.planet.com/) and [Airbus Defence and Space](https://www.airbus.com/defence.html)’s geospatial division have agreed to co-develop imagery products that leverage both companies’ satellites. Planet operates more than 150 satellites, mainly [Cubesats](https://en.wikipedia.org/wiki/CubeSat), with a resolution of 3 to 5 meters and five former RapidEye (5m) and 13 former SkySat satellites (90cm). Some of Planet's images are [provided](https://www.planet.com/explorer/#/mosaic/global_monthly_2018_02_mosaic) under CC-BY-NC for non-commercial use (incompatible with OSM)."
7484,"WN421","Humanitarian OSM","Ramani Huria 2.0, a  local community-based mapping project in Dar es Salaam, [reports](http://ramanihuria.org/community-mapping-for-flood-modeling-2-0/) on an initiative to map the local drainage network in order to develop flood models.  As a rapidly expanding coastal city Dar is often affected by high water levels. The model should help understand flooding, its impact, and attribution of limited infrastructure, maintenance, and solid waste on flood risks.   

The type, dimension and state of drainage infrastructure in 200 flood prone sub-wards will be [mapped](http://ramanihuria.org/two-hundred-subwards-of-dar-es-salaam-to-be-mapped-by-university-students-in-the-next-six-weeks/) over 6 weeks this summer. The project is supported by the World Bank and HOT."
7530,"WN421","Open Data","Aerial missions using [LiDAR](https://en.wikipedia.org/wiki/Lidar) provide very precise elevation models. With the publication of Lidar point clouds for Estonia, Martin Isenburg of rapidlasso Gmbh [reflects](https://rapidlasso.com/2018/08/06/estonia-leads-in-open-lidar-nationwide-multi-temporal-point-clouds-now-online/) again on the question of access to such data. National agencies often keep such data behind very high paywalls. Previous blog posts ([1](https://rapidlasso.com/2014/11/30/restricting-access-to-national-lidar-is-it-worth-it/), [2](https://rapidlasso.com/2017/01/03/first-open-lidar-in-germany/)) questioned whether the income of around £323,000 per year between 2007 and 2014 made it worthwhile to keep restricted access to such accurate elevation data."
7687,"WN424","Mapping","Land parcel data in OSM is mentioned in a [study](http://advances.sciencemag.org/content/4/8/eaar4644) about the impact of spatial data on the development of slums in cities with rapid urbanisation. According to the report, OSM has not reached a consensus as to whether parcel-level data should be mapped due to concerns about data quality, validity, and maintainability. The same applies to metadata on parcel data. It also mentions that mapping parcel data is becoming more common."
7722,"WN425","Community","We reported [earlier](http://www.weeklyosm.eu/en/archives/10657/#wn423_18271) about a quality analysis tool written by Pierre Béland and used to analyse 12 African cities. The tool has now been used to [analyse](https://opendatalabrdc.github.io/Blog/index.html#!Database_Quality_Analysis_Tasking_Manager.md) 25 Tasking Manager tasks from August. Maps by each contributor allows rapid visualisation to detect those buildings that need to be revised as a matter of priority. Once again there is variability in the quality of building geometries and the number of topological errors. This analysis suggests we need better monitoring tools to follow up on the work done at mapathons by inexperienced mappers."
7975,"WN430","Community","The ""[Schokofahrt](http://schokofahrt.de/en/)"" (chocolate tour) is a decentralized private bicycle tour for emission free transport of chocolate, to promote sustainable mobility and CO₂ neutral transport. At this year´s edition [some stairs](https://twitter.com/vonjosbach/status/1048628905236746241?s=19), that got in the way of the OSM based routing app BikeCitizens, were complicated to overcome with the heavily loaded cargo bikes. The map error was [rapidly corrected](https://www.openstreetmap.org/way/632614318)."
