"id","blog","category","markdown"
607,"WN281","Community","The former ""HOT Tasking Manager"" now [OSM Tasking Manager](https://www.transifex.com/hotosm/osm-tasking-manager2/) is looking for translators."
1790,"WN301","Humanitarian OSM","[Update](http://wiki.openstreetmap.org/wiki/ES:2016_Ecuador_earthquake#Respuesta_de_OpenStreetMap) earthquake in Ecuador
- [Tasking Manager Projects](http://wiki.openstreetmap.org/wiki/ES:2016_Ecuador_earthquake#Tasking_Manager_Projects)
- [Other Data](http://wiki.openstreetmap.org/wiki/2016_Ecuador_earthquake#Other_Data)
- [Mapathons](http://wiki.openstreetmap.org/wiki/ES:2016_Ecuador_earthquake#Noticias_y_Otras_Fuentes)"
1826,"WN302","Humanitarian OSM","[Updates](http://wiki.openstreetmap.org/wiki/ES:2016_Ecuador_earthquake#Respuesta_de_OpenStreetMap) to the OSM response to the earthquake in Ecuador
- [Tasking Manager Projects](http://wiki.openstreetmap.org/wiki/ES:2016_Ecuador_earthquake#Tasking_Manager_Projects)
- [Other Data](http://wiki.openstreetmap.org/wiki/2016_Ecuador_earthquake#Other_Data)
- [Mapathons](http://wiki.openstreetmap.org/wiki/ES:2016_Ecuador_earthquake#Noticias_y_Otras_Fuentes)"
1862,"WN303","Community","A workshop was conducted in [CIT](http://www.cittumkur.org/cred_society.html) University, Tumkur. It focused on introducing students to OpenStreetMap, [iD editor](https://www.mapbox.com/blog/get-on-the-map/), the OpenStreetMap Tasking Manager, and [Mapbox Studio](https://www.mapbox.com/mapbox-studio/)."
2750,"WN320","Humanitarian OSM","The [Newton hurricane](https://twitter.com/OpenStreetMapMX/status/773329094406569985) struck the area of Southern California. Tasking Manager has been made to facilitate mapping by the community. The red zone is the priority area. The whole area is poorly mapped, so the challenge is strong! Please [help map!](Http://52.41.11.193/osmtm/project/3#task/175)"
3105,"WN326","Humanitarian OSM","Severin Menard [initiates](https://lists.openstreetmap.org/pipermail/hot/2016-October/012536.html) a discussion about necessary improvements to the Tasking Manager to combat the problem of ""crappy newbie edits"" of humanitarian mappers. A [suggestion](https://lists.openstreetmap.org/pipermail/hot/2016-October/012540.html) by John Whelan to disable the connection between the Tasking Manager and the iD editor for difficult tasks is not met with disapproval. The quality issue has stuck with the OSM humanitarian community since the Haiti earthquake in 2010 and has been [reoccurring](https://lists.openstreetmap.org/pipermail/hot/2015-April/008191.html)."
3114,"WN326","Humanitarian OSM","Two competing humanitarian mapping organizations are currently operating in Haiti - on the one hand the American HOT US Inc., on the other hand a group of French-speaking mappers, called [Projet EOF](https://projeteof.org/blog/). The latter one has built up, according to their own statements, a local community for the last six years and has contact to the local government. 

HOT US Inc. and the francophone community have been in conflict for [a while](http://www.weeklyosm.eu/archives/6000). Pierre Beland [reminds](https://lists.openstreetmap.org/pipermail/hot/2016-October/012579.html) that HOT US is blocking postings on the HOT mailing list.

Projet EOF runs it's own [tasking manager](http://taches.francophonelibre.org/). Read here what [happened](https://lists.openstreetmap.org/pipermail/hot/2016-October/012577.html) as well and conceive your own opinion."
3122,"WN326","Humanitarian OSM","The [disastermappers](https://disastermappers.wordpress.com/) group at the GIScience department of Heidelberg University extracted all the information related to the Missing Maps project from the HOT Tasking Manager and [published](http://k1z.blog.uni-heidelberg.de/2016/10/04/exploring-the-missing-maps-project-%E2%80%93-tasking-manager-statistics/) it on a map."
3148,"WN327","Humanitarian OSM","More discussion about the overlapping tasking managers in Haiti: An email by Rod Bera to the HOT mailing list [explains](https://lists.openstreetmap.org/pipermail/hot/2016-October/012621.html) why a second tasking manager for humanitarian mapping is required. According to him, the main problem is that [tasks.hotosm.org](http://tasks.hotosm.org/) is under the exclusive control of HOT. Blake Girardot [denies](https://lists.openstreetmap.org/pipermail/hot/2016-October/012583.html) that, and invites everyone to co-operate over a public Slack channel."
3180,"WN328","Humanitarian OSM","[1] Once again, a devastating earthquake hit 6.6 in Central Italy. _BBC_ [reported](http://www.bbc.com/news/world-europe-37823614) that thousands of people were left homeless and many buildings destroyed. The Italian community has its own [tasking manager](http://osmit-tm.wmflabs.org/). Please help map Italy!"
3199,"WN328","Picture","![Statistik der meisten Edits](http://www.weeklyosm.eu/wp-content/uploads/2016/11/terremoto_italy.jpg) Earthquake in Italy - please map in Italy [^1^](#wn328_13393) |  [OSM Tasking Manager - Wikimedia Italia](http://osmit-tm.wmflabs.org/)"
3448,"WN333","Humanitarian OSM","Blake Girardot [calls](https://hotosm.org/updates/2016-12-02_hots_osm_tasking_manager_30_development_kick_off) to participate in the planning, commenting and development of OSM Tasking Manager 3.0."
3938,"WN343","Community","Martin Dittus (dekstop) [presents](http://www.openstreetmap.org/user/dekstop/diary/40421) the results of his research on how feedback on tasking manager affects the further activity of newcomers. Unfortunately, he does not disclose the rules by which he has classified the individual personal messages."
3943,"WN343","Humanitarian OSM","LearnOSM has been [updated](https://lists.openstreetmap.org/pipermail/hot/2017-February/012977.html) with some interesting sections which include a guide for anyone to organise a Mapathon, tips aimed at new mappers which include an introduction to iD and tasking manager, and much more."
3997,"WN344","Mapping","The Mapbox Data Team [invites you](http://www.openstreetmap.org/user/poornibadrinath/diary/40316) to map points of interest in San Francisco using JOSM with the Mapillary plugin. A comprehensive guide is provided and the project is [open](http://tasks.mapbox.com/project/81) on the Mapbox tasking manager."
4193,"WN348","Humanitarian OSM","Pjstewart1984 [describes](http://www.openstreetmap.org/user/pjstewart1984/diary) in his blog, how the results from [MapSwipe](https://mapswipe.org/) can be used in [OSM Tasking Manager](http://tasks.hotosm.org/)."
4246,"WN349","Humanitarian OSM","Russel Deffner has [published](https://twitter.com/weeklyOSM/status/845651495827750914) a [first task](http://tasks.hotosm.org/project/2713) in the OSM Tasking Manager to support the elimination of malaria in Zimbabwe."
4439,"WN354","Community","The Colombian community [operates](https://tareas.openstreetmap.co/) their own tasking manager. The [donations](http://blog.openstreetmap.co/donations/) (see banner upper left) are going directly to Colombia."
5042,"WN366","Mapping","[Vivek Bansal](https://www.linkedin.com/in/3vivekb/), of Santa Clara Valley Transportation Authority, [wants](https://lists.openstreetmap.org/pipermail/talk-us/2017-July/017602.html) to set up a US Tasking Manager task for adding `sidewalk= ` tags across the entire Santa Clara County, California."
5382,"WN373","Community","OpenStreetMapMx [says](https://twitter.com/weeklyOSM/status/906530028229447681) ""Thanks a lot to the digital volunteers mapping #Juchitan"". The southern part of the city is already 90% finished, but the north still needs your help: [HOT Tasking Manager](http://tasks.hotosm.org/project/3533)"
5704,"WN379","Humanitarian OSM","Christoph Hormann [expresses](https://lists.openstreetmap.org/pipermail/talk/2017-October/079251.html) on the Talk mailing list, his impressions, and feelings, which he has as a non-Hottie for Tasking Manager 3. It is about the use of the word mark OpenStreetMap. The discussion is [ongoing](https://lists.openstreetmap.org/pipermail/talk/2017-October/thread.html)."
5669,"WN379","Humanitarian OSM","Version 3.0 of the HOT Tasking Manager was released. Read the changes [here](http://tasks.hotosm.org/what-is-new)."
5753,"WN380","Humanitarian OSM","John Whelan [complains](https://lists.openstreetmap.org/pipermail/hot/2017-October/013892.html) on the HOT mailing list about the excessive amount of automatic emails sent by version 3 of the Tasking Manager following a Task evaluation."
5902,"WN384","Humanitarian OSM","[ThinkWhere](http://www.thinkwhere.com/), a Scottish GIS company, [worked](http://futurescot.com/thinkwhere-powers-humanitarian-disaster-response/) with HOT – the Humanitarian OpenStreetMap Team - to develop [version 3 of the Tasking Manager](https://tasks.hotosm.org/)."
6227,"WN392","Humanitarian OSM","The eruption of the Mayon volcano in the Philippines is featured on the HOT mailing list. Links to Tasking Manager's tasks can be found in the resulting [discussions](https://lists.openstreetmap.org/pipermail/hot/2018-January/014160.html)."
6479,"WN397","Humanitarian OSM","[Fanga e. V.](http://www.fanga-ev.de/index.php?section=about&language=en), aims to enable the youth in Burkina Faso (West Africa) to receive training and to take care of their medical care. A HOT tasking manager [project](https://tasks.hotosm.org/project/4106?task=370) has been set up to help update the map there."
6874,"WN406","Events","On 3rd May, two classes from the [Floirac](https://www.openstreetmap.org/relation/88809#map=13/44.8346/-0.4856) school (France) will be on a digital visit to their twin town [Diébougou](https://www.openstreetmap.org/#map=14/10.9654/-3.2382) (Burkina Faso). They [will work](https://lists.openstreetmap.org/pipermail/hot-francophone/2018-April/001185.html) together with the help of the [tasking manager](http://taches.francophonelibre.org/project/87) provided by [Les Libres Géographes](https://leslibresgeographes.org/dokuwiki/doku.php?id=public:doc_brique_locale) with their partners ([Floirac town hall](http://www.ville-floirac33.fr/), [Num&Lib](https://numetlib.fr/) and [Terre & Océan](http://www.terreetocean.fr/)) to improve the data in OSM."
7106,"WN412","Humanitarian OSM","John Whelan [reports](https://lists.openstreetmap.org/pipermail/hot/2018-June/014397.html) on the HOT list about duplicate tasks created in the HOT Tasking Manager and creation of duplicate buildings. For some, mapathon organizers should assure training and validation of their participants and inform the coordinators of the humanitarian response of their actions.  This OSM response to the Ebola outbreak is coordinated by OSM-RDC with the DRC Government, the UN Agencies and NGOs in the north of DRC."
7722,"WN425","Community","We reported [earlier](http://www.weeklyosm.eu/en/archives/10657/#wn423_18271) about a quality analysis tool written by Pierre Béland and used to analyse 12 African cities. The tool has now been used to [analyse](https://opendatalabrdc.github.io/Blog/index.html#!Database_Quality_Analysis_Tasking_Manager.md) 25 Tasking Manager tasks from August. Maps by each contributor allows rapid visualisation to detect those buildings that need to be revised as a matter of priority. Once again there is variability in the quality of building geometries and the number of topological errors. This analysis suggests we need better monitoring tools to follow up on the work done at mapathons by inexperienced mappers."
7769,"WN425","Programming","Sabrina Marx, from the Heidelberg Institute for Geoinformation Technology ([HeiGIT](http://heigit.org)), [published](http://giscienceblog.uni-hd.de/2018/09/05/analyse-hot-tasking-manager-projects-with-the-ohsome-api) a step by step tutorial in a [Jupyter Notebook](https://heigit.org/analyse-hot-tasking-manager-projects-with-the-ohsome-api/) on analysing  HOT Tasking Manager projects using the [ohsome API](http://api.ohsome.org/v0.9/swagger-ui.html)."
7934,"WN429","Humanitarian OSM","Matthew Gibb [asked](https://twitter.com/giblet22/status/1050019322142347265) experienced OSM mappers for help with the validation of roads in the Florida Panhandle ahead of Hurricane Michael. A task [was created](https://tasks.openstreetmap.us/project/84) for this on the OSM US tasking manager."
8147,"WN434","Community","The OpenStreetMap Foundation of Colombia has implemented OSM tools in Spanish (especially for Latin America and Colombia), such as the Tasking Manager and Umap and developed other tools that are hosted in a high availability data centre in Germany. A [fundraising campaign](https://vaki.co/vaki/osmcoytupale) asks for your help to sustain this infrastructure for at least two more years."
8347,"WN438","Humanitarian OSM","The Democratic Republic of Congo suffers from an Ebola outbreak, rebel attacks, and population displacements. With recent imagery, OSM-DRC is active in North-Kivu and opened Tasking Manager jobs. In a mail on the HOT mailing list, Pierre Béland [is recapping](https://lists.openstreetmap.org/pipermail/hot/2018-December/014662.html) the work from a quality point of view and recommending steps to fix the issues and improve the quality of future mapping activities."
8462,"WN441","Humanitarian OSM","HOT [is asking](https://www.hotosm.org/jobs/rfp-tasking-manager-design-improvements/) for proposals to improve the Tasking Manager. The update will enable the Tasking Manager to incorporate results from machine learning, including a validation and deconflicting process before the model output is pushed to OSM."
8715,"WN446","Humanitarian OSM","The United Nations, in this case the [UN Support Office for Somalia](https://unsos.unmissions.org) (UNSOS), which has been active in Somalia for many years, has recently developed a [mapping initiative](https://wiki.openstreetmap.org/wiki/UN_Maps_Project) for the country, which is to serve peacekeeping and conflict prevention. In an unusual step for the UN, the organisation has decided to process all data provided directly in OpenStreetMap and thus support all humanitarian institutions. The first project of this initiative is described in the [OSM wiki](https://wiki.openstreetmap.org/wiki/UN_Maps_Project/UN_maps_for_Somalia) in detail. The [HOT Tasking Manager](https://tasks.hotosm.org/project/5701) will be used for managing this project. The first public mapathon will take place in Italy at the [FOSS4G-IT 2019](http://foss4g-it2019.gfoss.it), as Alessandro P. [posted](https://lists.openstreetmap.org/pipermail/talk-it/2019-January/065610.html) on the Talk-it mailing list."
8822,"WN448","Humanitarian OSM","HOT has recently [held](https://www.hotosm.org/updates/a-community-of-collaborators-for-the-tasking-manager/) a _Tasking Manager Stakeholders' Workshop_ in Washington, DC at which development goals for 2019 were discussed. The focus will be on the functionality to group users into suitable teams based on the users' backgrounds, statistical features to improve mapping projects and their data quality, the introduction of machine learning workflows into mapping and the observation of usability and user flows."
9113,"WN453","Humanitarian OSM","HOT has [created](https://www.hotosm.org/updates/bringing-machine-learning-and-open-data-to-the-tasking-manager/) a new development community for the Tasking Manager with further partnerships with Microsoft and Bing Maps. Over the next few months, work will begin on the design for integrating machine-learning and improving workflow performance of the Tasking Manager. Additionally open building datasets for Uganda and Tanzania will be created."
9413,"WN459","Humanitarian OSM","During the past months a team of HOT has analysed the mapping and validation workflows of the Tasking Manager to prepare it for the next big update with machine learning and more open data support. In a blog post Leihla Pinho [details](https://www.hotosm.org/updates/tasking-manager-design-discovery/) the undertakings _to improve data quality, increase the speed of mapping, and improve user return rate_."
9571,"WN463","Humanitarian OSM","HOT [shares](https://www.hotosm.org/updates/hands-on-assisted-tasks/) on their blog about an experimental version of the Tasking Manager which incorporates machine learning assistance for various tasks."
9637,"WN464","Imports","HOT [have set](https://tasks-assisted.hotosm.org/) up a Tasking Manager for computer vision imports."
9605,"WN464","Mapping","[1] [Mapping North Korea](https://mappingnorthkorea.com/) is a new project from [Maarten van den Hoven](https://maartenvandenhoven.com/) to remotely map North Korea, with a Tasking Manager style web interface."
9780,"WN467","Did you know that…","[1] ...this [methodology](https://wiki.openstreetmap.org/wiki/Consolidated_mapping_projects_-_base_roads_check_vs_open_data_references) aimed at improving the completeness, precision and consistency of the major road network? This work was recently presented at [SotM-Fr 2019](https://twitter.com/nicolas_chavent/status/1139813028034162688). It measures OSM data against open data references like [gROADS](https://sedac.ciesin.columbia.edu/data/collection/groads) to assess the quality and quantity and to find areas which need improvement through [Tasking Manager](https://tasks.hotosm.org/project/1245) projects and [prioritization uMap tasks](http://u.osmfr.org/m/274667/). The developers [are asking](https://lists.openstreetmap.org/pipermail/hot/2019-June/014906.html) for contributions to this project, started in 2015 and currently covering nine African countries. A [specific Directed Editing sub-page](https://wiki.openstreetmap.org/wiki/Organised_Editing/Activities/Consolidated_mapping_projects_-_base_roads_check_vs_open_data_references) has been created in the OSM wiki."
9885,"WN469","Humanitarian OSM","HOT [is partnering](https://www.hotosm.org/updates/the-machine-learning-enabler/) with Development Seed, Facebook, and Microsoft to build AI-based mapping tools. With the [ML-Enabler](https://github.com/hotosm/ml-enabler), that provides applications such as HOT-'s Tasking Manager the possibility to make use Machine Learning, HOT has reached an important milestone."
9876,"WN469","Releases","The Tasking Manager team has released version v3.4.0 of their software tool for the coordination of volunteers and organisation of groups to
map on OpenStreetMap. The changes in the new version are [detailed](https://github.com/hotosm/tasking-manager/releases/tag/v3.4.0)
in GitHub. People interested in the development can join the [bi-weekly working group meetings](https://github.com/hotosm/tasking-manager/blob/develop/docs/working-group.md)."
9967,"WN472","Humanitarian OSM","Felix Delattre presented an [update](https://www.hotosm.org/updates/a-map-editor-for-the-tasking-manager/) on recent work being to improve the HOT Tasking Manager. A user experience survey was carried out in February and March to better understand how users used the software and how users were spending time within the software. Based on the results of the survey HOT plans to better integrate the Tasking Manager with iD in order to improve the experience for mappers and provide user instructions in one tool. This will allow mappers to report back from a task directly from inside the integrated iD editor. Integration also opens the way to dynamically populate the iD editor with tagging presets and specific validation rules depending on the map features that are requested by humanitarian organisations in each of the different projects."
10035,"WN473","Community","In last week's Pista ng Mapa conference, two sessions were about AI. First was a [lightning talk by Ardie Orden](https://twitter.com/arnalielsewhere/status/1157115191491829763) from Thinking Machines and their Map the Gap initiative, and then a [mapathon](https://twitter.com/maningsambale/status/1157126871403728896) session using Facebook's MapWithAI RapiD editor and HOTOSM's Tasking Manager for areas near the host city of Dumaguete.  During the conference closing activity,  the organisers announced a new initiative to leverage AI-assisted tools for identifying, prioritising, and mapping the road network of the Philippine countryside called [Tabang-AI](https://github.com/OSMPH/Tabang-AI/), a Cebuano word for collaboration, or to aid."
10401,"WN481","Humanitarian OSM","Felix Delattre [informs](https://lists.openstreetmap.org/pipermail/hot/2019-October/015006.html) us about the development progress of the new HOT Tasking Manager and lays out the current roll-out plan."
10487,"WN483","Mapping","OpenStreetMap Croatia started their [own instance of Tasking Manager](https://osm-hr.org/2019/10/16/openstreetmap-hrvatska-je-dobila-tasking-manager/) (automatic [translation](https://translate.google.com/translate?sl"
10515,"WN484","Mapping","Blog.dedj has given a visual explanation of how to use the [Tasking Manager](https://blog.dedj.be/index.php/post/2019/10/27/Openstreetmap-%3A-Tasks-Manager) ![(fr)](https://blog.openstreetmap.de/wp-uploads/2016/12/fr.svg) (automatic [translation](https://translate.google.com/translate?sl"
10692,"WN487","Humanitarian OSM","Felix Delattre [informed](https://lists.openstreetmap.org/pipermail/hot/2019-November/015044.html) the users of HOT's tasking manager about the unstable state of the tool after a maintenance procedure. The issue came during the worst possible time at the [GeoWeek](https://osmgeoweek.org/) with many planned mapathons. The system was [back online](https://lists.openstreetmap.org/pipermail/hot/2019-November/015047.html) some hours later."
10847,"WN491","Humanitarian OSM","Felix Delattre [invited](https://lists.openstreetmap.org/pipermail/hot/2019-December/015082.html) people to sign up if they wanted to help test Tasking Manager 4.  Testing will take place in three phases between now and 8 Febuary."
10955,"WN493","Humanitarian OSM","User qeef tries to [define and offer solutions](https://www.openstreetmap.org/user/qeef/diary/391778) to problems with the current HOT Tasking Manager."
