"id","blog","category","markdown","sg_id"
1923,"WN304","Programming","Mapzen's routing software Valhalla now offers multi-modal public transport routing. A blog post [introduces](https://mapzen.com/blog/transit-routing/) the product (for customers), a second blog post [explains](https://mapzen.com/blog/introducing-mapzen-mobility/) the technical background.",12
2590,"WN317","Programming","Mapzen [elaborates](https://mapzen.com/blog/access-denied/) about its routing service [Valhalla](https://github.com/valhalla) and how it provides country-specific access restrictions for pedestrians. For this, the library [ Mjolnir ]((https://github.com/valhalla/mjolnir)) is used to create tiled routing data.",12
2789,"WN321","Programming","Mapzen has [set up](https://mapzen.com/blog/a-routing-engine-of-ones-own/) a Personal Package Archives or PPAs for Ubuntu for its routing engine Valhalla. This makes it possible to install Valhalla with a simple `apt-get` command.",12
3375,"WN331","Programming","On the occasion of the second anniversary of the routing engine Valhalla, Mapzen [summarizes](https://mapzen.com/blog/valhalla-2.0/) the highlights, introduces the developer team behind it and announces the version 2.0 of Valhalla.",12
6102,"WN389","Programming","Mapzen will [cease](https://mapzen.com/blog/shutdown/) operations at the end of January 2018. The migration guide [lists](https://mapzen.com/blog/migration/) all projects which will continue existing. According to a [tweet](https://twitter.com/glennon/status/945034576363102208) and the project description, the Valhalla developers are now working for Mapbox (Mapbox already has a routing engine - OSRM).",12
6344,"WN395","Software","Mapbox customers [can](https://blog.mapbox.com/valhalla-is-live-on-mapbox-d868e8d41611) now use Valhalla.",12
8361,"WN438","Community","After Mapbox hired the Valhalla team from Mapzen, most if not all core OSRM developers seem to [have quit](https://github.com/orgs/Project-OSRM/people) their job. However, there is [no official statement](https://github.com/Project-OSRM/osrm-backend/issues/5209) from Mapbox as to whether they plan to maintain both projects in the future.",12
9420,"WN459","Programming","Ilya Zverev [writes](http://shtosm.ru/all/osrm-vsyo/) ![(ru)](https://blog.openstreetmap.de/wp-uploads/2016/12/ru.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=http://shtosm.ru/all/osrm-vsyo/)) on his blog about the rise and fall of the Open Source Routing Machine, OSRM for short, which Mapbox stopped contributing to after taking over the Valhalla development team a year ago.",12
14921,"WN586","Did you know that…","... the [vroom-project](https://github.com/VROOM-Project/vroom) on GitHub by Julien Coupey, the open source application to solve the [travelling salesman problem](https://en.wikipedia.org/wiki/Travelling_salesman_problem)? Vroom is BSD-licensed, relies on OpenStreetMap data, and works with OSRM, Openrouteservice, or Valhalla.",12
16365,"WN628","Software","ChrisPark [blogged](https://www.openstreetmap.org/user/ChrisPark/diary/399647) a Google Summer of Code midterm update for their [goal](https://github.com/orgs/valhalla/projects/1) of reintroducing transit to Valhalla, an open-source routing engine.",12
17143,"WN651","Maps","[1] Valhalla, a global routing service [hosted](https://valhalla.openstreetmap.de/) by FOSSGIS e.V., is now part of the routing selection (with foot, bike and car profile) on the OSM website. For more information there is a wiki [page](https://wiki.openstreetmap.org/wiki/Valhalla), Simon Poole's [comment](https://community.openstreetmap.org/t/neue-routing-engine-valhalla/7204/12) :DE-s: on the OSM Community forum, and the GitHub [repository](https://github.com/valhalla).",12
17160,"WN651","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2023/01/651_T_all.png =853x461)

Valhalla - open-source routing engine available on osm.org [[^1^](#wn651_27941)] |  map data  © [OpenStreetMap contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ)",12
18403,"WN688","Software","Junzhen [published](https://www.openstreetmap.org/user/Junzhen/diary/402456) their Google Summer of Code 2023 project's final report on incorporating a landmark-based navigation [system](https://github.com/valhalla/valhalla/issues/4037) into the Valhalla routing engine.",12
19187,"WN706","Software","Stadia Maps has [published](https://stadiamaps.github.io/ragnarok/) Ragnarök, a browser-based tool for visually inspecting and debugging routes from [Valhalla](https://valhalla.github.io/valhalla/).",12
