"id","blog","category","markdown"
421,"WN278","Community","The Sozialhelden association and the World Health Organization (WHO) are launching the worldwide campaign [MapMyDay](http://mapmyday.org/de) on 3. December. With this campaign both groups call to chart the accessibility of public buildings on [Wheelmap](http://wheelmap.org/)."
579,"WN280","Events","On 3. December, the International Day of Persons with Disabilites, the mapping event [MapMyDay](http://mapmyday.org/en) for more accessability takes place. The Whorld Health Organisation and Wheelmap call to map accessible places with the [Wheelmap-App](http://mapmyday.org/en/app)."
632,"WN281","Mapping","Since December 3rd was International Day of People with Disability, Heise On-line [reported](http://www.heise.de/newsticker/meldung/Barrierefreiheit-Mapping-Projekt-zu-rollstuhlgerechten-Orten-3031531.html) on recent developments in the wheelmap.org map. This OSM-based map allows users to add PoIs and to score them for wheelchair accessibility using a simple (""traffic light"") scale."
1432,"WN295","Other Geo Things","Mashable [reports](http://mashable.com/2016/03/06/access-earth-disabilities/#HMBE_ZhcTGqQ) on an Irish startup called Access Earth which ""wants to be a Google Maps for people with disabilities"". It is like [Wheelmap](https://community.wheelmap.org/about/) but commercial and uses OSM data only for the background map. Therefore it has nearly no content (Wheelmap is six years older)."
1717,"WN300","Community","The German project Wheelmap.org [receives](http://google-produkte.blogspot.ch/2016/04/google-impact-challenge-disabilities.html) €825,000 from Google.org (via [@GoogleDE](https://twitter.com/GoogleDE/status/719853153575944192))"
2211,"WN309","Other Geo Things","AccessNow [are trying](http://accessnow.me/) to crowd-source mapping of handicapped accessible bars, restaurants and shops but the functionality seems not as good as [Wheelmap.org](http://wheelmap.org/). For displaying the POIs they use Google Maps."
2641,"WN318","OSM in action","ImmobilienScout24 a German property website [shows](https://twitter.com/wheelmap/status/765497415034085376) data from Wheelmap showing wheelchair suitability of nearby POI. Data are provided by [Sozialhelden](http://sozialhelden.de/) and thus from OSM. However, the base map is still the one from a competing map provider."
3901,"WN342","Maps","Wheelmap, the map for wheelchair-accessible places based on OSM, [added](https://news.wheelmap.org/en/27-new-node-types/) support for 27 additional POI types."
5805,"WN382","Mapping","BeKri [complains](https://forum.openstreetmap.org/viewtopic.php?id=60363) ![(de)](http://blog.openstreetmap.de/wp-uploads//2016/12/de.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://forum.openstreetmap.org/viewtopic.php?id=60363)) in the German forum about a remarkably large number of new Wheelmap users in Munich, who very often enter POIs twice or place them at wrong locations. Holger from Wheelmap [promises](https://forum.openstreetmap.org/viewtopic.php?pid=671782#p671782) a new editor which can only edit `wheelchair= ` and `toilet:wheelchair= ` tags."
6575,"WN399","Maps","The Wheelmap now [uses](https://news.wheelmap.org/%C2%AD%C2%AD%C2%AD%C2%ADwheelmaporg-zeigt-behinderten-parkplaetze-von-parkopedia-an/) ![(de)](http://blog.openstreetmap.de/wp-uploads//2016/12/de.svg) parking data of Parkopedia, a commercial project."
6791,"WN404","Open Data","The [beta version](https://wheelmap.org/beta/nodes/hBkEGMEzkJ659qQwG/equipment/pqpRvQQMy9mJSbDzq#?lat"
7868,"WN428","Other Geo Things","The local newspaper _Böblinger Bote_ [reports](https://www.krzbb.de/krz_50_111594352-13-_Verbesserung-bei-Wheelmap.html) about the project _Elevate_ of Berlin's _Sozialhelden_ user group, who also run [wheelmap.org](https://wheelmap.org). The aim of the project is to provide wheelchair users with information such as the operating status of elevators, which is obviously crucial for them to know ahead of time.

Real time information from the _Deutsche Bahn_, the _Stuttgart S-Bahn_ as well as the transport associations _Berliner Verkehrsbetriebe_, _Region Rhein-Ruhr_ and _Hamburg_ will be integrated into Wheelmap. ![(de)](http://blog.openstreetmap.de/wp-uploads//2016/12/de.svg) (automatic [translation](https://translate.google.com/translate?sl=auto&tl=EN&u=https://www.krzbb.de/krz_50_111594352-13-_Verbesserung-bei-Wheelmap.html))"
8144,"WN434","Other Geo Things","A blog post from Heidelberg University’s GIScience group [revisits](http://k1z.blog.uni-heidelberg.de/2018/11/12/how-much-do-you-know-about-wheelmap/) Wheelmap and the usage of crowdsourced geographic information for improving accessibility."
