"id","blog","category","markdown"
266,"WN275","Programming","osm2pgsql [switched](https://lists.openstreetmap.org/pipermail/dev/2015-October/028786.html) from autotools to cmake.
"
1361,"WN294","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[OpenLayers](http://openlayers.org/)|[3.14.2](https://github.com/openlayers/ol3/releases/tag/v3.14.2)|2016-02-03|Some patches of 3.14.1|
|[QGIS](http://www.qgis.org)|[2.14.0](http://www.qgis.org/de/site/forusers/visualchangelog214/index.html)|2016-02-26|LTS release|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.4](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-03-01|Removed memory problems, action cam errors fixed|
|[Maps.me Android](http://maps.me)|[5.6.5](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-03-02|-|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.39|2016-03-02|-|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.90.0](https://lists.openstreetmap.org/pipermail/talk/2016-March/075628.html)|2016-03-02|Many changes for windows, integration of LibOsmium|
|[OSMBuildings](http://osmbuildings.org)|[2.3.1](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v2.3.0)|2016-03-02|Bug fix release|
|[iD](http://ideditor.com/)|[1.9.1](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-03-03|Bug fixes of version 1.9.0 from 2016-03-01|
|[SQLite](http://www.sqlite.org/)|[3.11.1](http://www.sqlite.org/releaselog/3_11_1.html)|2016-03-03|Some improvements and bug fixes|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2372,"WN313","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[QGIS](http://www.qgis.org)|2.16.0|2016-07-08|No infos|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.41.0|2016-07-12|No infos|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.21.0](https://github.com/mapbox/mapbox-gl-js/releases)|2016-07-13|11 new features & improvements, 10 bug fixes|
|[Naviki iOS](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.45](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2016-07-13|Some improvements|
|[Komoot iOS](https://www.komoot.de/)|[8.2](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2016-07-14|Some extensions and improvements|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.6.3|2016-07-15|No infos|
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.9](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-07-16|SVG Graphics|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.8|2016-07-16|No infos|
|[Locus Map Free](http://www.locusmap.eu/)|3.18.4|2016-07-16|Bugfix release|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.90.1](https://lists.openstreetmap.org/pipermail/dev/2016-July/029370.html)|2016-07-16|Maintainance release without new features|
|[iD](http://ideditor.com/)|[1.9.7](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-07-17|No infos|
|[Mapillary iOS](http://www.mapillary.com/map)|[4.4.3](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-07-17|Some fixes|
|[Naviki Android](https://www.naviki.org/naviki/)|[3.45](https://play.google.com/store/apps/details?id=org.naviki)|2016-07-18|Some improvements|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
3554,"WN335","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[PostGIS](http://www.postgis.net)|[2.3.1](https://svn.osgeo.org/postgis/tags/2.3.1/ChangeLog)|2016-11-26|Many changes. Please read release infos.|
|[Mapzen Lost](https://mapzen.com/blog/open-source-location-services-with-lost/)|[2.1.2](https://github.com/mapzen/lost/releases/tag/lost-2.1.2)|2016-12-08|Five bugs fixed.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2016-12-14|Minor enhancements.|
|[Cruiser for Android&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.15](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-12-15|Various improvements.|
|[Cruiser for Desktop&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.15|2016-12-15|Offline Routing.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.5.10](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-12-15|Compass fix for editor.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2016-12-16|Bug fixes and new map data.|
|[osm2pgsql&nbsp;?](https://github.com/openstreetmap/osm2pgsql)|[0.92.0](https://lists.openstreetmap.org/pipermail/dev/2016-July/029370.html)|2016-12-16|Many changes, please read release info.|
|[OSRM Backend](http://project-osrm.org/)|[5.5.1](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.5.1)|2016-12-16|Bugfixes of just released 5.5.0.|
|[QGIS](http://www.qgis.org)|[2.18.2](https://github.com/qgis/QGIS/releases/tag/final-2_18_2)|2016-12-16|No info.|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.7.2|2016-12-16|No info.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
3674,"WN338","Community","Pnorman [mentions](http://www.openstreetmap.org/user/pnorman/diary/40171) in his blog post that Sarah Hoffmann [(lonvia)](http://hdyc.neis-one.org/?lonvia), Matthijs Melissen [(math1985)](http://hdyc.neis-one.org/?Math1985) und Bas Couwenberg [(sebastic)](http://hdyc.neis-one.org/?sebastic) have great merits in projects such as osm2pgsql, OpenStreetMap Carto."
3930,"WN343","Programming","The behavior of osm2pgsql when no database is specified using the `-d` option will change in the [next release](https://lists.openstreetmap.org/pipermail/dev/2017-February/029693.html). Up to now, the default name is `gis`."
4094,"WN346","Programming","Paul Norman [searched](https://github.com/openstreetmap/osm2pgsql/issues/692) and found benefits in replacing string arrays with hstore in the previous representation of the tags in the slim tables of osm2pgsql databases."
4151,"WN347","Programming","A ""monster relation"" of an [undiscussed import in Brazil](https://www.openstreetmap.org/changeset/46795156)  with more than 32,767 members was [too big](https://github.com/openstreetmap/osm2pgsql/issues/713) for osm2pgsql, which probably caused problems on many servers."
4208,"WN348","Programming","Frederik Ramm [suggests](http://blog.geofabrik.de/?p=403) in the Geofabrik blog, what to do if osm2pgsql crashed on your servers due to the huge collective relation uploaded in Brazil a few days ago. (Reported in our last issue)"
4331,"WN352","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.12.1](https://github.com/osmcode/pyosmium/releases)|11/04/2017|Four extensions, two changes and three bugfixes.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.35.1](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.35.0)|12/04/2017|Five bug fixes.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.2.4](https://itunes.apple.com/app/id510623322)|12/04/2017|No info.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.23.1](http://www.locusmap.eu/news-version-3-23-1)|13/04/2017|Bugfix release.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.13](https://itunes.apple.com/us/app/mapillary/id757286802)|13/04/2017|Two bugs fixed.|
|[OpenJUMP](http://jump-pilot.sourceforge.net/)|[1.11](http://sourceforge.net/p/jump-pilot/code/HEAD/tree/core/trunk/ChangeLog)|13/04/2017|New features and bug fixes.|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.92.1](https://github.com/openstreetmap/osm2pgsql/releases/tag/0.92.1)|13/04/2017|Two important bugs fixed.|
|[OpenLayers](http://openlayers.org/)|[4.1.0](https://github.com/openlayers/openlayers/releases/tag/v4.1.0)|14/04/2017|Many changes, please read release info.|
|[Traccar Server](https://www.traccar.org/server/)|[3.11](https://www.traccar.org/blog/category/releases/)|14/04/2017|SMS support added.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.48](https://play.google.com/store/apps/details?id=app.mapillary)|15/04/2017|Tuning GPX processing, some bugs fixed.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.7.7](https://github.com/MapContrib/MapContrib/releases/tag/1.7.7)|17/04/2017|Some smaller changes.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|17/04/2017|100,000 objects added. Incl. restaurants, shops and POI.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-04-17 18:40:55+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
