"id","blog","category","markdown"
355,"WN277","Programming","On November 6th, 2015 [libosmium](http://osmcode.org/libosmium/) version [2.5.2](https://github.com/osmcode/libosmium/blob/master/CHANGELOG.md) was released. One day after version 2.5.1."
483,"WN279","Programming","On November 17th, 2015 [libosmium](http://osmcode.org/libosmium/) version [2.5.3](https://github.com/osmcode/libosmium/blob/master/CHANGELOG.md) and [Osmium Tool](http://osmcode.org/osmium/)
version [1.3.0](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md) were released."
1142,"WN290","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[libosmium](http://osmcode.org/libosmium/)|[2.6.0](https://github.com/osmcode/libosmium/blob/master/CHANGELOG.md)|2016-02-03|Extensions, enhances and fixes|
|[OpenLayers](http://openlayers.org/)|[3.13.1](https://github.com/openlayers/ol3/releases/tag/v3.13.1)|2016-02-03|two patches of 3.13.0|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.6.0](https://github.com/osmcode/pyosmium/releases)|2016-02-03|new product|
|[Geobuf](https://github.com/mapbox/geobuf)|[2.0.0](https://github.com/mapbox/geobuf/releases)|2016-02-05|TopoJSON support removed, some fixes|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.3](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-02-05|French support, 3 new cameras,++, fixes|
|[Maps.me](http://maps.me)|[5.6.1](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-02-05|Bug fixed|
|[Atlas](http://wiki.openstreetmap.org/wiki/Atlas_(navigation_application))|[1.2.1](http://groups.google.com/group/atlas-app)|2016-02-07|Night mode, update map and routing engine, various improvements|
|[Graphhopper](https://graphhopper.com/)|[0.6](https://graphhopper.com/blog/2016/02/08/releasing-graphhopper-0-6/)|2016-02-08|Many smaller changes, new alternate route calculation|"
1328,"WN293","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[libosmium](http://osmcode.org/libosmium/)|[2.6.1](https://github.com/osmcode/libosmium/blob/master/CHANGELOG.md)|2016-02-22|New CMake option, massive speed imp
rovements when building multipolygons. |
|[Maps.me Android](http://maps.me)|[5.6.4](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-02-24|-|
|[Atlas](http://wiki.openstreetmap.org/wiki/Atlas_(navigation_application))|[1.2.3](http://groups.google.com/group/atlas-app)|2016-02-25|Updated map engine and v
arious improvements|
|[QMapShack Linux](https://bitbucket.org/maproom/qmapshack/wiki/Home)|[1.6.0](http://thread.gmane.org/gmane.comp.gis.qlandkartegt.user/2522)|2016-02-25||
|[Mapnik](http://mapnik.org/)|[3.0.10](https://github.com/mapnik/mapnik/blob/master/CHANGELOG.md#308)|2016-02-26||
|[QMapShack Mac](https://bitbucket.org/maproom/qmapshack/wiki/Home)|[1.6.0](xxx)|2016-02-27||
|[JOSM](http://josm.openstreetmap.de/)|[9900](http://josm.openstreetmap.de/wiki/Changelog)|2016-02-28|Extensions in relation editor and some more|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1361,"WN294","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[OpenLayers](http://openlayers.org/)|[3.14.2](https://github.com/openlayers/ol3/releases/tag/v3.14.2)|2016-02-03|Some patches of 3.14.1|
|[QGIS](http://www.qgis.org)|[2.14.0](http://www.qgis.org/de/site/forusers/visualchangelog214/index.html)|2016-02-26|LTS release|
|[Mapillary for iOs](http://www.mapillary.com/map)|[4.1.4](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-03-01|Removed memory problems, action cam errors fixed|
|[Maps.me Android](http://maps.me)|[5.6.5](https://github.com/mapsme/omim/releases/tag/android-release-561)|2016-03-02|-|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.39|2016-03-02|-|
|[osm2pgsql](https://github.com/openstreetmap/osm2pgsql)|[0.90.0](https://lists.openstreetmap.org/pipermail/talk/2016-March/075628.html)|2016-03-02|Many changes for windows, integration of LibOsmium|
|[OSMBuildings](http://osmbuildings.org)|[2.3.1](https://github.com/OSMBuildings/OSMBuildings/releases/tag/v2.3.0)|2016-03-02|Bug fix release|
|[iD](http://ideditor.com/)|[1.9.1](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|2016-03-03|Bug fixes of version 1.9.0 from 2016-03-01|
|[SQLite](http://www.sqlite.org/)|[3.11.1](http://www.sqlite.org/releaselog/3_11_1.html)|2016-03-03|Some improvements and bug fixes|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
1422,"WN295","Programming","Jochen [explains](https://blog.jochentopf.com/2016-03-11-renumbering-openstreetmap.html) his renumbering command in osmium-tool to store ID numbers of OSM elements with less space needed than original OSM numbering."
1766,"WN301","Programming","Jochen Topf [reports](https://blog.jochentopf.com/2016-04-20-node-locations-on-ways.html) about a new feature in the [Osmium](http://wiki.openstreetmap.org/wiki/DE:Osmium) tool  which can be used to store the actual latitude/longitude values of nodes that are element of a way in a more efficient way and as raw OSM data. Those are optimized for speed when reading."
2085,"WN307","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[GeoServer](http://geoserver.org/)|[2.9.0](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=13003)|2016-05-30|-|
|[Mapillary for Android](http://www.mapillary.com/map)|[2.16](https://play.google.com/store/apps/details?id=app.mapillary)|2016-05-31|Some extensions and some bug fixes|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.3.2](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-05-31|Modified Gui, some fixes|
|[libosmium](http://osmcode.org/libosmium/)|[2.7.1](https://github.com/osmcode/libosmium/releases)|2016-06-01|-|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.7.1](https://github.com/osmcode/pyosmium/releases)|2016-06-01|Some extensions|
|[JOSM](http://josm.openstreetmap.de/)|[10327](http://josm.openstreetmap.de/wiki/Changelog)|2016-06-05|Hotfix of version 10301 and last Java 7 version|
|[Overpass Turbo](http://overpass-turbo.eu/)|[06-06-2016](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|06.06.2016|new features and bugfixes|
provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2146,"WN308","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2016-06-06](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|6.6.2016|-|
|[Maps.me iOS](http://maps.me)|[6.1.9](https://itunes.apple.com/app/id510623322)|7.6.2016|Bug fixes, new map data files|
|[iD](http://ideditor.com/)|[1.9.6](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md)|8.6.2016|-|
|[libosmium](http://osmcode.org/libosmium/)|[2.7.3](https://github.com/osmcode/libosmium/releases)|8.6.2016|faster output of OSM files in format of XML, OPL or debug format |
|[Maps.me Android](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|8.6.2016|Bug fixes, new map dada files|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.3.1](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|8.6.2016|new parameters and command line switches|
|[Route Converter](http://www.routeconverter.com)|[2.18](http://www.routeconverter.com/history/en)|8.6.2016|see release information itself|
|[Mapillary Android](http://www.mapillary.com/map)|[2.22](https://play.google.com/store/apps/details?id=app.mapillary)|13.6.2016|bug fixes and extended features|
|[OSRM Backend](http://project-osrm.org/)|[5.2.1](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.2.0)|13.6.2016| bug fix version to 5.2.0|

Provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
2533,"WN316","Releases","| Software|Version|Release date| Comment|
| ------ | ----------- |----|----|
|[QGIS](http://www.qgis.org)|2.16.1|2016-07-29|No infos|
|[Locus Map Free](http://www.locusmap.eu/)|3.18.6|2016-08-03|Changes in internal cache, many fixes|
|[OpenStreetMap Carto Style](https://github.com/gravitystorm/openstreetmap-carto)|2.42.0|2016-08-03|No infos|
|[GeoServer](http://geoserver.org/)|[2.9.1](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=13001)|2016-08-04|Some improvements and 41 bugs fixed|
|[libosmium](http://osmcode.org/libosmium/)|[2.8.0](https://github.com/osmcode/libosmium/releases)|2016-08-04|New EWKT support, some improvements and bugs fixed|
|[OSRM Backend](http://project-osrm.org/)|[5.3.1](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.3.1)|2016-08-04|2 bugs fixed|
|[Magic Earth](http://www.generalmagic.com/magic-earth/)|[7.1.16.37](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2016-08-05|Bug fixes and stability improvements|
|[BRouter](http://brouter.de/brouter/)|[1.4.3](http://brouter.de/brouter/revisions.html)|2016-08-06|Changes in the profiles and a bugfix|
|[Cruiser for Android](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.10](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2016-08-07|Various improvements, updated map and routing engines|
|[Cruiser for Desktop](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.10|2016-08-08|No infos|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.8](https://github.com/osmcode/pyosmium/releases)|2016-08-08|Adjustments to libosmium|
|[SQLite](http://www.sqlite.org/)|[3.14.0](http://www.sqlite.org/releaselog/3_14_0.html)|2016-08-08|19 Improvements and enhancements, 3 bugs fixed|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)"
