"id","blog","category","markdown"
17086,"WN650","Software","[Overpass Ultra](https://overpass-ultra.trailsta.sh/) is a [fork](https://gitlab.com/trailstash/overpass-ultra) of the popular tool overpass turbo. The developers note that 'because it uses MapLibre GL JS instead of Leaflet, it can be used to visualise significantly larger Overpass API results than overpass turbo'."
17129,"WN651","Programming","Inspired by Overpass Ultra (we [reported](https://weeklyosm.eu/archives/16228#wn650_27898) earlier) rtnf [attempted](https://www.openstreetmap.org/user/rtnf/diary/400696) to install MapLibre GL Native on their Android platform. They documented some of the gotchas that need to be circumvented in order to get a working installation."
19112,"WN704","Software","Daniel Schep [announced](https://www.openstreetmap.org/user/dpschep/diary/403263) that he has made a new version of [Overpass Ultra](https://wiki.openstreetmap.org/wiki/Overpass_Ultra) that makes it easier to customise map styles and feature popups."
19322,"WN710","Did you know that…","... that you can use styled queries in Overpass Ultra to create a minimalist-style ski [map](https://mapstodon.space/@trailstash/111965362278461260)?"
19308,"WN710","Software","GeoObserver [explained](https://geoobserver.wordpress.com/2024/02/23/overpass-ultra-maplibre-heatmaps/) :DE-s:>>>[:EN-t:](https://geoobserver-wordpress-com.translate.goog/2024/02/23/overpass-ultra-maplibre-heatmaps/?_x_tr_sl"
19970,"WN726","Releases","dpschep [announced](https://www.openstreetmap.org/user/dpschep/diary/404330) updates to Overpass Ultra, enhancing its customisation features, including loading queries from URLs and Gists, improved configurability for interactive map views, bundled icons for easy integration, and examples demonstrating these features, all aimed at facilitating the creation and sharing of custom Overpass-powered maps."
20116,"WN729","Maps","[1] TrailStash, 'the home for #mapping projects by @dschep', [tooted](https://mapstodon.space/@trailstash/112729337559787818) that they have [created](https://wiki.openstreetmap.org/wiki/Overpass_Ultra/Examples) a gallery of Overpass Ultra map examples."
20111,"WN729","Picture","![lead picture](https://weeklyosm.eu/wp-content/uploads/2024/07/729_T_all-min.png =1884x1953)

Gallery of Overpass Ultra map examples [[^1^](#wn729_30938)]  | © dschep, uMap | map data © [OpenStreetMap contributors](https://wiki.osmfoundation.org/wiki/Licence/Licence_and_Legal_FAQ)"
20288,"WN732","Releases","Daniel Schep has [released](https://overpass-ultra.us/docs/) documentation for Overpass Ultra, especially on how to use MapLibre [styling](https://overpass-ultra.us/docs/MapLibre-Examples/) to make maps."
20395,"WN734","OSM in action","TrailStash [tooted](https://mapstodon.space/@trailstash/112957054569996871) they were so flattered that Overpass Ultra was compared to Stamen's map=yes, that they were compelled to recreate it."
20920,"WN747","Software","Daniel Schep [introduced](https://www.openstreetmap.org/user/dpschep/diary/405539) 'Ultra v3' (formerly Overpass Ultra), an enhanced mapping tool that now functions as a MapLibre GL JS IDE. New features include query providers for multiple GIS file formats, auto-sorting of map style directives, bundled icon sprite sheets, fallback glyphs, and an HTML control for adding map titles and custom controls, extending Ultra's utility for geospatial queries and map customisation."
21532,"WN763","Maps","Matt Whilden has [developed](https://en.osm.town/@watmildon/114012435012771032) HighSchoolMascotMap, an [interactive](https://overpass-ultra.us/#map&query=url:https://raw.githubusercontent.com/watmildon/HighSchoolMascotMap/refs/heads/main/HSMascotMap.ultra&m=3.65/38.84/-95.02) web map that visualises high school [mascots](https://wiki.openstreetmap.org/wiki/Key:mascot) across the United States. You can also contribute to this project by adding mascot data to OpenStreetMap through this MapRoulette [challenge](https://maproulette.org/browse/projects/59042)."
