"id","blog","category","markdown"
76,"WN272","Mapping","The mapper in UK start their last [quarterly project 2015] (https://lists.openstreetmap.org/pipermail/talk-gb/2015-October/017853.html). It is about Nature Reserves. The call is supported by a [map](umap.openstreetmap.fr/en/map/potential-missing-local-nature-reserves-on-osm_55319#10/51.5933/-0.1744), SK53 has made for that purpose. The National Nature Reserves are shown in red, Local ones in blue."
140,"WN273","Maps","Stefan Keller from [Geometa Lab HSR]([http://www.hsr.ch/geometalab) shows in a [blogpost](http://geometalab.tumblr.com/post/130632772622/easy-web-map-creation-with-openstreetmap-data), how to integrate uptodate OSM data into [uMap](http://umap.openstreetmap.fr/)."
277,"WN276","Maps","Within the framework of [""Arriving in Berlin""](http://arriving-in-berlin.de/about/) four refugees and residents at the [Haus Leo](http://www.berliner-stadtmission.de/haus-LEO) created a [Map of Berlin](http://umap.openstreetmap.fr/en/map/arriving-in-berlin-a-map-made-by-refugees-english-_42855#12/52.4991/13.4926)  for newcomers with contact points for helping organizations, offices, doctors, free Wi-Fi and police. The project coordinator Ralf Rebmann: ""This mapping project, which was implemented with uMap, is a collaboration between the [Berliner Stadtmission](http://www.berliner-stadtmission.de/) and the [Haus der Kulturen der Welt](https://www.hkw.de/de/index.php) and it would not have been possible in this form without OpenStreetMap ."
330,"WN276","Programming","The Node.js module [csvgeocode](https://github.com/veltman/csvgeocode) can convert [lists of geographical coordinates in an address list](http://www.fulcrumapp.com/blog/geocoding-data-with-NodeJS). As backend services Google, Mapbox, OSM Nominatim, Mappen or Texas A & M's can be used."
790,"WN284","Did you know that …","... Framasoft, a French association [promotes FOSS](http://degooglisons-internet.org/) since 2011. Lately Framasoft is hosting a version of [uMap](http://umap.openstreetmap.fr/de/) under the name [Framacarte](http://framablog.org/tag/framacarte/)"
1213,"WN291","Maps","As a non-profit organization, [OpenWines](http://openwines.eu/) gather and share genuine open-data resources about wines. They also publish [maps and data visualizations](https://umap.openstreetmap.fr/en/map/openwine_33763#10/47.0832/-1.5271) about wines."
1652,"WN299","Programming","Zsolt [published](https://medium.com/@maphub/launching-maphub-beta-2fa7f705c406#.1nggs3fg0) a beta version of [MapHub](https://maphub.net/), which allows users to generate interactive maps very easily. Similar to [uMap](https://umap.openstreetmap.fr/en/) but has more features in several areas."
1942,"WN304","Maps","MapContrib is a site similar to uMap that allows a simple [generating](http://mapcontrib.xyz/) of your own map. Example maps include [fire hydrants](http://www.cartes.xyz/t/s8c2d9-Les_bornes__incendie), [mail boxes](http://www.cartes.xyz/t/2c4196-Boites_aux_lettres) andr [bicycle parking](http://www.cartes.xyz/t/s8c2d5-Combien_de_vlos_peut_on_accrocher)."
2165,"WN309","Maps","The members of the [Latin-American Telegram](https://telegram.me/OSMLatam) group [show](http://umap.openstreetmap.fr/es/map/openstreetmap-latinoamerica_90705#7/2.444/-76.608) their locations on a map."
2468,"WN315","Did you know that …","... the many approaches to [include](https://lists.openstreetmap.org/pipermail/umap/2016-July/000119.html) images in UMAP? Please attempt to read the whole thread. ;-)"
2487,"WN315","Mapping","Coleman McCormick [explains](http://www.fulcrumapp.com/blog/video-collection-for-openstreetmap/) how to map OpenStreetMap data with your own captured videos."
2512,"WN316","Community","A [map](http://umap.openstreetmap.fr/es/map/openstreetmap-latinoamerica_90705#14/23.1086/-82.3662) showing the distribution of contributors who are active in the [OSMLatam-telegram-group](http://wiki.openstreetmap.org/wiki/List_of_OSM_centric_Telegram_accounts#Local_community_chats_by_continent_.2F_country)."
