"name","desc_sg","sg_id","sg_stats_id","ndoc","count","index_group"
"OSM Buildings","3D model",1,49,14,32,"43,75"
"F4map","3D model",1,6,13,32,"40,625"
"osm2world","3D model",1,95,3,32,"9,375"
"streets.gl","3D model",1,99,2,32,"6,25"
"OpenAerialMap","aerial imagery",2,37,23,34,"67,6470588235294"
"OpenDroneMap","aerial imagery",2,92,11,34,"32,3529411764706"
"Nominatim","API",3,32,73,261,"27,9693486590038"
"overpass API","API",3,63,69,261,"26,4367816091954"
"Mapbox GL","API",3,23,53,261,"20,3065134099617"
"Carto API","API",3,3,40,261,"15,3256704980843"
"OSM API","API",3,48,26,261,"9,96168582375479"
"osm2pgsql","conversor",4,54,70,139,"50,3597122302158"
"osmium","conversor",4,58,45,139,"32,3741007194245"
"PyOsmium","conversor",4,71,16,139,"11,5107913669065"
"osmosis","conversor",4,60,8,139,"5,75539568345324"
"overpass turbo","data extraction",5,64,71,177,"40,1129943502825"
"Geofabrik","data extraction",5,9,69,177,"38,9830508474576"
"BBBike","data extraction",5,2,17,177,"9,6045197740113"
"overpass ultra","data extraction",5,65,12,177,"6,77966101694915"
"HDX","data extraction",5,14,8,177,"4,51977401129944"
"HDYC","data quality",6,86,138,382,"36,1256544502618"
"OSM History Analytics","data quality",6,50,95,382,"24,869109947644"
"Osmose","data quality",6,59,53,382,"13,8743455497382"
"OSMCha","data quality",6,56,48,382,"12,565445026178"
"OSMstats","data quality",6,61,16,382,"4,18848167539267"
"OSM Inspector","data quality",6,52,8,382,"2,09424083769633"
"Who Did It","data quality",6,83,6,382,"1,57068062827225"
"Map Compare","data quality",6,87,6,382,"1,57068062827225"
"osm-revert","data quality",6,94,3,382,"0,785340314136126"
"OSM History Viewer","data quality",6,51,3,382,"0,785340314136126"
"achavi","data quality",6,1,3,382,"0,785340314136126"
"Reverter","data quality",6,98,3,382,"0,785340314136126"
"JOSM","desktop editor",7,16,431,1193,"36,127409891031"
"iD","desktop editor",7,15,310,1193,"25,9849119865884"
"MapRoulette","desktop editor",7,28,165,1193,"13,8306789606035"
"Tasking Manager","desktop editor",7,77,141,1193,"11,8189438390612"
"Rapid","desktop editor",7,72,82,1193,"6,87342833193629"
"Potlatch","desktop editor",7,70,20,1193,"1,67644593461861"
"Field Papers","desktop editor",7,8,12,1193,"1,00586756077117"
"Level0","desktop editor",7,20,10,1193,"0,838222967309304"
"SketchMap","desktop editor",7,73,9,1193,"0,754400670578374"
"Merkaartor","desktop editor",7,31,7,1193,"0,586756077116513"
"Pic4Review","desktop editor",7,67,6,1193,"0,502933780385583"
"Leaflet","library",8,19,116,323,"35,9133126934984"
"OpenLayers","library",8,40,49,323,"15,1702786377709"
"MapLibre","library",8,27,47,323,"14,5510835913313"
"PostGIS","library",8,69,45,323,"13,9318885448916"
"Mapnik","library",8,89,39,323,"12,0743034055728"
"GDAL","library",8,85,14,323,"4,3343653250774"
"OGR","library",8,33,5,323,"1,54798761609907"
"Geotools","library",8,11,4,323,"1,23839009287926"
"VTM","library",8,100,4,323,"1,23839009287926"
"StreetComplete","mobile editor",9,74,114,528,"21,5909090909091"
"Organic Maps","mobile editor",9,47,78,528,"14,7727272727273"
"Vespucci","mobile editor",9,81,76,528,"14,3939393939394"
"Maps.me","mobile editor",9,29,70,528,"13,2575757575758"
"MapComplete","mobile editor",9,24,64,528,"12,1212121212121"
"EveryDoor","mobile editor",9,5,35,528,"6,62878787878788"
"MapSwipe","mobile editor",9,30,32,528,"6,06060606060606"
"MapContrib","mobile editor",9,88,20,528,"3,78787878787879"
"Wheelmap","mobile editor",9,102,18,528,"3,40909090909091"
"Go Map","mobile editor",9,12,6,528,"1,13636363636364"
"OSMApp","mobile editor",9,96,5,528,"0,946969696969697"
"OSMTracker","mobile editor",9,62,5,528,"0,946969696969697"
"OSMGo","mobile editor",9,57,5,528,"0,946969696969697"
"NotesReview","notes editor",10,91,5,13,"38,4615384615385"
"OSM Note Viewer","notes editor",10,53,5,13,"38,4615384615385"
"GeoNotes","notes editor",10,10,3,13,"23,0769230769231"
"Mapbox","OSM based service",11,22,502,971,"51,6992790937178"
"uMap","OSM based service",11,78,162,971,"16,6838311019567"
"OpenRouteService","OSM based service",11,44,94,971,"9,68074150360453"
"OpenStreetBrowser","OSM based service",11,93,28,971,"2,88362512873326"
"OpenMapTiles","OSM based service",11,41,28,971,"2,88362512873326"
"OpenRailwayMap","OSM based service",11,43,23,971,"2,3686920700309"
"OpenTopoMap","OSM based service",11,46,23,971,"2,3686920700309"
"OpenHistoricalMap","OSM based service",11,39,21,971,"2,16271884654995"
"PokemonGO","OSM based service",11,68,15,971,"1,54479917610711"
"OpenCycleMap","OSM based service",11,38,13,971,"1,33882595262616"
"Open Infrastructure Map","OSM based service",11,34,11,971,"1,13285272914521"
"waymarkedtrails","OSM based service",11,101,10,971,"1,02986611740474"
"CyclOSM","OSM based service",11,4,10,971,"1,02986611740474"
"WaterwayMap","OSM based service",11,82,7,971,"0,720906282183316"
"OsmHydrant","OSM based service",11,97,6,971,"0,617919670442842"
"FacilMap","OSM based service",11,7,6,971,"0,617919670442842"
"OpenAEDMap","OSM based service",11,36,6,971,"0,617919670442842"
"OpenPoiMap","OSM based service",11,42,3,971,"0,308959835221421"
"OpenSeaMap","OSM based service",11,45,3,971,"0,308959835221421"
"OsmAnd","routing",12,55,166,521,"31,8618042226488"
"Mapzen","routing",12,90,84,521,"16,1228406909789"
"GraphHopper","routing",12,13,61,521,"11,7082533589251"
"Komoot","routing",12,18,58,521,"11,1324376199616"
"Open Source Routing Machine","routing",12,35,57,521,"10,9404990403071"
"Locus Map","routing",12,21,41,521,"7,86948176583493"
"Brouter","routing",12,84,24,521,"4,60652591170825"
"Valhalla","routing",12,80,19,521,"3,6468330134357"
"uNav","routing",12,79,11,521,"2,11132437619962"
"Mapillary","street level imagery       ",13,26,309,424,"72,877358490566"
"Panoramax","street level imagery       ",13,66,65,424,"15,3301886792453"
"KartaView","street level imagery       ",13,17,43,424,"10,1415094339623"
"Mapilio","street level imagery       ",13,25,7,424,"1,65094339622642"
"Taginfo","tagging",14,76,52,53,"98,1132075471698"
"TagFinder","tagging",14,75,1,53,"1,88679245283019"
