"word","ndoc","nentry"
"www.openstreetmap.org",175,200
"lists.openstreetmap.org",73,75
"wiki.openstreetmap.org",48,52
"blog.openstreetmap.de",23,24
"k1z.blog.uni-heidelberg.de",19,19
"en.wikipedia.org",15,15
"forum.openstreetmap.org",12,12
"community.openstreetmap.org",12,12
"heigit.org",11,12
"nominatim.org",11,11
"osm2pgsql.org",9,10
"openrouteservice.org",8,10
"giscienceblog.uni-hd.de",10,10
"blog.geofabrik.de",6,6
"blog.imagico.de",6,6
"osm.org",6,6
"cran.r-project.org",3,5
"www.trufi-association.org",5,5
"dev.overpass-api.de",4,4
"planet.openstreetmap.org",4,4
"openlayers.org",3,4
"brouter.de",2,4
"www.sqlite.org",2,4
"openstreetmap.org",4,4
"ohsome.org",4,4
"blog.openstreetmap.org",4,4
"switch2osm.org",3,4
"tile.openstreetmap.org",2,3
"www.geofabrik.de",3,3
"osmcode.org",2,3
"openrouteservice.org/)",3,3
"openlayers.org/)",3,3
"mapnik.org/)",3,3
"mapnik.org",3,3
"help.openstreetmap.org",3,3
"download.geofabrik.de",2,3
"de.wikipedia.org",3,3
"josm.openstreetmap.de",2,2
"bitbucket.org",1,2
"stm.hauke-stieler.de",2,2
"hdyc.neis-one.org",2,2
"git.openstreetmap.org",2,2
"trac.openstreetmap.org",2,2
"forum.openstreetmap.org/viewtopic.php?id",2,2
"wiki.openstreetmap.org/wiki/google_summer_of_code)",2,2
"forge.chapril.org",2,2
"wiki.openstreetmap.org/wiki/google_summer_of_code/2017/project_ideas)",2,2
"arne.johannessen.de",1,2
"wiki.openstreetmap.org/wiki/josm/plugins/mapillary/gsoc_2020)",1,2
"addons.mozilla.org",2,2
"www.3dstreet.org",1,2
"www.geog.uni-heidelberg.de",2,2
"cartographicperspectives.org",1,2
"brouter.de/brouter/revisions.html)",2,2
"brouter.de/brouter/)",2,2
"www.openstreetmap.org/user/hauke-stieler)",2,2
"blog.project-insanity.org",1,2
"blog.osm-baustelle.de",2,2
"www.openstreetmap.org/user/juicio/diary/404174)",2,2
"www.postgresql.org",1,2
"www.sqlite.org/)",2,2
"www.tagdynamics.org",1,2
"bitbucket.org/maproom/qmapshack/wiki/home)",1,2
"lists.openstreetmap.org/pipermail/josm-dev/2018-april/008028.html)",2,2
"neis-one.org",2,2
"osmcode.org/libosmium/)",2,2
